@relation spambase

@attribute Word_freq_remove numeric
@attribute Word_freq_order numeric
@attribute Word_freq_mail numeric
@attribute Word_freq_will numeric
@attribute Word_freq_people numeric
@attribute Word_freq_email numeric
@attribute Word_freq_you numeric
@attribute Word_freq_money numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_hpl numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_data numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_original numeric
@attribute Word_freq_table numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_average numeric
@attribute Spam {1,0}

@data
0.23,0,0.46,0.69,0.23,0.69,2.76,0.23,0,0,0,0,0,0,0,0.841,0.036,0,1.862,1
0,0.6,0,1.8,0,0,2.7,0.6,0,0,0,0,0,0,0,0.189,0.141,0,1.932,1
0,0,0,0.73,0,0,1.09,0,0,0,0,0,0,0,0,0.604,0.181,0,3.787,1
0.29,1.04,2.22,1.04,0,0,1.63,0,0,0,0,0,0,0,0,0.105,0.21,0.021,10.817,1
0,0,0.5,0,0,0,2.5,0,0,0,0,0,0,0,0,0.892,0,0,2,1
0.03,0.4,0.4,0.72,0.65,0.36,3.05,0.76,0,0,0,0,0,0,0,0.337,0.141,0,3.305,1
0.45,0,0.91,0,0,0,1.83,0,0,0,0,0,0,0,0,2.077,0,0.134,12.176,1
0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0.086,0.086,0.517,4.166,1
0.34,0,0,0.34,0,0.34,4.76,0.34,0,0,0,0,0,0,0,0.215,0,3.879,6.978,1
0,0.37,0.75,2.08,0,0,2.65,0.18,0,0,0,0,0,0,0,0.31,0.112,0,2.548,1
0,0,0.52,0.52,1.05,0,3.15,0.52,0,0,0,0,0,0,0,2.295,0.698,0,2.016,1
0,1.17,0.29,0.58,0,0.14,2.35,0.44,0,0,0,0,0,0,0,0.204,0.127,0.102,2.962,1
0,0,0,0,0,0,3.17,0,0,0,0,0,0,0,0,0.298,0.597,0,3.333,1
1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,0.437,0.291,1.823,1
0,0.17,0.17,0.1,0.03,0,0.45,0,1.18,1.22,0,0,0,0.06,0,0.029,0.011,0.023,2.813,1
0,0,0,0.3,0.3,0.3,2.12,0.3,0,0,0,0,0,0,0,0,0.211,0.052,1.752,1
0,0,0,0,0,0.58,1.75,0,0,0,0,0,0,0,0,0,0,0,1.361,1
0,0,0.36,0,0,0,2.53,0,0,0,0,0,0,0,0,0.118,0,0,1.307,1
0,0,0,0.38,0.38,0.38,2.69,0.38,0,0,0,0,0,0,0,0.061,0.061,0,1.775,1
0,0,0,0,0,0.92,1.85,0,0,0,0,0,0,0,0,0.142,0.5,0.285,1.636,1
0.53,0,0,0,0,1.6,2.67,0,0,0,0,0,0,0,0,0,0,0,2.131,1
1.07,0.26,0,0.8,0,1.61,3.5,0.26,0,0,0,0,0,0,0,0.324,0,0,7.369,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.333,1
0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,1.048,0,0.349,3.333,1
0.51,0,0.51,0,0,2.07,1.03,0,0,0,0,0,0,0,0,0.067,0,0,2.676,1
0.19,0.95,0.38,0.57,0,3.43,1.71,0,0,0,0,0,0,0,0,0.212,0.303,0,11.242,1
2.16,0,0.54,0.54,0,0.54,3.24,0,0,0,0,0,0,0,0,0.488,0,0.081,15.16,1
0.08,0.53,1.59,0.71,0.17,0,1.86,0.35,0,0,0,0.08,0,0,0,0.353,0.254,0.113,3.598,1
0.64,0,0,0.64,0,0,1.28,0,0,0,0,0,0,0,0,0.551,0.459,0,2.333,1
0.48,0.48,1.92,0.96,0.48,0,0.96,0.48,0,0,0,0,0,0,0,0.43,0.43,0,25.964,1
0,0,0,0,0,0,6.06,0,0,0,0,0,0,0,0,0.48,0.48,0,1.684,1
0,0.09,0.69,0.79,0.27,0,4.92,0.74,0,0,0,0,0,0,0.09,0.145,0.121,0.008,3.575,1
0.4,1.42,0.81,0.5,0,1.01,2.23,0.3,0,0,0,0,0,0,0,0.977,0.397,0.033,3.166,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.806,0,0,1.293,1
0.19,1.38,0.39,0.98,0,0,2.56,1.38,0,0,0,0,0,0,0,0.765,0.316,0.026,6.652,1
0.9,0,1.81,0.9,0,0,2.72,0,0,0,0,0,0,0,0,0.774,0,0,1,1
0,0,0.62,0,0,0,1.24,0,0,0,0,0,0,0,0,1.055,0,0,2.033,1
0,0,1.35,0,0,0,1.35,0,1.35,1.35,0,0,0,0,0,1.836,0,0,3.285,1
0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0.546,0,0,2.3,1
0.68,0,0.68,0.68,0,0,5.86,0.34,0,0,0,0,0,0,0,0.503,0.062,0,1.82,1
0,0,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0.23,0.23,0,5.538,1
0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0.699,0.932,0,5.083,1
