@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R7-9,11,17,23,25-26,34,38,40-43,46,48,53-54,56,58'

@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_order numeric
@attribute Word_freq_receive numeric
@attribute Word_freq_business numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_hpl numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_parts numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_original numeric
@attribute Word_freq_edu numeric
@attribute Word_freq_conference numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
0,0,0,1.36,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,30,1
0,0,0,0.99,0.99,0.49,0,0,0,0,0,0,0,0,0,0,0,0,8,1
0.05,0.28,0.43,0.25,0.43,1.05,0,0,0,0,0,0,0,0,0,0,0.756,0.153,193,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1
0,0.05,0.1,0,0,0.15,0.05,0.05,0,0,0,0,0,0,0,0,0.118,0,96,1
0.3,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0.322,0,49,1
0,0.19,0,0.39,0.19,0.19,0,0,0,0,0.19,0,0,0,0,0,0.16,0,31,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0.66,1.66,0,0,0,0,0,0,0,0,0,0,0.541,0,21,1
0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
0.26,0,0.52,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0.068,0,43,1
0,0.02,0.15,0,0.22,0.37,0,0,0,0.02,0.02,0,0,0.02,0,0,0.022,0,20,1
0.16,0,0.5,0.16,0,0,0.33,0,0,0,0,0,0,0,0,0,0.752,0.022,47,1
0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
0.08,0,0.24,0,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0.097,0.012,119,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1
1.16,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,9,1
0.17,0.89,0.17,0.35,1.79,0,0,0,0,0,0.17,0,0,0,0,0,0.057,0,63,1
0.35,1.41,0,0.35,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1
