@relation spambase

@attribute Word_freq_address numeric
@attribute Word_freq_our numeric
@attribute Word_freq_over numeric
@attribute Word_freq_mail numeric
@attribute Word_freq_receive numeric
@attribute Word_freq_addresses numeric
@attribute Word_freq_free numeric
@attribute Word_freq_you numeric
@attribute Word_freq_hpl numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_technology numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_project numeric
@attribute Word_freq_re numeric
@attribute Word_freq_edu numeric
@attribute Word_freq_table numeric
@attribute Char_freq2 numeric
@attribute Char_freq3 numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0,1.58,0,0.39,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0,0.705,0.211,118,1
0,2.94,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0.335,0,0.671,0,28,1
0,1.04,0,0.69,0,0.34,0.69,5.9,0,0,0,0,0,0,0.34,0,0,0,0,0.379,0.063,96,1
0.35,0.7,0,0.35,0.7,0,0.7,4.25,0,0,0,0.35,0,0,0,0,0,0.113,0,0.397,0,183,1
0,0.45,0,0,0,0,0.45,4.52,0,0,0,0,0,0,1.35,0,0,0,0,2.115,0.07,114,1
0,1.45,0,0,0,0,0.64,0.8,0,0,0,0.16,0,0,0.16,0,0,0.198,0,0.594,0,557,1
0.46,0.15,0.03,0.65,0.3,0.03,0.23,3.08,0,0,0,0,0,0,0.03,0,0,0.077,0,0.335,1.281,2413,1
0,0,0,0,0.68,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0.232,0.232,96,1
0,0.94,0,0,0,0,0.94,4.71,0,0,0,0,0,0,0,0,0,0.17,0,3.571,0,52,1
1.31,2.9,0.26,0.79,1.05,0,0,3.16,0,0,0,0,0,0,0,0,0,0.138,0,0.046,0,135,1
0.8,0.8,0,0.8,0,0,0.8,1.6,0,0,0,0,0,0,0,0,0,0.134,0,0.269,0,81,1
0,0.67,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0.114,0,0.228,0.228,168,1
0,0,0,0,0,0,0,5.12,0,0,0,0,0,0,0,0,0,0.308,0,1.543,0,25,1
0,0.25,0.25,0.51,0,0,0.77,4.9,0,0,0,0,0,0,0,0,0,0.179,0,0.359,0.403,358,1
0,1.56,0,0,0,0,0.78,1.56,0,0,0,0,0,0,0,0,0,0,0,0.792,0.339,113,1
0,0.2,0,0.3,0.1,0,0.3,2.61,0,0,0,0,0,0,0.3,0,0,0.141,0,0.352,0.056,1133,1
1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0.519,0,0,0.692,84,1
0.38,0.38,0.38,0.38,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0.124,0,0.124,0,899,1
0.89,0.12,0,0.12,0.12,1.14,0,2.8,0,0,0,0.12,0,0,0,0,0,0.165,0,0.371,0.061,475,1
0.39,0,0.98,0.39,0,0,0.98,2.56,0,0,0,0,0,0,0,0,0,0.232,0,0.749,0.31,632,1
0,0.33,0,0,0,0,1.65,2.64,0,0,0,0,0,0,0,0,0,0,0.161,0.537,0,141,1
0,1.81,0,0.36,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0.265,0,0,0,88,1
0,0,0,0,1.15,0,0.38,4.61,0,0,0,0,0,0,0,0,0,0,0,0.486,0.347,74,1
0,0.41,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0.171,0,0.513,0.114,189,1
0.22,0.45,0.45,1.59,0.11,2.16,0,3.53,0,0,0,0,0,0,0.45,0,0,0.17,0,0.265,0.132,666,1
0,0.25,0.25,0,0.5,0,0.5,4.03,0,0,0,0,0,0,0,0,0,0.034,0,0.375,0.034,231,1
1.03,1.03,0,0.51,0,0,0.51,2.07,0,0,0,0,0,0,0,0,0,0.257,0,0.6,0.429,55,1
1.25,0,0,0,0.62,0.62,2.5,5,0,0,0,0,0,0,0,0,0,0.044,0,0.223,0,134,1
0.62,0,0.62,0.31,0.31,0,2.5,5.32,0,0,0,0,0,0,0,0,0,0.055,0,0.111,0.111,92,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.219,31,1
0.29,0.29,0,0,0,0,0.58,2.04,0,0,0,0,0,0,0,0,0,0,0,0.42,0.046,234,1
0,0.44,1.32,0,0,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0.444,0.37,140,1
0,0.5,0,0.5,0,0,0.5,2.5,0,0,0,0,0,0,0.5,0,0,0.357,0,0.892,0,172,1
0.26,0.08,0.43,1.47,0.34,0.17,0.08,3.03,0,0,0,0,0,0,0.17,0,0,0.048,0,0.259,0.259,537,1
0.17,0.43,0.08,2.41,0,1.46,0.34,2.76,0,0,0,0,0,0,0.34,0.08,0,0.107,0,0.308,0.067,1214,1
0.5,0,0,0.5,0.5,0,0.5,3,0,0,0,0,0,0,0,0,0,0.267,0,0.445,0.979,164,1
0.47,0.47,0,0,0.47,0,0.47,1.9,0,0,0,0,0,0,0,0,0,0.056,0,0,0,359,1
0,0.4,0.1,0.2,0.4,0,0.91,1.72,0,0,0,0,0,0,0,0,0,0.096,0,0.336,0.16,1426,1
0,0.87,0.87,0.43,0,0,0,0.87,0,0,0,0.43,0,0,0,0,0,0,0,0.942,0,179,1
0.37,0.37,0.37,0.37,0,0,0.37,3.73,0,0,0,0,0,0,0.37,0,0,0,0,1.199,0.505,267,1
0,6.25,0,0,0,0,3.12,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1
0,0.8,1.61,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0.875,0,138,1
0,0.27,0,0.21,0.1,0,0.38,2.85,0,0,0,0,0,0,0,0,0,0.029,0,0.019,0.058,539,1
0,0.45,0,0.61,0,0.3,0.61,1.83,0,0,0,0,0,0,0,0,0,0.112,0,0.698,0.067,801,1
0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,1.03,0,0,0.171,0,0.171,0.342,80,1
0.16,0.16,0.24,0.49,0.08,0.16,0,2.37,0,0,0,0,0,0,0,0,0,0.095,0,0.845,0.255,713,1
0.36,1.44,0,1.44,0.72,0,0,2.89,0,0,0,0,0,0,0,0,0,0,0,0,0,234,1
0,1.44,0.16,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0.024,0,0.299,0.174,174,1
0.89,0.89,0,0,0,0,0.89,6.25,0,0,0,0,0,0,0.89,0,0,0,0,1.129,0.483,42,1
0,1.57,0.36,0.12,0.06,0,0,4.54,0,0,0,0,0,0,0.06,0,0,0.052,0,0.01,0.167,442,1
0.17,1.38,0.69,0.17,0,0.34,1.55,2.94,0,0,0,0,0,0,0,0,0,0.115,0,0,0.086,508,1
0,0,0,0,0,0,0,3.52,0,0,0,0,0,0,1.17,0,0,0,0,0.886,0,59,1
0,0.23,0,0.23,0.23,0,0.23,3.81,0,0,0,0,0,0,0,0,0,0.109,0,1.018,0.036,543,1
0,0,0,1.55,0,0,0.25,1.55,0,0,0,0,0,0,0,0,0,0.404,0,0.161,0.161,578,1
0,3.22,0,0,0,0,1.07,2.15,0,0,0,0,0,0,0,0,0,0,0,2.395,0.598,329,1
0.26,0.26,0,1.88,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0.067,0,0.033,0,506,1
0,0,1.1,0,0.36,0,0.36,2.21,0,0,0,0,0,0,0,0,0,0.124,0,0.435,0.932,173,1
0,0.51,0,0,0,0,0.51,1.53,0,0,0,0,0,0,0.51,0,0,0.09,0,0.542,0,146,1
0.09,0.38,0,0.19,0.38,0,0.66,1.52,0,0,0,0,0,0,0,0,0,0.059,0,0.591,0,771,1
0,1.32,0,1.32,0,0,0,4.42,0,0,0,0,0,0,0,0,0,0.301,0,0.301,0,131,1
0,1.06,0,0.7,0,0.35,0.7,6,0,0,0,0,0,0,0.35,0,0,0,0,0.381,0.063,95,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0.191,0,0.191,0.383,79,1
0.25,0.75,0,0.75,0,0,0,3.29,0,0,0,0,0,0,0,0,0,0.082,0,0.041,0.124,210,1
0,0.6,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0.412,0.206,237,1
0,0.87,0,0,0,0,0,5.24,0,0,0,0,0,0,0,0,0,0.042,0,0,0.085,247,1
0,0,0,0,0,0,6.52,2.17,0,0,0,0,0,0,0,0,0,0,0,1.149,0,91,1
0,0.28,0.86,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.126,0,0,0,1319,1
0,1.6,0,0,0,0,0.8,1.6,0,0,0,0,0,0,0,0,0,0,0,1.566,0.361,124,1
0,0.39,0.09,0.29,0.39,0,0.87,1.66,0,0,0,0,0,0,0,0,0,0.139,0,0.31,0.155,1458,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,1
0,0.58,0,0,0,0,0,4.11,0,0,0,0,0,0,0,0,0,0.098,0,0.197,0,297,1
