@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R7-10,22-23,27,31-34,37,39,45,49,53,55-56,58'

@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_order numeric
@attribute Word_freq_mail numeric
@attribute Word_freq_font numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_george numeric
@attribute Word_freq_telnet numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_data numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_re numeric
@attribute Char_freq1 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_average numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.728,61,1
0.9,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,2.083,7,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0.196,5.466,22,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355,0,4,12,1
0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.283,4,1
0.06,0.06,0.06,0.12,0,0.84,0,0,0,0,0,0,0,0.06,0.01,0.167,1.733,12,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.642,8,1
2.53,1.26,1.26,1.26,0,0,0,0,0,0,0,0,0,0,0,0,72.5,287,1
0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0.082,2.325,16,1
0,0,0.67,0.06,0,0,0,0,0,0,0,0,0,0.06,0.021,0.085,3.353,144,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,23,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.913,27,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0.178,3.416,53,1
0,0,0,0.56,0,0,0,0,0,0,0,0,0,0.56,0,0,2.36,19,1
0.16,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0.174,1.891,24,1
0,0.19,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0.16,2.128,31,1
0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1.769,11,1
0,0.19,0.57,0.65,0,0.5,0,0,0,0,0,0,0,0.03,0.011,1.281,7.202,595,1
0,0,0,0,0,2.53,0,0,0,0,0,0,0,1.26,0,0.431,4.277,27,1
0,0.29,0,0,0,0,0,0,0,0,0,0.29,0,0.58,0,0,3.121,38,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,4.024,121,1
0.51,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,2.676,17,1
1.08,0,0,0,0,1.62,0,0,0,0,0,0,0,0.54,0,0.253,5.454,68,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.165,6.266,41,1
0.53,0.17,0.62,0.8,0,0.89,0,0,0,0,0,0,0,0.08,0,0.185,6.815,583,1
0,0.59,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0.032,3.112,43,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.103,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.293,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.829,5.607,25,1
0,0,1.17,0.29,0,0,0,0,0,0,0,0,0,0,0,0.127,2.962,73,1
3.27,0,0,0,0,0,0,0,0,0,0,1.63,0,0,0,0.18,14.818,140,1
0.19,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0.03,6.789,132,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,20,1
0.2,0.62,0.1,0.31,0,0,0,0,0,0,0,0.1,0.1,0,0,0.065,4.064,92,1
0.64,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0.459,2.333,22,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,1.2,6,1
0.11,0,0.34,0,0,0.11,0,0,0,0,0,0,0,0,0.075,0.094,2.576,48,1
0.91,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0.269,4.35,31,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0.23,5.538,41,1
0.94,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,1.48,11,1
0,0,0,0,0.36,0.36,0,0,0,0,0,0,0,0,0,0.181,3.787,58,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,4.23,25,1
0.63,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0.1,0.3,2.458,22,1
0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0.463,2.44,22,1
0,0,0,0,0.36,0.36,0,0,0,0,0,0,0,0,0,0.181,3.787,58,1
0.06,0.06,0.06,0.12,0,0.85,0,0,0,0,0,0,0,0.06,0.01,0.167,1.736,12,1
1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
0,0,0,0.67,0,0,0,0,0,0,0,0,0,0.67,0,0.114,2.527,20,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
0,0.06,0.06,0.06,0,0.85,0,0,0,0,0,0,0,0,0.01,0.169,1.748,12,1
0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.361,6,1
0,1.36,0.68,0.68,0,0,0,0,0,0,0,0,0,0,0,0.519,3.737,75,1
0,0,0.44,0.11,0,0,0,0,0,0,0,0,0,0,0,0.193,2.559,75,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,3,1
0.45,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,8.517,72,1
0.1,0.53,0.1,0,0,0.75,0,0,0,0,0,0,0,0,0,0.065,1.901,29,1
0.31,0,1.09,0,0,0.62,0,0,0,0,0,0,0,0,0,4.017,3.278,23,1
0,0,0,0,4.49,0.61,0,0,0,0,0,0,0,0.2,0,0.223,7.538,55,1
0.1,0.53,0.1,0.21,0,0.74,0,0,0,0,0,0,0,0,0,0.065,2.104,29,1
0,0.14,0,0,0,0.14,0,0,0,0.14,0,0,0,0,0,0.118,1.42,27,1
0,0.84,0.28,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0.042,3.979,47,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.666,13,1
0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,4.2,60,1
0,0.18,0.09,0,0,0.36,0,0,0,0,0,0,0,0.27,0.015,0.03,3.816,69,1
0,0,0.36,0.36,0,0,0,0,0,0,0,0,0,0,0,0,1.287,5,1
0.56,0.45,0,0.45,0,0.11,0,0,0,0,0,0,0,0,0.019,0.134,3.155,94,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.307,16,1
1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,2.466,18,1
0.84,0,0,1.68,0,0.84,0,0,0,0,0,0,0,0,0,0,5,43,1
0,0.11,1.02,1.59,0,0.45,0,0,0,0,0,0,0,0.45,0.018,0.132,4.215,144,1
0,0.07,0.58,0.62,0,0.38,0,0,0,0,0,0,0,0.03,0,0.585,6.134,153,1
0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0.297,3.666,82,1
0.7,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,4.596,60,1
0.8,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,3.115,19,1
0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.045,0,1.023,3,1
0,0.74,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,2.263,24,1
0.5,0,0.8,0.1,0,0.6,0,0,0,0,0,0,0,0.1,0,0.158,8.55,669,1
0,0,0,0,15.43,0,0,0,0,0,0,0,0,0,0,0,17.481,49,1
0.38,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08,12,1
0.32,0,0.65,1.31,0,0,0,0,0,0,0,0,0,0,0,0.101,337.25,1146,1
0.49,0.33,0.66,0.66,0,0.91,0,0,0,0,0,0,0,0.08,0,0.224,5.872,581,1
0.05,0.05,0.05,0.05,0.17,0.74,0,0,0,0,0,0,0,0,0.01,0.161,2.051,51,1
0,0.05,0.05,0.05,0,0.76,0,0,0,0,0,0,0,0,0.01,0.165,1.79,12,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,14,1
0.25,0.17,0.59,0.08,0,0.85,0,0,0,0,0,0,0,0.08,0,0.118,7.55,669,1
0,0,1.28,0,0,0,1.28,0,0,0,0,0,0,0,0,0,3.809,28,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0.665,3.812,15,1
0.63,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0.195,0,8.476,68,1
0.15,0.79,0.15,0.63,0,0.15,0,0,0,0,0,0,0,0.15,0,0.127,5.241,97,1
0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0.175,5.985,58,1
0.05,0.05,0.05,0.05,0.17,0.74,0,0,0,0,0,0,0,0,0.01,0.161,2.093,51,1
0.37,0.74,0.37,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0.505,3.337,64,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0.187,3.384,21,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666,5,1
0.07,0,0.67,0.6,0,0,0,0,0,0,0,0,0,0,0,0.071,3.446,74,1
1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,2.592,32,1
0.96,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0.074,2.586,44,1
0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0.166,1.494,10,1
0.27,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,139,1
0.5,0,0.8,0.1,0,0.6,0,0,0,0,0,0,0,0.1,0,0.158,8.55,669,1
0,1.25,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0.062,1.477,8,1
0,0,0.09,0.39,0,0,0,0,0,0,0,0,0,0,0.768,1.313,5.96,54,1
0,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0.254,6.294,63,1
0,0,0.57,0.05,0,0,0,0,0,0,0,0,0,0.05,0.019,0.079,4.906,95,1
0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0.132,8.666,123,1
0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0.606,3.111,10,1
0,0.54,0,1.08,0,0,0,0,0,0,0,0.54,0,0,0,0,1.49,19,1
0.7,0,0,0.7,0,0.35,0,0,0,0,0,0,0,0.35,0,0.063,2.021,12,1
0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0.36,2.638,22,1
0.06,0.06,0.06,0.06,0,0.84,0,0,0,0,0,0,0,0,0.01,0.169,1.766,12,1
0.38,0.38,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,2.08,12,1
0.31,0.31,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0.162,1.515,10,1
0,0,0.66,0.44,0.22,0.22,0,0,0,0,0,0,0,0,0.065,0.196,7.4,75,1
0.74,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0.233,1.846,12,1
0.02,0.35,0.35,0.69,0,0.94,0,0,0,0,0,0,0,0.02,0,0.523,6.723,445,1
0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.211,1.752,11,1
0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,5.114,107,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.421,7,1
0.38,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.062,12,1
1.21,1.21,1.21,1.21,0,0,0,0,0,0,0,0,0,0,0,0,104.666,311,1
1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,95,1
0,0.51,0.17,0.17,0,0.17,0,0,0,0,0,0,0,0.17,0,0.141,5.598,78,1
0,1.85,0,0.92,0,0,0,0,0,0,0,1.38,0,0,0,0.217,4.869,66,1
0,0,0,0.67,0,0,0,0,0,0,1.35,0,0,0,0,0,3.384,37,1
0,0,0,0,0,0.47,0,0,0,0,0,0,0,0.47,0,0.248,5.187,80,1
0.5,0,0.8,0.1,0,0.6,0,0,0,0,0,0,0,0.1,0,0.158,8.55,669,1
0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.281,64,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.335,11,1
0,0.45,0,0,0,0,0,0,0,0,0,0,0,0.22,0.153,0,2.47,27,1
0.4,0,0,2.4,0,0,0,0.4,0,0.4,0,0,0,0,0,0.116,4.058,54,1
0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,4.59,140,1
0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0.222,0.37,2.448,16,1
1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.333,59,1
1.13,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,3.925,17,1
0.19,0,0.19,0.19,0,0.19,0,0,0,0,0,0,0,0,0,0.548,4.965,97,1
0,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0.256,3.5,30,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.965,67,1
0.9,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,5.3,66,1
0.8,0,0,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,4.49,24,1
0,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0.067,0,4.18,45,1
0.1,0.53,0.1,0.21,0,0.74,0,0,0,0,0,0,0,0,0,0.066,2.104,29,1
0,0,0.17,1.25,7.32,0,0,0,0,0,0,0,0,0,0,0.099,16.418,158,1
0,0.36,0.09,0,0,0.36,0,0,0,0,0,0,0,0,0,0.014,4.192,48,1
0.1,0,0.2,0.2,0,0.4,0,0,0,0,0,0,0,0,0,0.16,6.918,494,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0.086,1.117,4,1
0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.041,1.89,18,1
1.56,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0,0,2.125,12,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.885,9.29,75,1
