@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R5,7-8,13-14,17,20,23,25,27,29,32-34,39-40,44-46,53,57-58'

@attribute Word_freq_our numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_people numeric
@attribute Word_freq_report numeric
@attribute Word_freq_business numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_george numeric
@attribute Word_freq_lab numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_data numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_project numeric
@attribute Word_freq_re numeric
@attribute Word_freq_edu numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,1
0.38,0.25,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,1
1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,89,1
0.52,0.26,0.52,0,0,1.56,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0.036,339,1
1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1
0,0.73,1.1,0,0,0.36,2.2,1.83,0,0,0,0,0,0,0,0,0,0,0,0.333,176,1
0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,1
1.39,0.93,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,1
0,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,1
0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,281,1
1.67,0.2,0,0.2,0,0.2,0,0.62,0,0,0,0,0,0,0,0,0,0.41,0.62,0,175,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1
0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1
0.38,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177,211,1
0.1,0,0.05,0.2,0,0,0.3,0.15,0.05,0,0,0,0,0,0,0,0.05,0.05,0,0.118,588,1
1.6,0.4,1.2,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212,114,1
0,1.58,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279,36,1
2.1,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,1
0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,130,1
0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0.144,153,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,68,1
0.53,0,0,0,0,0.53,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0.186,240,1
0.54,1.08,0,0,0,0.54,0,1.62,0,0,0,0,0,0,0,0,0,0.54,0,0.252,181,1
1.17,0,0,0,0,0.78,0,0.39,0,0,0,0,0,0,0,0,0,1.17,0,0.186,256,1
1.77,0.44,0.44,0.22,0,0,0,0.44,0,0,0,0,0,0,0,0.44,0,0,0,0.15,1733,1
2.5,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1
0.39,0.39,0.13,0.26,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0.021,476,1
1.09,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,377,1
1.11,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,385,1
0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0.437,62,1
0.27,0,0.27,0.13,0,0.69,0,0.06,0,0,0,0,0,0,0,0.06,0,0.13,0,0.305,966,1
1.24,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,155,1
0.34,0.17,0,0.17,0,0,0.17,0,0,0,0,0,0,0,0,0.17,0,0,0,0.083,963,1
0,0,0.25,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203,129,1
0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.127,400,1
1.14,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,373,1
0.2,0.2,0.6,0,0,1.61,1.81,0.2,0,0,0,0,0,0,0,0,0,0,0,0.129,513,1
1.46,0.08,0,0,0.08,0.08,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.103,1456,1
0,0,0.37,0,0,0.37,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0.107,239,1
0,0,0,0.75,0.18,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0.07,191,1
0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,1
0.32,0.16,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0.16,0,0,0,0.67,1030,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201,54,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0.23,72,1
0,1.16,0,0,0,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1
0.65,0.32,0.32,0.32,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0.158,139,1
0.46,0,0.11,0.23,0.11,0.46,0,0.46,0,0,0,0,0,0,0,0.11,0,0.34,0,0.134,655,1
1.25,0.62,0,0,0,0.62,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0.273,121,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1
0.76,0.5,0.5,1.52,0,0,0,0.76,0,0,0,0,0,0,0,0.5,0,0,0,0.412,249,1
0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,389,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,1
0,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1
