@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R4,7,12,17,20-26,33,35,37,39-41,43,47,52-53,56-58'

@attribute Word_freq_3d numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_will numeric
@attribute Word_freq_business numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_your numeric
@attribute Word_freq_font numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_money numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_hpl numeric
@attribute Word_freq_data numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_original numeric
@attribute Word_freq_table numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_longest numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0,0,0.69,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.786,0,61,261,1
0,0.9,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392,0.196,22,82,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.711,0,12,28,1
0,0.18,0.18,0.37,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426,0,4,68,1
0,0.06,0.54,0.72,0.24,1.09,0,0.84,0.06,0,0,0,0,0,0,0,0,0.06,0,0.01,0.167,12,442,1
0,0,2.53,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,51,1
0,2.53,1.26,5.06,1.26,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537,0,287,290,1
0,0,0.59,0,0,1.18,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0.165,0.082,16,100,1
0,0,0.33,0,0.13,1.21,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0.096,0.085,144,845,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,38,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,67,1
0,0,1.01,0,0,3.03,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.089,0.178,53,164,1
0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606,0,19,144,1
0,0.16,0.64,0.16,0,0.47,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0.299,0.174,24,174,1
