@relation spambase

@attribute Word_freq_address numeric
@attribute Word_freq_3d numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_people numeric
@attribute Word_freq_free numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_hpl numeric
@attribute Word_freq_lab numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_original numeric
@attribute Word_freq_edu numeric
@attribute Char_freq2 numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_longest numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,10,204,1
0.92,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0.249,1.663,0.249,0.083,636,748,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,1
0,0,0.32,0.32,0.32,0,0,0,0,0,0,0,0,0,0.105,0,0.157,0,10,139,1
0.3,0,0,0.3,0.3,0.76,0,0,0,0,0,0,0,0,0.025,1.051,0.225,0.05,217,896,1
0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0.124,0.31,0.062,0,8,65,1
0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0.084,0.421,0.252,0,80,238,1
0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0.382,0.223,0.478,55,490,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169,0,0.338,0,29,85,1
0,0,0.58,0.39,0.58,0.78,0,0,0,0,0,0,0,0,0.271,0.067,0.135,0,21,190,1
0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0.043,0.693,0,0,11,195,1
0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0.185,0.464,0,0,4,78,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.554,0,0.518,15,38,1
0.2,0,0.5,0.3,0.1,0.6,0,0,0,0,0,0,0.2,0.1,0.11,0.488,0.157,0.015,669,1351,1
0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0.427,0,0,33,170,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,0.182,0,21,78,1
0,0,0.06,0.3,0,0.85,0,0,0,0,0,0,0.06,0,0.052,0.01,0.167,0,12,442,1
0,0,0,0,0.12,0,0,0,0.12,0.12,0,0,0,0.36,0.352,0,0,0,41,505,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265,0.797,0.885,0,75,288,1
0,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0.074,0,0,0,12,144,1
0,0,0.31,0,0,0.31,0,0,0,0,0,0,0,0,0.086,0.13,0.173,0.26,60,279,1
0,0,0.49,0,0.49,0,0,0,0,0,0,0,0,0,0.179,0.847,0.077,0,114,499,1
0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.094,0.189,0.141,0,31,201,1
0.08,0,0.25,0.17,0.25,0.85,0,0,0,0,0,0,0.17,0.08,0.065,0.435,0.118,0.013,669,1402,1
0,0,0.37,0,0.74,0,0,0,0,0,0,0,0,0,0.302,0.241,0.06,0,18,143,1
0,0,0.45,0.45,0.45,0,0,0,0,0,0,0,0,0,0.135,0.135,0,0,46,117,1
0.56,0,1.12,0.56,0.56,0,0,0,0,0,0,0,0,0,0.25,1.083,0.333,0,140,194,1
0.55,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0.159,0.479,0,0.079,147,385,1
0.51,0,1.02,0,0,0.51,0,0,0,0,0,0,0,0,0.142,0.071,1.212,0,130,281,1
0.31,7.18,0.31,0,0,0,0,0,0,0,0,0,0,0,0.183,0.61,0,0.122,51,507,1
0.27,0,0,0,1.08,0.27,0,0,0,0,0,0,0,0,0.229,0.458,0.504,0,64,578,1
0,0,0,1.1,0.36,0,0,0,0,0,0,0,0,0,0.119,0.238,0.059,0,29,211,1
0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0.335,0.671,0,0,12,28,1
0,0,0.73,0,0.73,0.73,0,0,0,0,0,0,0,0,0,0.875,0.109,13.129,12,52,1
0.17,0,0.08,0,0.51,0.08,0,0,0,0,0,0,0,0,0.077,0.348,0.103,0.012,119,1456,1
0.3,0,0,0.2,0,0.15,0.05,0.05,0,0,0,0,0,0,0.045,0.054,0.118,0,96,588,1
0,0,0,0,1.25,0.62,0,0,0,0,0,0,0,0,0.11,0.331,0.11,0.11,30,152,1
0,0,0.09,0,0.87,0.39,0,0,0,0,0,0,0,0,0.14,0.326,0.155,0,494,1458,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,0,0,0,51,104,1
0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0.102,0.102,0.716,0,43,185,1
0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0.889,0,0,15,49,1
0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0.261,0,0,19,114,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537,0,0,12,25,1
0,0,0,0,0.34,0.17,0,0,0,0,0,0,0,0,0.17,1.275,0.141,0,78,711,1
0,0,0,0,0.96,0.96,0,0,0,0,0,0,0,0,0.133,0.468,0.267,0,61,242,1
0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0.232,0.465,0,12,43,1
0,0,0.32,0.32,0.32,0,0,0,0,0,0,0,0,0,0.111,0,0.166,0,10,139,1
0.18,0,0.03,0.65,0.54,0.29,0,0,0,0,0,0,0,0,0.042,0.337,0.141,0,181,1613,1
0.84,0,1.69,0,10.16,0,0,0,0,0,0,0,0,0,0,1.113,0.278,0.092,418,519,1
0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,1.478,0,0,30,106,1
0,0,0,0,0.96,0.48,0,0,0,0,0,0,0,0,0,0.174,0.087,0,12,50,1
0.96,0,0.48,0.48,0,4.32,0,0,0,0,0,0,0,0.48,0.061,0.43,0.43,0,305,727,1
1.25,0,1.25,0,2.5,0,0,0,0,0,0,0,0,0,0.045,0.225,0,0,29,134,1
0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0.184,0,31,253,1
0,0,0.35,0,0.7,0,0,0,0,0,0,0,0,0,0,0.411,0,0,60,213,1
0,0,0.31,0.46,0.15,0.62,0,0,0,0,0,0,0,0,0.252,0.378,4.017,0,23,259,1
0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0.462,0,0,6,21,1
0,0,0.64,0.32,0.32,0,0,0,0,0,0,0,0,0,0.166,0,0.166,0,19,157,1
0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,8,48,1
0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0.158,0.063,0,31,156,1
0,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0.257,0,0,26,46,1
0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0.201,0,0.1,0,59,141,1
0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0.159,1.117,0,0,7,117,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365,0,0,0,6,78,1
0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,1
0.4,0,0,0,0,4.01,0,0,0,0,0,0,0,0,0,0.855,0.794,0,41,353,1
0.04,0,0,0.14,0.04,0.69,0,0,0,0,0,0.04,0,0,0.053,0.356,0.09,0.011,1171,9163,1
0.37,0,1.12,0.74,0.37,0,0,0,0,0,0,0,0,0,0,0.223,0.223,0,10,93,1
0.28,0,0,0.28,0.14,0.14,0,0,0,0,0,0,0,0,0.025,0.381,0.05,0,15,216,1
0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0.613,0,12,174,1
0,0,2.46,0,2.46,0,0,0,0,0,0,0,0,0,0,1.907,0,0,7,36,1
