@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R1,5-7,12,14,16-17,20,22-26,28,30,34-35,37,40,43-45,51-53,57-58'

@attribute Word_freq_make numeric
@attribute Word_freq_our numeric
@attribute Word_freq_over numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_will numeric
@attribute Word_freq_report numeric
@attribute Word_freq_free numeric
@attribute Word_freq_business numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_font numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_money numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_hpl numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_original numeric
@attribute Word_freq_project numeric
@attribute Word_freq_re numeric
@attribute Char_freq3 numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0.21,0.14,0.28,0.21,0.79,0.21,0.14,0.07,0,0,0.43,0.43,0,0,0,0,0,0,0.07,0,0,0,0,0,0.372,0.18,1028,1
0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1
0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1
0.15,0.61,0,0.3,0.92,0,0,0,3.53,0,0,0.15,0,0,0,0,0,0,0,0,0.3,0,0,0,0.181,0.203,1257,1
0,0.65,0,0.65,0.65,0,0.65,1.3,5.22,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0,129,1
0,0.41,0,0,0.41,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0.75,0,285,1
0.3,0.61,0.92,0,0.3,0,0,0,0,0,0.3,0.61,0,0,0,0,0,0,0.3,0,0,0,0,0,0.207,0.207,226,1
0.15,0.45,0,0,0.9,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.15,0,1.318,0.068,774,1
0.46,0,0.33,0.06,0.73,0,0.26,0,0,0,0.19,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0.23,898,1
0.06,0.19,0.32,0.38,0.64,0,0,0,0.06,0,0.19,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.244,0.071,750,1
