@relation spambase

@attribute Word_freq_our numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_free numeric
@attribute Word_freq_your numeric
@attribute Word_freq_font numeric
@attribute Word_freq_money numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_edu numeric
@attribute Word_freq_table numeric
@attribute Word_freq_conference numeric
@attribute Char_freq2 numeric
@attribute Char_freq3 numeric
@attribute Char_freq4 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_longest numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0,0,1.09,2.19,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0.371,0,28,96,1
2.29,0,4.59,1.14,0,0,0,0,0,0,0,0,0,0,0,0.646,0,1.939,0,30,110,1
0,1.27,0,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983,0,59,157,1
0,1.56,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0.256,0,0.769,0,12,34,1
0.5,1.01,1.26,1.26,0,0,0,0,0,0,0,0,0,0,0,0.113,0,0.189,0.151,447,646,1
1.29,0.43,0.43,0.86,0,0,0,0,0,0,0,0,0,0,0,0.129,0,0.129,0,46,116,1
0.49,0.98,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0.258,0,0.645,0.064,25,135,1
0.67,0.67,0.67,2.18,0,0,0,0,0,0,0,0,0,0,0,0.183,0,0.156,0.026,525,858,1
0.22,0,0.22,1.12,0.22,0.22,0,0,0,0,0,0,0,0,0,0.258,0,0.129,0,71,617,1
0,0,0,0,0,0,0.28,0,0,0,0.57,0,0.57,0,0,0.103,0,0,0,33,162,1
0.29,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,113,1
0,1.38,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,1.882,41,94,1
0.38,0,0,3.07,0.38,0,0,0,0,0,0,0,0,0,0,0.124,0,0.124,0.062,735,899,1
2.89,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,40,1
0.85,0.25,0.25,0.42,0,0.08,0,0,0,0,0,0,0.08,0,0,0.065,0,0.403,0.013,669,1407,1
0.09,0.02,0.16,1.46,0,0.51,0,0,0,0,0,0,0,0,0,0.058,0,0.382,0.141,193,3210,1
0.14,0,0.21,1.35,0,0.54,0,0,0,0,0,0,0,0,0,0.08,0,0.454,0.136,739,2333,1
0,0,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0.963,0,17,57,1
0.77,0,0.77,2.32,0,0,0,0,0,0,0,0,0,0,0,0.268,0,0.672,0,29,109,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191,0,0.191,0,23,79,1
0.71,0,0.71,0.71,0,0,0,0,0,0,0,0,0,0,0,0.121,0,1.094,0,16,95,1
1.11,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.784,0,39,91,1
0,0,0,1.09,0,0.72,0,0,0,0,0,0,0,0,0,0.126,0,0.063,0,35,123,1
0.29,0,0.29,1.35,0,0.38,0,0,0,0,0,0,0,0,0.19,0.149,0,0.374,0,148,1148,1
0,0,0,0,8.84,0,0,0,0,0,0,0,0,0,0,0,0,0.125,1.126,37,261,1
0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
0.29,0,0.58,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.046,34,234,1
1.38,0.17,1.55,2.42,0,0,0,0,0,0,0,0,0,0,0,0.115,0,0,0,38,508,1
0.26,0.26,0.26,0.52,17.1,0,0,0,0,0,0,0,0,0,0,0.084,0.084,0.378,1.051,104,1078,1
0,1.04,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0.246,0,0.615,0.061,59,146,1
