@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R2,7,13,15,17-18,20,23,25-27,30,33,35-36,42,44,47-53,55-56,58'

@attribute Word_freq_address numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_people numeric
@attribute Word_freq_addresses numeric
@attribute Word_freq_business numeric
@attribute Word_freq_email numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_hpl numeric
@attribute Word_freq_george numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_data numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_technology numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_project numeric
@attribute Word_freq_table numeric
@attribute Word_freq_conference numeric
@attribute Char_freq1 numeric
@attribute Char_freq2 numeric
@attribute Char_freq3 numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_average numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0,0.31,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0.135,0,3.537,40,1
0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0.164,0.054,1.671,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0.404,0,0.809,0,4.857,12,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0,0.392,0.196,5.466,22,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,2.112,0,3.909,11,1
1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,0,0.198,0.596,3.833,17,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.478,0,2,30,1
0,1.04,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,0.246,0,0.615,0.061,3.318,59,1
0.45,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.501,0,2.777,61,1
0.94,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.366,0,26.5,245,1
0.46,0.46,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,0,0.571,0.214,4.63,64,1
0.3,0,0.2,0.05,0,0.5,0.3,0.15,0.05,0.05,0,0,0,0,0,0,0.05,0,0,0,0.045,0,0.054,0.118,2.37,96,1
0.46,0,0.65,0.03,0.42,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.011,0.077,0,0.335,1.281,7.202,595,1
0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121,0,1.979,12,1
0,0,0.66,0,0.66,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.12,0.541,5.428,21,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.484,0,1.796,19,1
0.71,0,0,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0,0.7,0,3.768,61,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357,0,0.892,0,2,19,1
0.41,0,0.05,0,0,0.53,0.35,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0.064,0.01,0.032,0.14,1.364,14,1
1.12,1.12,0,0,0,1.12,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.416,5,1
0,0.61,0,0,1.23,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176,0,0.353,0,2.25,13,1
0,0,1.61,0.46,0.92,1.84,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0,0.188,0.112,3.105,30,1
0.37,0.07,0.14,0.07,0.14,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0.069,0,0.159,0.159,3.456,44,1
0,0.33,0.33,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107,0,0,0.161,2.195,50,1
0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.829,0,2.529,8,1
0,0,0,0,0.95,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0.133,0.066,0.401,0.267,3.459,61,1
0.34,0.17,0.17,0.17,0,0.86,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315,0,6.364,149,1
0.57,2.28,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0,0.487,0,16.217,147,1
0,0.32,0.32,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106,0,0,0.159,1.494,10,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.266,4,1
1,1,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0.137,2.538,11,1
0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351,0,0.351,0.175,3.343,28,1
