@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R2,4,7,9,21,23,25,27,29-30,32,36,39,42,45-46,48,51-52,55,58'

@attribute Word_freq_address numeric
@attribute Word_freq_3d numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_order numeric
@attribute Word_freq_your numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_george numeric
@attribute Word_freq_lab numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_technology numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_re numeric
@attribute Word_freq_edu numeric
@attribute Word_freq_conference numeric
@attribute Char_freq3 numeric
@attribute Char_freq4 numeric
@attribute Capital_run_length_average numeric
@attribute Spam {1,0}

@data
0.28,0,0.21,0,1.59,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0.372,5.114,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,1
0,0,0.3,0.92,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181,9.744,1
0,0,0.65,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,2.687,1
0.41,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0.75,3.851,1
0,0,0,0,0.61,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.207,2.132,1
0.45,0,0,0.6,1.51,0,0,0,0,0,0,0,0,0,0.15,0,0,0,1.318,5.301,1
0.46,0,0.06,0,0.66,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0.278,3.887,1
0.12,0,0.38,0.06,0.7,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0.244,1.732,1
0,0,0,0,1.89,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0.175,1.294,1
0,0,0.23,0,1.9,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0.197,5.038,1
0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,1.775,1
0.44,0,0.03,0.56,1.53,0.59,0,0,0,0,0,0,0,0,0.07,0,0,0,0.612,7.3,1
1.76,0,0.12,0.25,1.38,1.13,0,0,0,0,0,0,0,0,0,0,0,0.159,0,4.155,1
0,0,0.38,0,1.52,0.38,0,0,0,0,0,0,0,0,1.14,0,0,0,0.598,4.523,1
0,0,1.31,1.31,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117,48.5,1
0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0.092,0,7.313,1
0,0,0,0,0.43,0,0.21,0,0,0,0,0,0,0,0,0,0,0.073,0.146,6.233,1
0,0,0,0,2.31,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0.081,3.4,1
0.3,0,0.15,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567,5.425,1
0,0,0,0,1.02,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0.969,2.179,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.754,1,1
0,0,0.08,0.08,3.17,0.34,0,0,0,0,0,0,0,0,0,0,0,0.027,0.095,4.07,1
0,0,1.33,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202,29.125,1
0.02,0,0,0.15,0.02,0.37,0,0,0.02,0,0,0.05,0,0,0.02,0,0,0,0,1.423,1
0,0,0.68,0,1.37,0.34,0,0,0,0,0,0,0,0,0.34,0,0,0,0.366,1.895,1
0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.17,1
0.14,0,0,1.17,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204,2.962,1
0,0,0,0.91,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.531,2.9,1
0.68,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.718,3.718,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076,0.153,3.317,1
0.08,0,0.25,0.59,0.42,0.85,0,0,0,0,0,0,0,0,0.08,0.08,0,0,0.42,7.497,1
