@relation spambase

@attribute Word_freq_make numeric
@attribute Word_freq_address numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_order numeric
@attribute Word_freq_will numeric
@attribute Word_freq_free numeric
@attribute Word_freq_business numeric
@attribute Word_freq_your numeric
@attribute Word_freq_font numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_money numeric
@attribute Word_freq_telnet numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_data numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_edu numeric
@attribute Char_freq2 numeric
@attribute Char_freq3 numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_average numeric
@attribute Spam {1,0}

@data
0,0,0,0,0.65,0,0,4.6,0,0,1.31,0,0,0,0,0,0,0,0,0.068,0,3.173,1
0,0.27,0,0.54,1.09,0,0,1.09,0,0.27,0,0,0,0,0,0,0,0,0,0.128,0,10.877,1
0.18,0,0.54,0.54,0.18,0.36,0.18,2,0,0,0.18,0,0,0,0,0.18,0,0.166,0,0.305,0,3.921,1
0,0,0,0,1.42,1.42,0,0.71,0,0,0.71,0,0,0,0,0,0,0.099,0,0,0,3.066,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0,0.196,0,5.466,1
0,0.48,0,0,0.96,0,0.48,2.88,0,1.44,0,0,0,0,0,0,0,0.084,0,0.336,0,3.2,1
0.34,0,0,0.17,1.38,0.34,1.03,3.81,0,0.17,0.51,0,0,0,0,0,0,0.17,0,0.141,0,5.598,1
0,0.74,0,0.74,0.74,0.37,0.37,2.6,0,0,0,0,0,0,1.11,0,0,0.336,0,0.471,0.067,18.4,1
0.2,0.81,0,0.2,0.4,0.2,0,0.2,0,0,0.4,0,0,0,0,0,0,0,0,0.338,0.03,1102.5,1
0,0,0.34,0,0.34,0.68,0.34,0.34,0,0,0,0,0,0,0,0,0,0.393,0,0.056,0,2.257,1
0,0,0.48,0,0.97,0.48,0.97,2.43,0,0.48,0,0,0,0,0,0,0,0.081,0,0.244,0,5.431,1
0.76,0.19,0,0.76,1.52,0.38,0.44,1.26,0,0.44,0.76,0,0,0,0,0,0,0.087,0.054,0.241,0.065,3.702,1
0.28,0,0,0,0.84,0.84,0.28,2.54,0,0.28,0,0,0,0,0,0,0,0.091,0,0.045,0,7.178,1
0,0,0.6,0,0,0,0,1.21,0,0,0.6,0,0,0,0,0,0,0.412,0,0.103,0,6.166,1
0,0,0,0,0.49,0.99,0.24,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,2.868,1
0,0.34,0.34,0,0,0.68,0,1.03,0,0,0,0,0,0,0,0,0,0.094,0,0,0,3.131,1
0,0.42,0,0,0.84,0,0,2.53,0,0.84,0,0,0,0,0,0,0,0.075,0,0.3,0,4.02,1
0.05,0.05,0,0.57,0.28,0.17,0,0.92,0,0,0.05,0,0,0,0,0.11,0,0.099,0,0.079,0.009,4.913,1
0.09,0,0,0.09,0.73,0,0,3.38,0,0.36,0.09,0,0,0,0,0,0,0.046,0.031,0.031,0.031,3.689,1
0,0,0,0,0,0.73,0,2.2,0,0,0,0,0,0,0,0,0,0.105,0,0,0,1.333,1
0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.375,1
0,0,0.73,0,0,2.2,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,3.048,1
0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.178,1
0,0,0,0,0,0,2.66,2.66,0,0,0,0,0,0,0,0,0,0,0,0.514,0,1.823,1
0.18,0,0.06,0.06,0.54,0,0.72,1.09,0,0.84,0.06,0,0,0,0,0,0,0.052,0,0.167,0,1.733,1
0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0.204,0,0.408,0,4.1,1
0,1.36,1.36,0,0,1.36,1.36,1.36,0,0,0,0,0,0,0,0,0,0.17,0,0.17,0.17,9.411,1
0.09,0,0,0.09,0.72,0,0,3.27,0,0.36,0.09,0,0,0,0,0,0,0.047,0.031,0.031,0.031,3.816,1
0,0,0,0,0.73,2.94,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0,0,0,2.923,1
0,0,0,0,0.36,0.36,0,0.73,0,0,0.36,0,0,0,0,0,0,0.119,0,0.059,0,2.93,1
0.64,0,0.64,0,0.64,0.64,0.64,3.22,0,0.64,0,0,0,0,0,0,0,0.104,0,0.313,0,2.511,1
0,0.56,1.12,0,0.56,0.56,2.8,1.68,0,0,0,0,0,0,0,0,0,0.25,0,0.333,0,4.974,1
0,0.78,1.56,0,1.56,0,0,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.348,1
1.03,0,0,0,1.03,1.03,0,1.03,0,0,0.51,0,0,0,0,0,0,0,0,0.176,0,2.766,1
0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0.208,0,0.416,0,3.95,1
0,0,0.45,0.9,0.9,1.81,0,1.36,0,0,0,0,0,0,0,0,0,0.16,0,0.16,0,3.607,1
0.71,0,0,0.71,0.11,0.11,0.59,1.66,0,1.9,1.07,0,0,0,0,0,0,0.127,0,0.254,0.018,9.705,1
0.58,0,0.58,0,0,0.58,0.58,1.74,0,0,1.16,0,0,0,0,0,0,0,0,0.239,0,3.338,1
0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0.185,0,0,0,2.802,1
0.38,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0,295,1
0,0,0,0,0.64,0,1.29,1.29,0,0,0.64,0,0,0,0,0,0,0.468,0,0,0,2.755,1
0.76,0,0,0.12,0.25,0.38,0,2.92,0,0,0.38,0,0,0,0,0,0,0.022,0,0.088,0,2.256,1
0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279,0,3.272,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55,1
0,0,0,0,0.89,0.14,0,0,0,0.14,0,0,0,0.44,0,0,0,0.067,0,0.022,0,2.227,1
0,0,0,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,1.219,0,3.875,1
0.46,0,0,0,1.38,0,0.46,2.31,0,1.38,0,0,0,0,0,0,0,0.49,0,0.816,0,3.4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0.511,0.085,0,0,4.617,1
2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.666,1
0.93,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0.343,0,0.171,0,2.235,1
0.1,0.2,0.5,0.8,0.7,0.1,0,0.7,0,0.6,0.1,0,0,0,0,0,0.1,0.11,0,0.158,0.015,8.55,1
0,0,0,0,0,0,0,3.17,0,3.17,0,0,0,0,0,0,0,0,0,0.597,0,3.333,1
0.08,0.08,0.25,0.59,0.59,0.25,0.08,0.42,0,0.85,0.08,0,0,0,0,0,0.08,0.065,0,0.118,0.013,7.55,1
0.6,0,0,0.24,2.52,0.6,0.24,1.8,0,0.72,0.96,0,0,0,0,0,0,0.04,0,0.222,0,3.577,1
0,0,0,0,1.12,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,2.6,1
0,0,0,0,0,0,0,3.61,0,0,3.61,0,0,0,0,0,0,0,0,0.21,0,3.454,1
0,0,1.26,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0.215,1.724,3.529,1
0.19,0.76,0.19,0.95,0.57,0.19,0,2.09,0,3.62,0,0,0,0,0,0,0,0.151,0.303,0.303,0,11.242,1
0.22,0.44,1.33,0,0.66,1.11,0,1.77,0,0,0,0,0,0,0,0,0,0.134,0,0.067,0,1.946,1
0.26,0.26,0.39,0,0.78,1.57,0,1.57,0,0.13,0.39,0,0,0,0.13,0,0,0.129,0,0.021,0.021,2.689,1
0,0,0.67,0,0,0,0.67,1.35,0,0,0.67,0,0,0,0,0,0,0.095,0,0,0,5.558,1
0,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.417,1
0,0.36,0.36,0,0.36,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,2.517,6.685,1
0,0,0.21,0,0,0,0.21,1.71,7.08,1.28,0,0,0,0,0,0,0,0,0,0.271,0.969,9.052,1
1.24,0.41,0,0,0.41,0.41,0,1.24,0,0,0.41,0,0,0,0,0,0,0.068,0,0.549,0,3.166,1
0.73,0,0,0.24,2.58,0.61,0.12,1.72,0,0.49,0.98,0,0,0,0,0,0,0.041,0,0.229,0.02,3.705,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518,2.111,1
0,0,1.28,0,0,0.64,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0.17,0,2.466,1
0,0,0,0,0,0.4,0,0,0,0.4,0,0,0,0,0,0,0,0.529,0.33,0,0,5.019,1
0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0.11,0,2.315,1
0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,11.066,1
0,0.79,0,0,0,0.79,0.79,1.58,0,0,0,0,0,0,0,0,0,0.271,0,0.135,0,3.257,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189,0,0.189,0,3.857,1
0,0,1.47,0,1.47,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,1.214,1
0,1.15,0.57,0,0.57,1.72,0,2.01,0,0,0.28,0,0,0,0,0,0,0.142,0,0,3.423,6.584,1
0.61,0,0.61,0.61,1.22,1.22,0,0.61,0,0.61,0,0,0,0,0,0,0,0.184,0,0,0,4.45,1
0.66,0,0.13,0.66,0,0,0,0.53,0,0,1.46,0,0,0,0,0,0,0.109,0,0.021,0,5.955,1
0.47,0.31,0.05,0.44,0.97,0.26,0.44,1.5,0,1.05,0.34,0,0,0,0,0,0,0.066,0,0.764,0.159,6.1,1
0,0,0,0,0,0,0.81,0.81,1.63,0,0,0,0,0,0,0,0,0,0,0,0.651,13.5,1
