@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R5,7,16,21-22,24,28,30,34,37,39,41,46-48,50-52,54,56-58'

@attribute Word_freq_our numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_free numeric
@attribute Word_freq_your numeric
@attribute Word_freq_font numeric
@attribute Word_freq_money numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_edu numeric
@attribute Word_freq_table numeric
@attribute Word_freq_conference numeric
@attribute Char_freq2 numeric
@attribute Char_freq3 numeric
@attribute Char_freq4 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_longest numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0.94,0,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428,0,31,107,1
0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,1.975,0,95,461,1
0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,0.352,0,11,36,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.886,0,10,59,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,1
1.28,0,1.28,1.28,0,0,0,0,0,0,0,0,0,0,0,0.181,0,0.724,0,9,43,1
0.43,0,0.43,0.86,0,0,0,0,0,0,0,0,0,0,0,0.147,0,0.736,0,61,222,1
4.25,0.7,2.83,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,3,30,1
0.1,0,0,0.75,0,0.2,0,0,0,0,0,0,0,0,0,0.036,0,0.054,0,96,583,1
0.32,0.16,0.16,0.64,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0.271,0.049,149,982,1
0.66,0,0.66,0.33,0,0.33,0,0,0,0,0,0,0,0,0,0.06,0,0.12,0,21,304,1
0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294,0,11,63,1
0.42,0.08,0,3.17,0,0.08,0,0,0,0,0,0,0,0,0,0.081,0.027,0.108,0,48,574,1
1.15,0,0.38,1.15,0,0,0,0,0,0,0,0,0,0,0,0.061,0,0.985,0,78,255,1
0.96,0,0.96,0.48,0,0,0,0,0,0,0,0,0,0,0,0.133,0.066,0.468,0,61,242,1
0.65,0.32,0.32,3.26,0,0.32,0,0,0,0,0,0,0,0,0,0.105,0,0,0,10,139,1
0.31,0.15,1.11,0,0,0,0,0,0,0.31,0,0,0,0,0,0.088,0,0.862,0.022,51,1128,1
0,0,0,0.39,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,21,130,1
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.453,0,26,54,1
0.99,0.33,0.33,3.3,0,0.33,0,0,0,0,0,0,0,0,0,0.108,0,0,0.054,50,202,1
6.25,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,66,1
0.3,0.15,0.92,0,0,0,0,0,0,0.3,0,0,0,0,0,0.083,0,0.732,0.02,45,1128,1
1.57,0.06,0,1.15,0,0.06,0,0,0,0,0,0,0,0,0,0.052,0,0.01,0,12,442,1
0.64,0.32,0.32,3.24,0,0.32,0,0,0,0,0,0,0,0,0,0.105,0,0,0,10,139,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.434,0,75,127,1
0.65,0.32,0.32,3.25,0,0.32,0,0,0,0,0,0,0,0,0,0.106,0,0,0,10,139,1
0.16,0,0.08,0.23,0,0,0,0,0,0.08,0,0,0,0,0,0.228,0,0.406,0,67,1254,1
0.02,0,0.05,0.17,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0.107,0.017,489,3271,1
0,0,0.2,0.2,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.831,0.03,2204,2205,1
1.78,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0.078,0,0,0,5,37,1
0.48,0.48,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0.163,0,0.163,0,17,95,1
1.05,0.7,0.7,1.4,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0.367,0,12,94,1
1.48,0.49,0.49,2.97,0,0,0,0,0,0,0,0,0,0,0,0.082,0,0.497,0,78,225,1
0.94,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,3.571,0,7,52,1
0.6,0.12,0.12,0.24,0,0,0,0,0,0,0,0,0,0,0,0.037,0,0.056,0,14,389,1
1.31,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0.251,0,1.007,0,8,36,1
0.17,0.35,0.35,0.17,0,0,0,0,0,0.35,0,0,0,0,0,0.057,0,0.057,0,34,229,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.844,0,5,15,1
0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0.134,0,0.536,0,23,65,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.347,0,1,2,1
0.39,0.09,0.87,1.66,0,0.19,0,0,0,0,0,0,0,0,0,0.136,0,0.318,0,494,1458,1
1.11,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0.149,0,1.096,0,107,289,1
0.4,0.1,0.91,1.72,0,0.2,0,0,0,0,0,0,0,0,0,0.093,0,0.297,0,494,1428,1
0.44,0.44,0,0.44,9.29,0,0,0,0,0,0,0,0,0,0,0,0,0.19,1.017,72,474,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204,0,0.408,0,25,82,1
0.48,0,0,2.41,0,0,0,0,0,0,0.48,0,0,0,0,0.084,0,0.084,0,46,165,1
0.35,0,0,2.03,0,0.7,0,0,0,0,0.08,0,0,0,0,0.081,0,0.556,0.011,1170,3116,1
0,0.06,0.59,1.52,0,0.06,0,0,0,0,0,0,0,0,0,0.131,0,0.101,0.202,79,1280,1
0.36,0,0,3.38,0,0.09,0,0,0,0,0,0,0,0,0,0.046,0.031,0.249,0.031,69,535,1
0.47,0,0,2.35,0,0,0,0,0,0,0.47,0,0,0,0,0.164,0,0.082,0,60,137,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421,0,0.21,0,15,60,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407,0,0.203,0,17,62,1
0,0.56,1.41,1.12,0,0,0,0,0,0,0,0,0,0,0,0.114,0,0.153,0.153,394,555,1
2.23,0,0,2.23,0,0.55,0,0,0,0.55,0,0,0,0,0,0.265,0,0.088,0,11,108,1
0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,1
1.48,0,0.66,0.49,0,0,0,0,0,0,0,0,0,0,0,0.197,0,0.616,0,128,549,1
0,0,0,1.36,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0.232,0,19,96,1
0.64,0.64,0.32,3.21,0,0.32,0,0,0,0,0,0,0,0,0,0.156,0,0,0,19,149,1
0.91,1.36,1.82,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368,0,17,158,1
0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,42,87,1
0.45,0,0,1.25,0,0.45,0,0,0,0,0,0,0,0,0,0.17,0,0.265,0,144,666,1
0.89,0,0,2.67,0,0,0,0,0,0,0,0,0,0,0,0.121,0,1.336,0,51,238,1
1.02,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0.902,0,1327,1328,1
0.41,0.82,0,1.23,0,0,0,0,0,0,0,0,0,0,0.41,0.171,0,0.513,0,44,189,1
0,0.23,0.11,1.29,0,0,0,0,0,0,0,0,0,0,0,0.233,0,0.287,0.035,64,509,1
0.99,0.49,0.49,0.99,0,0.49,0,0,0,0,0,0,0,0,0,0.179,0,0.847,0,114,499,1
1.3,0.98,0.49,1.3,0,0,0,0,0,0,0,0,0,0,0,0.246,0,0.179,0,113,640,1
0.99,0.33,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0.859,0,1146,1349,1
0.67,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305,0,48,163,1
0,0.34,0.68,0.34,0,0,0,0,0,0,0,0,0,0.34,0,0.393,0,0.225,0,17,158,1
0,0.36,0.36,2.95,0,0,0,0,0,0,0,0,0,0,0,0.124,0,0.435,0.186,33,173,1
0.64,0.64,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0.115,0,0.921,0,11,55,1
0.98,0.65,0,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288,0,28,141,1
0.36,0,0,3.36,0,0.09,0,0,0,0,0,0,0,0,0,0.047,0.031,0.237,0.031,69,530,1
0.51,0,0,2.56,0,0,0,0,0,0,0.51,0,0,0,0,0.189,0,0.094,0,60,131,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212,0,0.424,0,25,82,1
0.75,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,2.249,0,404,529,1
0.31,0.31,0.95,3.5,0,0.63,0,0,0,0,0,0,0,0,0,0.051,0,0.102,0.102,138,274,1
0.39,0.09,0.87,1.66,0,0.19,0,0,0,0,0,0,0,0,0,0.14,0,0.326,0,494,1458,1
0.09,0.04,0,0.28,0,0.14,0,0,0,0,0,0,0,0,0,0.061,0,0.007,0,14,521,1
1.11,0.74,0,2.61,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.368,0,7,79,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1
0.46,0,0.46,5.55,0,0,0,0,0,0,0,0,0,0,0,0.249,0,1.663,0.083,636,748,1
0,0.49,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862,0,272,571,1
0.47,0,0.47,5.18,0,0,0,0,0,0,0,0,0,0,0,0.252,0,1.68,0.084,636,744,1
1.78,0,1.33,4.46,0,0,0,0,0,0,0,0,0,0,0,0.074,0,0,0,12,144,1
3.12,1.04,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,0,4,20,1
1.57,0,1.57,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.682,0,22,115,1
0,0.86,0.86,1.73,0,0,0,0,0,0,0,0,0,0,0,0.151,0,0.759,0,10,55,1
0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.204,0,0.034,0,15,277,1
0.53,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336,0,0,0,14,119,1
0,0,0,0.92,0,1.23,0,0,0,0,0,0,0,0,0,0.057,0,0.52,0.144,84,446,1
