@relation spambase

@attribute Word_freq_our numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_people numeric
@attribute Word_freq_addresses numeric
@attribute Word_freq_free numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_money numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_george numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_lab numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_telnet numeric
@attribute Word_freq_data numeric
@attribute Word_freq_technology numeric
@attribute Word_freq_parts numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_original numeric
@attribute Word_freq_project numeric
@attribute Word_freq_conference numeric
@attribute Char_freq2 numeric
@attribute Char_freq3 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_average numeric
@attribute Spam {1,0}

@data
2.03,0,0,0,0.4,0,1.62,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.192,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.103,1
0.34,0,0.11,0,0.17,0.05,0,0.05,0,0,0,0.05,0,0,0,0,0,0.11,0,0,0,0.099,0,0.009,4.924,1
0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.312,1
0.08,0.08,0.95,0.17,0.08,0,0.34,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0,0.065,3.076,1
0.64,0.32,0.32,0,0.32,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0,1.494,1
0.54,1.08,0,0,0.54,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.454,1
0.36,0,0,0,0,0,0.36,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047,0.031,0.031,3.758,1
0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.695,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146,0,0,3,1
1.27,0.63,0,0,0.63,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.458,1
0.24,0.12,0.12,0.12,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0.018,5.634,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1
0.4,0.1,0,0,0.91,4.26,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096,0,0,6.758,1
0.64,0,0,0,0,5.19,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468,0,0,2.755,1
2.25,0,0,0,0.56,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.283,1
0.63,0.31,0.31,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0,3.537,1
0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365,0,0,1.238,1
0.17,0,0.52,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,0,0,2.039,1
1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0.265,0,0,1.543,1
0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651,13.5,1
0,0,0,0,0,0.14,0,0.44,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0.205,0,0.102,2.686,1
0.56,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0,0,2.36,1
0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0,4.02,1
0.89,0,0,0,0.44,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,2.428,1
0.32,0.04,0.52,0.28,0.64,0.16,0.36,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052,0.066,0,3.225,1
2.63,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.818,1
0,1.23,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.379,1
0.9,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.083,1
1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074,0,0,7.233,1
0.86,0.86,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0.272,0,0,4.541,1
0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.111,1
0,0,0,0,0.44,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0,0.066,8.666,1
0.34,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055,0,0,3.718,1
0,0,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.411,1
0.8,0.5,0.3,1.61,0.1,0.2,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.107,0,0.015,8.55,1
