@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R2,5,7,11,17,30-32,35,42,44-46,48,50-53,55-58'

@attribute Word_freq_address numeric
@attribute Word_freq_our numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_receive numeric
@attribute Word_freq_business numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_telnet numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_project numeric
@attribute Word_freq_re numeric
@attribute Word_freq_edu numeric
@attribute Word_freq_conference numeric
@attribute Char_freq2 numeric
@attribute Char_freq3 numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_average numeric
@attribute Capital_run_length_longest numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0.64,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778,0,3.756,61,278,1
0,0.38,0.25,0.12,0,0,0,0,0,0,0,0,0,0,0.044,0,0.663,0,1.243,11,184,1
0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0,0.091,1.39,11,89,1
0,0.52,0.26,0.26,1.56,0,0,0,0,0,0,0,0,0,0.073,0,0.813,0.036,2.145,38,339,1
1.92,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,12,33,1
0.36,0,0.73,0,0.36,0,0,0,0,0,0,0,0,0,0.111,0,0.5,0.333,3.259,30,176,1
0.59,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0.257,0,0,0,8.586,66,249,1
0,1.39,0.93,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.442,8,75,1
0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,2.205,0,3.184,34,121,1
0.44,0.44,0,0,0,0,0,0,0,0,0,0.44,0,0,0.073,0,0.807,0,3.849,121,281,1
0.41,1.67,0.2,0.2,0.2,0,0,0,0,0,0,0.41,0.62,0.2,0,0,0.132,0,1.65,15,175,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.431,0,4.071,29,114,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611,0,1.529,0,5.5,22,66,1
