@relation spambase

@attribute Word_freq_our numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_people numeric
@attribute Word_freq_report numeric
@attribute Word_freq_business numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_george numeric
@attribute Word_freq_lab numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_data numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_project numeric
@attribute Word_freq_re numeric
@attribute Word_freq_edu numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1
0,0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0.207,79,1
1.18,0.23,0.35,0,0.11,0.95,0.35,0.59,0,0,0,0,0,0,0,0.11,0,0,0,0.197,1509,1
0.28,0,0.84,0,0,1.41,1.98,0.28,0,0,0,0,0,0,0,0,0,0,0,0.042,386,1
0.29,0,0,0.19,0,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0.09,0,1.31,753,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,1
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,172,1
0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0.47,0,0,0,0.94,0,161,1
0.21,0.1,0.53,0,0,0.1,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0.065,381,1
0,0,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,71,1
0,0,0.28,0.56,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.045,524,1
0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,191,1
0,0.07,0.14,0.58,1.1,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0.266,1163,1
0,0,0,0,0,0,0,5.45,0,0,0,0,0,0,0,0,0,0,0,0.943,53,1
0.23,0.23,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,1
1.12,0,0,0.93,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1
0,0,0,2.58,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,199,1
0.87,0.09,0,0.19,0,1.07,0.78,0.09,0,0,0,0,0,0,0,0,0,0.09,0,0.015,303,1
2.33,1.16,0,0,0.58,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0.09,75,1
0.39,0,0,0.19,0,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,1.311,757,1
0.65,0.32,0.32,0.32,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0.158,139,1
0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,146,1
0.74,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1
0.46,0.46,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,313,1
0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,53,1
0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,1
0.58,0.58,0.58,0,0.58,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239,207,1
0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.128,368,1
0.85,0.25,0.17,0.17,0,0.08,0.17,0.85,0,0,0,0,0,0,0,0.08,0.08,0.08,0.08,0.118,1414,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1
0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,1
0.45,0,0.45,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162,767,1
0,1.18,0.59,0,0,2.95,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,182,1
0.8,0.5,0,0.3,0,0,0.2,0.6,0,0,0,0,0,0,0,0,0,0.1,0.1,0.158,1351,1
0.74,0.18,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0.029,208,1
0,2.94,1.47,0,0,1.47,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0.142,277,1
0.16,0,0.16,0.9,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0.256,701,1
1.14,0,0,0,0,0,0.76,0,0.38,0,0,0,0,0,0,0,0,0,0,0.059,1180,1
0.7,0.23,1.41,0,0,1.41,1.89,0,0,0,0,0,0,0,0,0.47,0,0.23,0,0.151,666,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088,83,1
0.81,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.121,261,1
0.47,1.41,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0.288,191,1
0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0.64,0,0,0,0,0,153,1
0,0,3.33,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1
0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,1
0.73,0.73,0.09,0.27,0,0,0.18,0.55,0,0,0,0,0,0,0,0,0,0.09,0.09,0.135,1478,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,103,1
2.25,0.56,0,0.56,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347,194,1
0.24,0.12,0,0.12,0,0,0.12,0,0,0,0,0,0,0,0,0.12,0,0,0,0,1234,1
0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,285,1
0.05,0.05,0.26,0.57,1.22,0.44,0,1.01,0,0,0,0,0,0,0,0,0,0.02,0,0.793,3213,1
0.96,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
0,0.19,0.19,0,0.19,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0.31,632,1
0.1,0,0.05,0.2,0,0,0.3,0.15,0.05,0,0,0,0,0,0,0,0.05,0.05,0,0.118,588,1
0.75,0.5,0.25,1.51,0,0,0,0.75,0,0,0,0,0,0,0,0.5,0,0,0,0.432,247,1
0.95,0,0,0,0,0.95,0,0.95,0,0,0,0,0,0,0,0,0,0.47,0,0.267,256,1
0.23,0.05,0,0,0,0.11,0.29,0.23,0,0,0,0,0,0,0,0,0,0,0,0.259,660,1
1.36,0.45,0,0.45,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,1
1.61,1.07,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,339,1
1.39,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,1
1.04,0.69,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0.34,0,0.063,96,1
1.85,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1
0,0.2,0,0,1.41,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0.066,192,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,1
0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,101,1
0,0.61,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1
0.47,0.15,0.79,0,0,1.58,1.58,0.15,0,0,0,0,0,0,0,0.15,0,0.15,0,0.127,650,1
0,0.75,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,508,1
0.45,0,0.45,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,773,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1
0,1.21,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1
0.82,0,1.65,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1
