@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R4-5,7-8,16,19,22,24,36,39,42-44,46-47,49-50,52,58'

@attribute Word_freq_3d numeric
@attribute Word_freq_our numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_free numeric
@attribute Word_freq_you numeric
@attribute Word_freq_font numeric
@attribute Word_freq_money numeric
@attribute Word_freq_technology numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_original numeric
@attribute Word_freq_project numeric
@attribute Word_freq_edu numeric
@attribute Word_freq_table numeric
@attribute Char_freq1 numeric
@attribute Char_freq2 numeric
@attribute Char_freq4 numeric
@attribute Spam {1,0}

@data
0,0,0.96,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0.462,1
0,1.11,0.18,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0.182,0.455,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729,0.729,1
0,0.76,0.15,0.02,0,2.09,0,0,0.02,0,0,0,0,0,0,0.042,0.101,0.25,1
0,2.94,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0.335,0.335,0.671,1
0,0.42,0,0,0.42,2.1,0,0,0,0,0,0,0,0,0,0,0.066,0.669,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201,0,1
0,0,0,0,0.79,3.96,0,0,0,0,0,0,0,0,0,0,0.268,0.268,1
0,0,0,0,0.6,1.21,0,0,0,0,0,0,0,0,0,0.207,0.518,0.31,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305,0.611,1.529,1
0,0.95,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0.365,0,1
0,0.51,0,0,0.51,1.53,0,0,0,0,0,0,0,0,0,0,0.09,0.542,1
0,0,0.59,0,0,4.76,0,0.59,0,0,0,0,0,0,0,0,0,0.427,1
0,0,1.58,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0.558,1
0,2.25,1.12,0,0.56,3.95,0,0,0,0,0,0,0,0,0,0,0.247,1.32,1
0,1.36,0.45,0,0.45,1.81,0,0,0,0,0,0,0,0,0,0,0.135,0.135,1
0,0,0.34,0,0.68,1.03,0,0,0,0,0,0,0,0,0,0,0.094,0,1
0,0,0,0.46,0,2.77,0,0,0,0,0,0,0,0,0,0,0.49,0.081,1
0,1.4,0.93,0,0.46,1.87,0,0,0,0,0,0,0,0,0,0,0.135,0.135,1
0,0.8,0,0,1.61,0.8,0,0,0,0,0,0,0.8,0,0,0,0,1.192,1
0,0.53,1.07,0,0.53,4.3,0,0,0,0,0,0,0,0,0,0,0,1.183,1
0,2.19,1.09,0,0.54,3.84,0,0,0,0,0,0,0,0,0,0,0.241,1.045,1
0,0.08,0.08,0.25,0.08,3,0,0.34,0,0,0,0,0,0,0,0,0.063,0.287,1
0,0.65,0.32,0.32,0.32,2.28,0,0.32,0,0,0,0,0,0,0,0,0.104,0,1
0,0.32,0.16,0,0.16,0.32,0,0,0,0,0,0,0,0,0,0,0,0.773,1
