@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R7,9-10,12-13,18-19,24-26,30,33,42-43,47,52-55,58'

@attribute Word_freq_remove numeric
@attribute Word_freq_order numeric
@attribute Word_freq_mail numeric
@attribute Word_freq_will numeric
@attribute Word_freq_people numeric
@attribute Word_freq_email numeric
@attribute Word_freq_you numeric
@attribute Word_freq_money numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_hpl numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_data numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_original numeric
@attribute Word_freq_table numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_average numeric
@attribute Spam {1,0}

@data
0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0.428,0,0,4.652,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.975,0.37,0,35.461,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,0,4,1
0,0,0,1.17,0,0,3.52,0,0,0,0,0,0,0,0,0.886,0,0,1.966,1
0,0,0,0,0,4.83,4.83,0,0,0,0,0,0,0,0,0,0.302,0,1.7,1
0,0,0,0,0,0,2.56,0,0,0,0,0,0,0,0,0.724,0,0,3.071,1
0,0,0,0.43,0,0.86,1.29,0,0,0,0,0,0,0,0,0.736,0,0,2.81,1
0.7,0,0,0,0,0,4.96,0,0,0,0,0,0,0,0,0.38,0,0,1.153,1
0,0.1,0,0.3,0.2,0.5,1.55,0.2,0.05,0.05,0,0,0,0,0,0.054,0.118,0,2.379,1
0.16,0,0.48,0,0.16,0.8,0.16,0,0,0,0,0.16,0,0,0,0.271,0.024,0.049,5.709,1
0,0,0,0.33,0.66,0,2.33,0.33,0,0,0,0,0,0,0,0.12,0.541,0,5.428,1
0,0,0.81,0.81,0,0,1.63,0,0,0,0,0,0,0,0,0.294,0.147,0,2.333,1
0.08,0.08,0.08,0.6,0.17,0.08,1.2,0.08,0,0,0,0,0,0,0,0.108,0.013,0,4.07,1
0,0,0.77,0.38,0,0,2.7,0,0,0,0,0,0,0,0,0.985,0.184,0,3.923,1
0,0.48,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0.468,0.267,0,3.315,1
0.32,0,0,0.32,0.32,0,2.28,0.32,0,0,0,0,0,0,0,0,0.158,0,1.494,1
0.15,0.63,0.15,0,0,1.27,0.79,0,0.95,0,0,0,0,0,0,0.862,0.707,0.022,5.423,1
0,0,0,0,0,0,0.39,0,3.58,0.39,0.39,0,0,0,0,0,0,0,2.5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.453,0,0,4.153,1
0.33,0,0,0.33,0.33,0,1.98,0.33,0,0,0,0,0,0,0,0,0.162,0.054,2.195,1
3.12,0,0,3.12,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,9.428,1
0.15,0.61,0,0,0,1.53,0.61,0,0,0,0,0,0,0,0,0.732,0.753,0.02,5.058,1
0.06,0.06,0.12,0.54,0.3,0.06,4.48,0.06,0,0,0,0,0,0.06,0,0.01,0.167,0,1.733,1
0.32,0,0,0.32,0.32,0,2.27,0.32,0,0,0,0,0,0,0,0,0.157,0,1.494,1
0,0,0,0,0,0,3.07,0,0,0,0,0,0,0,0,1.434,0,0,7.055,1
0.32,0,0,0.32,0.32,0,2.28,0.32,0,0,0,0,0,0,0,0,0.159,0,1.494,1
0,0,0,0.23,0,0,0.4,0,0,0,0,0,0,0,0,0.406,0.038,0,2.811,1
0,0,0.35,0.02,0,0.38,0.07,0,0.02,0,0,0,0,0,0,0.107,0.017,0.017,3.922,1
0,0.2,0,0.4,0,0,0.2,0.4,0,0,0,0,0,0,0,0.831,0.338,0.03,1102.5,1
0,0,0,0,0,0,4.46,0,0,0,0,0,0,0,0,0,0,0,1.541,1
