@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R1,4,7,13,16,18,26-27,33-34,37,39,42,44,46-47,49,52-56,58'

@attribute Word_freq_make numeric
@attribute Word_freq_3d numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_people numeric
@attribute Word_freq_free numeric
@attribute Word_freq_email numeric
@attribute Word_freq_hpl numeric
@attribute Word_freq_george numeric
@attribute Word_freq_data numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_project numeric
@attribute Word_freq_edu numeric
@attribute Word_freq_table numeric
@attribute Char_freq1 numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_average numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0.357,0,0,1.971,24,1
0.05,0,0.15,0.02,0,0.13,0,0,0,0,0.1,0,0,0,0,0,0.042,0.25,0.046,0.059,2.565,66,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.543,0,0,2.777,6,1
0,0,0,0,0.48,0.97,0,0,0,0,0,0,0,0,0,0,0,0.963,0,0,3.1,61,1
0.12,0,0,0,0,0,0,0,0.12,0,0.12,0,0,0,0,0,0,0.019,0.019,0,1.714,34,1
0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1.214,3,1
0,0,0,0,0.53,1.06,0,0,0,0,0,0,0,0,0,0,0,0.877,0,0,3.4,61,1
0,0,1.12,0.56,0.56,0,0,0,0,0,0,0,0,0,0,0,0,1.083,0.333,0,4.974,140,1
0.59,0,0.03,0.59,0.22,0.07,0,0,0,0,0,0,0,0,0,0,0,0.613,0.532,0.137,7.3,763,1
0.46,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0.082,0.823,0,3.4,12,1
0,0,0,0,0.64,0,0,0,0,0,0.64,0,0,0,0,0,0.094,0.662,0,0,10.068,131,1
0,0,2.46,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,1.907,0,0,1.285,7,1
0.16,0,0.33,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,1.194,0.054,0,5.567,101,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,0.431,0,4,25,1
0,0,0,0,2.98,1.49,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,2,1
0.36,0,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0.063,0.126,0,2.562,35,1
0,0,0,0.27,0.81,0.27,0,0,0,0,0,0,0,0,0,0,0,0.565,0.121,0,1.617,18,1
0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.375,11,1
0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.088,0,0,5.714,107,1
0,0,0.57,0.57,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0.518,0,0,10.117,33,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889,0,0,2.13,15,1
0.44,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0.944,0.145,0.072,2.451,28,1
0.34,0,0.08,0.94,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.258,0.258,0.113,5.297,300,1
0,0,3.12,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.428,60,1
0,0,0.14,0.14,0.14,0.72,0,0,0,0,0,0,0,0,0,0,0,0.585,0.046,0.046,5.02,132,1
0.43,0,0.86,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0.14,0.915,0,0,3.891,47,1
0,0,1.04,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.812,11,1
0,0,0,0,0,2.87,0,0,0,0,0,0,0,0,0,0,0,0.937,0,0,11.888,116,1
0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.041,0.124,0.124,3.181,32,1
0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,1.117,0,0,1.206,7,1
0,0,0.16,0,1.64,0.65,0,0,0,0,0,0,0,0,0,0,0,0.906,0.663,0,5.289,52,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.284,0,0,1.357,5,1
0,0,0.32,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157,0,1.494,10,1
0,0.52,0.17,0,1.74,0.69,0,0,0,0.17,0.34,0,0,0,0,0,0,0.754,0.681,0,4.74,52,1
0,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.23,0,5.538,41,1
0,0,0,0,0.43,1.73,0,0,0,0,0,0,0,0,0,0,0,0.31,0.062,0,1.477,8,1
0.6,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0.202,0,3.548,54,1
0,0,0.33,0,1.65,1.65,0,0,0,0,0,0,0,0,0,0,0,0.537,0,0,2.517,9,1
0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,22,1
0.08,0,0.08,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0.369,0.109,0.027,4.896,119,1
0.14,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0.153,0.153,0.102,2.705,73,1
0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269,0.08,0.484,15.086,74,1
0.27,0,0.13,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.531,20,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186,0.186,0,4,23,1
0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187,0,1.002,7.951,74,1
0,0,0,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0.574,0,0,5.833,30,1
0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0.233,0.233,0,3.414,25,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0.151,0,5.086,33,1
0,0,0.23,0,2.13,0.23,0,0,0,0,0,0,0,0,0,0,0,0.42,0.191,0.21,8.026,283,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,3.871,26,1
0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0.121,0.121,0,2.61,10,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151,0,0,0,1.095,4,1
0.26,0,1.07,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0.324,0,0,7.369,52,1
0.33,0,0,0.24,0.16,0.24,0,0,0,0,0,0,0,0,0,0,0,0.213,0.113,0,3.15,76,1
0,0,1.25,0,2.5,1.25,0,0,0,0,0,0,0,0,0,0,0,0.225,0,0,2.35,29,1
1.03,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0.176,0.176,0,2.766,26,1
1.18,0,0.19,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0.749,0.31,0.025,6.652,76,1
0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0.071,0.095,0.023,0,62.75,1505,1
0.68,0,0,0.22,0.11,0.45,0,0,0,0,0,0.11,0,0,0,0,0.067,0.388,0.236,0.016,9.827,164,1
0.49,0,0.05,0.6,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.322,0.626,0.165,6.896,193,1
0.1,0,0.5,0.3,0.1,1.11,0,0,0,0,0,0,0,0,0.1,0,0,0.474,0.152,0.015,8.55,669,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.307,16,1
0.79,0,0,0.69,0.09,0.59,0,0,0,0,0,0,0,0,0,0,0,0.19,0.247,0,2.324,19,1
0.1,0,0.4,0,0.1,1.01,0,0,0,0,0,0.1,0,0,0,0,0,0.928,0.384,0.032,3.179,56,1
0.52,0,0.03,0.56,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0.452,0.528,0.116,6.152,260,1
0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163,1.305,0,2.571,20,1
0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062,0.621,0.062,0.062,3.902,59,1
0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.046,0,0,1.661,6,1
0.52,0,0.03,0.56,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0.453,0.543,0.119,6.305,286,1
0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.439,0,3,11,1
0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052,0.105,0,2.886,27,1
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.166,19,1
0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0.276,0.83,0.166,3.8,33,1
0,0,0.17,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0.278,0.216,0.836,8.523,58,1
