@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R7,9,12,14-16,20,22-25,31,33,37-41,43-44,54-55,58'

@attribute Word_freq_remove numeric
@attribute Word_freq_order numeric
@attribute Word_freq_will numeric
@attribute Word_freq_report numeric
@attribute Word_freq_addresses numeric
@attribute Word_freq_free numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_font numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_money numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_telnet numeric
@attribute Word_freq_data numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_parts numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_original numeric
@attribute Word_freq_project numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_average numeric
@attribute Spam {1,0}

@data
0.19,0.64,0.45,0,1.75,0.06,0.32,0,1.16,0.06,0,0,0,0,0,0,0.06,0,0.12,0,0.01,9.821,1
0.31,0.31,0.31,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.537,1
0.42,0,0,0,0,1.27,0.42,0,0,0.42,0,0,0,1.27,0,0,0.42,0,0,0,0,5.659,1
0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.142,1
0.48,0,0,0,0,0.48,0.48,0,0,0.48,0,0,0,1.46,0,0,0.48,0,0,0,0,4.85,1
0,0,0.92,0.3,0,2.15,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.25,3.884,1
0.48,0,0.96,0,0,0.48,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,5.13,1
0,0,0.7,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.639,1
0,0,0.41,0,0,0.41,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,3.166,1
0,0,0,0,0,0.64,0,0,0.64,0,0,0,0,0.64,0,0,0,0,0,0,0,10.068,1
0,0,0,0,0,0.79,0,0,0.79,0,0,0,0,0.79,0,0,0,0,0,0,0,5.793,1
0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,5.5,1
2.56,1.28,1.28,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.666,1
0.08,0.08,0.6,0.17,0,0,0,0,0.34,0.08,0,0,0,0,0,0,0,0,0,0,0,4.07,1
0.08,0.08,0.52,0,0.17,0.08,0,0,0.34,0.34,0,0,0,0,0,0,0,0,0,0,0.064,3.335,1
0,0,2.18,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,5.114,1
0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.403,1
0,0,1.38,0,2.31,0,0,0,1.38,0,0,0,0,0,0,0,0.46,0,0,0,0,3.4,1
0.32,0,0.32,0,0,0.32,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0.053,1.537,1
0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.021,1
0,0,1.12,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,2.6,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.055,1
0.15,0.63,0,0,0,1.11,0,0,0,0,0.95,0,0,0.31,0,0,0.15,0,0,0,0.022,5.423,1
0.23,0,0.69,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,1.862,1
0,1.63,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0.37,2.07,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,2.623,1
0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,1
0,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333,1
0.43,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,1
0.05,0,0.82,0,0,0.76,0.29,0,0.23,0.05,0,0,0,0,0,0,0,0,0,0,0,1.493,1
1.48,0,0.74,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.346,1
0.25,0.59,0.59,0,2.21,0.25,0.17,0,0.85,0.08,0,0,0,0,0,0,0.08,0,0.17,0.08,0.012,7.484,1
0.14,0,0.14,0,0,0,2.14,3.86,0.14,0,0,0,0,0,0,0,0,0,0,0,0.435,6.238,1
0,0.59,0.09,0,0.39,0.09,0.09,0,1.39,0.99,0,0,0,0,0,0.09,0,0,0,0,0.011,15.493,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.411,1
0,0,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.022,1
0,0.42,0.52,0,0,0,0,0,0.31,1.47,0,0,0,0,0,0,0,0,0,0,0,11.288,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666,1
0.64,0,0.32,0,0,0.32,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,1.688,1
0,0,0,1.08,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,3.95,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.363,1
0.11,0.05,1.17,0.05,0.17,0.05,0,0,0.47,0.29,0,0,0,0,0,0,0,0,0,0,0.092,6.033,1
1.08,0,0.54,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.325,1
0.9,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,2.818,1
0.79,0,0.79,0,0,0,0,0,1.18,0.79,0,0,0,0,0,0,0,0,0,0,0,2.678,1
0,0,0.71,0,0,1.43,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,2.322,1
0.19,0.87,1.07,0.87,0.09,0,0.68,0,0.09,0.29,0,0,0,0,0,0.09,0.09,0,0,0,0.029,4.285,1
2.94,1.47,0,0,0,0,1.47,0,0,0,0,0,0,1.47,0,0,0,0,0,0,0,92.333,1
0,0,0,0,0,6.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,1
1.94,0,0,0,0,2.91,0,0,0,1.94,0,0,0,0,0,0,0.97,0,0,0,0,6.266,1
0.15,0,0,0,0.15,0.15,0.15,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0.041,5.938,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0.7,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43,1
0,0,0,0,0,0.42,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,2.522,1
0.2,1.43,0.51,0,0,0.1,0.41,0,0,0.3,0,0,0,0,0,0.1,0,0,0,0,0.033,3.163,1
0,0.47,0,0,1.42,0.47,0,0,0,0.47,0,0,0.47,0,0,0,0,0,0,0,0.113,9.64,1
0.5,0.8,0.7,0,1.61,0.1,0.2,0,0.6,0.1,0,0,0,0,0,0,0,0,0.2,0,0.015,8.55,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.055,1
1.47,0,0.73,0,0,0.36,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0.122,4,1
0.26,0,0.53,0.53,0,0,0.26,0,0,0,0.26,0,0.53,0,0,0,0,0,0,0,0,2.779,1
