@relation spambase

@attribute Word_freq_make numeric
@attribute Word_freq_our numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_font numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_lab numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_project numeric
@attribute Word_freq_conference numeric
@attribute Char_freq2 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0.08,1.52,0,0.08,0.16,0,0,0,0,0,0,0,0,0,0.101,0.101,1834,1
1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266,36,1
0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,1
0,0.33,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0.23,0.23,227,1
0.53,0.53,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0.259,189,1
0.33,1.35,0.16,0.33,0,0,0,0,0,0,0,0,0,0,0.113,0.084,532,1
0,0.12,0,0,0,0,0,0.24,0.12,0,0,0,0,0,0.365,0,492,1
0.18,1.57,0.06,0.06,0.24,0,0,0,0,0,0,0,0,0,0.052,0.167,442,1
0,0.7,0.35,0.35,0,0,0,0,0,0,0,0,0,0,0.113,0,183,1
0,0.64,0.64,0,1.29,0,0,0,0,0,0,0,0,0,0.115,0.345,55,1
0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0.138,0.138,54,1
0,2.22,0.55,0,0,0,0,0,0,0,0,0,0,0,0.255,0.34,202,1
0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,222,1
0,3.09,1.03,1.03,0,0,0,0,0,0,0,0,0,0,0,0,139,1
1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067,0.472,108,1
0.47,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0.076,0.23,217,1
0.08,0.85,0.25,0.17,0.17,0,0,0,0,0,0,0,0.08,0,0.065,0.118,1402,1
0,0.59,0.29,0,0,0,0,0,0,0,0,0,0,0,0.137,0.045,488,1
0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0.08,0.107,244,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212,0.212,72,1
0.15,0.15,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0.184,0.388,1589,1
0,0,7.27,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1
0,0,0.17,0.52,0,1.93,0,0,0,0,0,0,0,0,0.143,0.057,417,1
0.66,0.26,0.13,0,0,0,0,0,0,0,0,0,0,0,0.109,0.021,667,1
0,0,0.46,0,0,0.93,0,0,0,0,0,0,0,0,0,0,91,1
0,1.21,1.21,1.21,1.21,0,0,0,0,0,0,0,0,0,0,0,314,1
0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,186,1
0,0.38,0.38,0.38,0,0,0,0,0,0,0,0,0,0,0,0,99,1
0,1.31,1.31,1.31,1.31,0,0,0,0,0,0,0,0,0,0,0.117,291,1
0,1.49,0,0,0.49,0,0,0,0,0,0,1.49,0,0,0.078,0.312,190,1
0,0.65,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0.106,0.159,139,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,1
0.16,0.32,0.16,0,0.16,0,0,0,0,0,0,0,0,0,0,0.08,955,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628,0.943,53,1
0.41,0,0.41,0,0,0,0,0,0,0,0,0.41,0,0,0.067,0,41,1
0.17,0.43,0.43,0.26,0.17,0,0,0,0,0,0,0,0,0,0.108,0.243,1375,1
0.65,0.32,0,0.49,0.49,0,0,0,0,0,0,0,0,0,0.225,0.225,595,1
0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.089,0.536,225,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,47,1
0,0,0,0,0,0,2.06,0,0,0,0,0,0,0,0.342,0,51,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0,110,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
0,0.5,1.01,0,0,0,0,0,0,0,0,0,0,0,0.113,0,646,1
0.1,0.2,0.2,0.5,0.2,0,0,0,0,0,0,0,0,0,0.174,0.174,1200,1
0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0.211,0.211,184,1
0,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1
0,0.19,0,0.19,0,0,0,0,0,0,0,0,0,0,0.128,0.16,730,1
0.19,1.07,0.19,0.97,0.68,0,0,0,0,0,0,0,0,0,0,0.232,872,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443,0.665,61,1
0,1.12,2.25,0,0,0,0,0,0,0,0,0,0,0,0.083,0,375,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,72,1
0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0.11,64,1
0,0.91,0.91,0,0,0,0,0,0,0,0,0,0,0,0.134,0.269,87,1
0,0.84,0.84,0,0,0,0,0,0,0,0,0,0,0,0.388,0.129,249,1
0.51,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0.135,0,91,1
0.09,0.36,0,0.18,0,0,0,0,0,0,0,0,0,0,0.046,0.03,528,1
0,0,7.27,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1
0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,150,1
0,1.3,0.98,0.98,0.16,0,0,0,0,0,0,0,0,0,0.246,0.673,640,1
0.09,0.36,0,0.18,0,0,0,0,0,0,0,0,0,0,0.046,0.031,535,1
0.58,1.75,0.58,0,0,0,0,0,0,0,0,0,0,0,0.271,0.135,190,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,57,1
0,1.05,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0.171,41,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,1
0,0.64,0.64,0.32,0,0,0,0,0,0,0,0,0,0,0.156,0.156,149,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
1.23,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0.057,0.289,446,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204,57,1
0.08,0.24,0,0.16,0,0,0,0,0,0,0,0,0,0,0.045,0.03,196,1
0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0,144,1
0,1.14,2.28,0,0,0,0,0,0,0,0,0,0,0,0.081,0,373,1
