@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R2,4,7,13,16,23,25-26,29-30,32,39,43,46,50,52-54,56-58'

@attribute Word_freq_address numeric
@attribute Word_freq_3d numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_people numeric
@attribute Word_freq_free numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_hpl numeric
@attribute Word_freq_lab numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_original numeric
@attribute Word_freq_edu numeric
@attribute Char_freq2 numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_longest numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0,0,0.19,0.12,0.06,1.16,0,0,0,0,0,0,0.12,0.06,0.143,0.276,0.184,0.01,485,2259,1
0,0,0.31,0.31,0.31,0,0,0,0,0,0,0,0,0,0.137,0.137,0,0,40,191,1
0.42,0,0.42,0,1.27,0,0,0,0,0,0,0,0,0,0.063,0.572,0.063,0,55,249,1
0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0.436,0.873,0,0,12,29,1
0.48,0,0.48,0,0.48,0,0,0,0,0,0,0,0,0,0.073,0.589,0.294,0,47,194,1
0,0,0,0.3,2.15,0,0,0,0,0,0,0,0,0,0.1,1.053,0.351,0.25,66,303,1
0,0,0.48,0,0.48,0.48,0,0,0,0,0,0,0,0,0.081,0.486,0.243,0,78,236,1
0.35,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0.122,1.284,0,0,61,313,1
0.41,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0.065,0.461,0.527,0,19,114,1
0,0,0,0,0.64,0.64,0,0,0,0,0,0,0,0,0.189,0.662,0,0,131,292,1
0,0,0,0,0.79,0.79,0,0,0,0,0,0,0,0,0.231,0.462,0,0,22,168,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611,1.529,0,0,22,66,1
0,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0.542,0,0,304,308,1
0,0,0.08,0.17,0,0.34,0,0,0,0,0,0,0,0,0.081,0.095,0.013,0,48,574,1
0.26,0,0.08,0.95,0.08,0.34,0,0,0,0,0,0,0,0,0.048,0.259,0.259,0.064,62,537,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.835,0,0,107,179,1
0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0.102,0.615,0,0,19,137,1
0,0,0,0,0,1.38,0,0,0,0,0,0,0,0,0.49,0.081,0.816,0,12,102,1
0,0,0.32,0.32,0.32,0,0,0,0,0,0,0,0,0,0.106,0,0.159,0.053,10,143,1
0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0.121,1.094,0,0,16,95,1
0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0.814,0,0,15,39,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.931,0,0,117,217,1
0,0,0.15,0,1.11,0,0.95,0,0,0,0,0,0,0,0.088,0.862,0.707,0.022,51,1128,1
0.46,0,0.23,0.23,0,0,0,0,0,0,0,0,0,0,0.036,0.841,0.036,0,52,285,1
0,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0.759,0.253,0,16,36,1
1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.242,0.107,0,35,244,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,0.532,0,0,28,87,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309,0,0,11,56,1
0,0,0.43,0.43,0.43,0,0,0,0,0,0,0,0,0,0.129,0.129,0,0,46,116,1
0,0,0.05,0,0.76,0.23,0,0,0,0,0,0,0,0,0.129,0.102,0.259,0,8,660,1
0,0,1.48,0.74,0.74,0,0,0,0,0,0,0,0,0,0,0.108,0,0,12,61,1
0.08,0,0.25,0.17,0.25,0.85,0,0,0,0,0,0,0.17,0.08,0.063,0.394,0.114,0.012,669,1407,1
0,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0.048,0.241,0.072,0.435,37,1229,1
0.09,0,0,0.29,0.09,1.39,0,0,0,0,0,0.09,0,0,0.078,0.334,0.133,0.011,1171,2541,1
0,0,0,5.55,0,0,0,0,0,0,0,0,0,0,0,0,3.125,0,10,41,1
1.72,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0.125,0.251,0.251,0,12,91,1
0.1,0,0,0.42,0,0.31,0,0,0,0,0,0,0,0,0.028,0.141,3.305,0,193,1016,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.631,0,0,5,15,1
0,0,0.64,0.32,0.32,0,0,0,0,0,0,0,0,0,0.156,0,0.156,0,19,157,1
0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0.191,0.191,0.383,0,23,79,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,26,1
0.29,0,0.11,0.47,0.05,0.47,0,0,0,0,0,0,0,0,0.133,0.492,0.338,0.092,87,1460,1
0.54,0,1.08,0,2.17,0,0,0,0,0,0,0,0,0,0,0.334,0,0,5,53,1
0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.546,0,0,19,62,1
0,0,0.79,0,0,1.18,0,0,0,0,0,0,0,0,0.061,0.612,0.183,0,13,75,1
0,0,0,0,1.43,0,0,0,0,0,0,0,0,0,0.265,0.132,0,0,16,72,1
0.19,0,0.19,0.19,0,0.09,0,0,0,0,0,0.09,0,0,0,0.404,0.224,0.029,49,870,1
0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0.142,0.427,0.142,0,274,277,1
0,0,0,0,6.52,0,0,0,0,0,0,0,0,0,0,1.149,0,0,33,91,1
0,0,1.94,0,2.91,0,0,0,0,0,0,0,0,0,0.13,0.52,0.13,0,26,94,1
0.3,0,0.15,0.15,0.15,0,0,0,0,0,0,0,0,0,0.02,0.352,0.02,0.041,149,1057,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
0.7,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0.056,0.897,0,0,121,350,1
0.42,0,0,0,0.42,0.42,0,0,0,0,0,0,0,0,0.08,0.644,0.161,0,14,111,1
0.1,0,0.2,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0.974,0.396,0.033,56,1028,1
0,0.95,0,0,0.47,0,0,0,0,0,0,0,0,0.47,0.791,0.169,0.452,0.113,259,723,1
0.2,0,0.5,0.3,0.1,0.6,0,0,0,0,0,0,0.2,0.1,0.11,0.49,0.158,0.015,669,1351,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,1
0.36,0,1.47,0,0.36,0.36,0,0,0,0,0,0,0,0,0.183,0.367,0.061,0.122,36,264,1
0.53,0,0.26,0.53,0,0,0.26,0.26,0,0,0,0,0,0,0,0,0.04,0,21,164,1
0,0,1.05,0,0.52,0,0.52,0.52,0,0,0,0,0,0,0.25,0,0,0,23,110,1
0,0,0.24,1.2,1.68,0.24,0,0,0,0,0,0,0,0,0,0.677,0.828,0.15,52,429,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493,0.394,0,0.394,22,237,1
0.08,0,0.08,0.08,0.35,0.17,0,0,0,0,0,0,0,0,0.044,0.339,0.162,0.014,74,753,1
0,0,0.18,0,0,0.18,0,0,0,0,0,0,0,0,0.081,0,0.027,1.625,11,363,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.179,0.117,0,12,63,1
0,0,0.98,0,0,0.49,0,0,0,0,0,0,0.49,0,0.466,0,0,0,12,197,1
0.27,0,0.82,0,0.82,0.82,0,0,0,0,0,0,0,0,0.235,0.235,0.188,0,124,298,1
0.56,0,0.56,0.28,1.41,0,0,0,0,0,0,0,0,0,0.118,0.158,0,0.158,394,555,1
0.67,0,0.33,0,1,0,0,0,0,0,0,0,0,0,0.053,0.16,0,0.107,139,275,1
0,0,1.11,0,2.22,0,0,0,0,0,0,0,0,0,0.138,0.138,0.138,0,11,54,1
0,0,0.1,0,0.91,0.4,0,0,0,0,0,0,0,0,0.096,0.336,0.16,0,494,1426,1
0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0.421,0,0,46,182,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.235,0,0,10,134,1
0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0.174,0.174,0,0,7,59,1
0,0,0.1,0,0,0.73,0,0,0,0,0,0,0,0,0.048,0.016,0.064,0,29,339,1
0.19,0,0.09,0.57,0.19,0,0,0,0,0,0,0,0,0,0.23,0.088,0.124,0,50,368,1
0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0.899,0.105,0,1333,1334,1
0,0,0,0,0,0,0,0,0,2.24,0,0.32,0,0,0.27,0,0,0,14,178,1
0,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0,0.067,0,0.022,0,11,294,1
0,0.42,0.85,0,0.42,0,0,0,0,0,0,0,0,0,0.204,0.819,0,0,42,363,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,25,54,1
0,0,2.35,0,1.17,2.35,0,0,0,0,0,0,0,0,0,0.168,0.336,0,17,119,1
0.75,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0.415,0.138,0,11,93,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0.565,0,0,28,87,1
0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,1.008,0.059,0,1177,1180,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,0.034,0,0,15,339,1
0,0,0.3,0,0.9,0,0,0,0,0,0,0,0,0,0.048,0.144,0,0.096,139,281,1
0,0,1.04,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,65,139,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265,0.088,1.151,67,332,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213,0,25,53,1
0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0.1,1.105,0.201,0,155,271,1
0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0.236,0,0,41,79,1
0,0,0.94,0,0,1.41,0,0,0,0,0,0,0,0,0.073,1.254,0.221,0,91,219,1
0,0,0,1.47,7.35,0,0,0,0,0,0,0,0,0,0,1.272,0.254,0,63,109,1
0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0,0,57,183,1
0.08,0,0.25,0.17,0.25,0.85,0,0,0,0,0,0,0.17,0.08,0.065,0.486,0.118,0.013,669,1414,1
0,0,0,0.27,0,0.27,0,0,0,0,0,0.27,0,0,0,0.874,0.051,0.051,61,374,1
0,0,0,0,4.59,0,0,0,0,0,0,0,0,0,0.646,1.939,0,0,30,110,1
