@relation spambase

@attribute Word_freq_make numeric
@attribute Word_freq_our numeric
@attribute Word_freq_over numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_will numeric
@attribute Word_freq_report numeric
@attribute Word_freq_free numeric
@attribute Word_freq_business numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_font numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_money numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_hpl numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_original numeric
@attribute Word_freq_project numeric
@attribute Word_freq_re numeric
@attribute Char_freq3 numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.733,0,24,1
0.09,0.29,0,0,1.35,0,0.29,0.19,0,0,0,0.38,0,0,0,0,0,0,0,0.58,0,0,0.29,0,0.374,0.059,1148,1
0.87,0,0.32,0,1.37,1.69,0.32,0.54,0.29,0,0.34,0.84,0,0,0,0,0,0,0,0,0,0.02,0.07,0,0.64,0.166,3498,1
0,0,0,0.36,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0.053,0.053,496,1
0.51,0.14,0.03,0,0.65,1.2,0.21,0.43,0,0,0.51,0.58,0,0,0,0,0,0,0,0,0,0,0.03,0,0.478,0.509,2340,1
0,0.64,0.64,0.32,0.32,0,0.32,0.32,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0.168,139,1
0,0.38,0.38,0.38,0,0,0.38,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0.123,0,99,1
0,1.38,0,0,0,0,0.92,0,0.46,0,0,0.46,0,0,0,0,0,0,1.38,0.46,0,0,0,0,0.795,0.217,224,1
0,0.9,0.15,0,0.75,0,0,0.3,0,0,0.15,0.3,0,0,0,0,0,0.6,0,0,0,0,0,0,0.376,0.05,427,1
0,0.34,0,0.17,0,0,0.17,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315,0,942,1
0,0.29,0,0.14,0,0,0.14,0,0.14,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0.14,0,0.865,0.023,1001,1
0,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,0.145,0.291,59,1
0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,425,1
0,0.68,0,2.04,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309,0,95,1
0.34,1.02,0,0,0,0,0,0,1.02,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0.902,0.106,1328,1
