@relation spambase

@attribute Word_freq_make numeric
@attribute Word_freq_address numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_receive numeric
@attribute Word_freq_will numeric
@attribute Word_freq_people numeric
@attribute Word_freq_report numeric
@attribute Word_freq_free numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_money numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_lab numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_re numeric
@attribute Word_freq_edu numeric
@attribute Char_freq1 numeric
@attribute Char_freq2 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_average numeric
@attribute Spam {1,0}

@data
0,0.5,0,0.25,0.25,0.75,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0.222,0,5.5,1
0.4,0.34,0.06,0.2,0.27,0.68,0.95,0,0,0,0.13,0.27,0,0,0,0,0,0.013,0.052,0.065,3.286,1
0,0.62,0,0,0,0.62,0,0,0.31,0,0,0,0,0,0,0.31,0,0,0.051,0,3.39,1
0.19,0.19,0.19,0.97,0.09,1.07,0.19,0.87,0,0.68,0.09,0.29,0,0,0,0,0,0,0,0.03,4.295,1
0,0,1.37,0.68,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0.103,0,4.029,1
0.51,0.17,0,0,0,0.68,0.17,0.34,0.17,0,0.68,1.36,0,0,0,0,0,0,0,0.025,11,1
0,0,0,0,0,0,0,0,2.59,0,0,0,0,0,0,0,0,0,0,0,5.833,1
0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0.55,0,0,0.097,0,2.338,1
0,0,0,1.29,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0.124,0,1.477,1
0.49,0,0,0,0.99,2.48,0.49,0,4.97,0,0.49,0,0,0,0,0,0,0,0.34,0,1.468,1
0.45,0,0,0.67,0.22,1.35,0,0,0.45,1.57,0.22,0.67,0,0,0,0,0,0,0.111,0,4.947,1
0,0,0.32,0.32,0,0.32,0.32,0,0.32,0,0,0.32,0,0,0,0.65,0,0,0.111,0,1.494,1
0.29,0,0,0,0,0.44,0,0,0.14,0,0,0.14,0,0,0,0,0,0.05,0.066,0,3.075,1
0.6,0,0.6,0,0,0.6,0,0,0,0,0,0.6,0,0,1.21,0,0,0,0,0,3.217,1
0.25,0,0.25,0,0.5,0.76,0,0,0.5,0,0,0,0,0,0.25,0,0,0,0.041,0.041,1.89,1
0.19,0.19,0.19,0.97,0.09,1.07,0.19,0.87,0,0.68,0.09,0.29,0,0,0,0,0,0,0,0.029,4.285,1
0.85,0,0,0,0,0.85,0,0,4.27,0,0,5.98,0,0,0,0,0,0,0.146,0,5,1
0,0,0.33,0.33,0,0.33,0.33,0,0.33,0,0,0.33,0,0,0,0.33,0,0,0.108,0.054,2.195,1
0,0,0,0,0,0,0,0,1.25,0,0.62,0,0,0,0,0.62,0,0,0.11,0.11,3.897,1
0.17,0.17,0.08,0.08,0,0.34,0.17,0,0.34,0.43,0.17,0.17,0,0,0,0.34,0.08,0,0.107,0.026,4.215,1
0,0,0.12,0,0.12,0.48,0.12,0.12,0.12,0,0,0,0,0,0,0,0,0.056,0.037,0,1.246,1
0,0.57,0.57,0,0,0.57,0,0,0,0,0,0,0.57,0,0,0.57,0,0.072,0,0.144,7.512,1
0,0.9,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0.9,0,0,0,0,6.266,1
0,0.8,0,0,0,0.8,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,1.463,1
1.03,0,0,0,0,1.03,0,0,1.03,0,0,0.51,0,0,0,0,0,0,0,0,2.766,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,2.527,1
0,0,0,0,0,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,1
0,0,0,0,0.2,1.21,0,0,0,0,0.6,0.4,0,0,0.2,0,0,0,0.152,0,2.61,1
0,0.37,1.12,0,0.74,1.49,0.74,0,0.37,0,0,0.74,0,0,0,0,0,0,0,0,2.021,1
0.48,0,0.97,0,0,0.48,0,0,0,0,1.45,0,0,0,0,0.48,0,0,0,0.077,5.166,1
0.22,0.22,0.44,0.44,0,0.88,0.22,0,0.44,0,0.44,0.44,0,0,0,0,0,0,0,0,86.7,1
0,0,0.38,0,0.38,0.38,0,0,0.77,0,0,0.38,0,0,0,0,0,0.063,0.127,0,3.685,1
0,0.1,0,0.31,0.1,0.84,0,0.1,2,0.31,0.52,0.1,0,0,0,0,0,0,0.054,0.201,8.851,1
0.5,0.4,0.13,0.1,0.3,0.71,0.54,1.15,0.27,0,0.37,0.61,0,0,0,0.06,0,0,0.074,0.119,6.029,1
0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.888,1
0.07,0,0.07,0.23,0.3,1.31,0.15,0,1.39,0,0,0.3,0,0,0,0,0,0.024,0.183,0,3.211,1
0.46,0.31,0.05,0.26,0.26,0.96,0.57,1.22,0.1,0,1.01,0.33,0,0,0,0.02,0,0,0.068,0.159,6.05,1
0,0,0.32,0.32,0,0.32,0.32,0,0.32,0,0,0.32,0,0,0,0.32,0,0,0.105,0,1.494,1
0,0,0.23,0,0,0.47,0,0.23,0.23,0,0,0.47,0,0,0.23,0,0,0,0.123,0.024,5.038,1
0.47,0.94,0,0.47,0,2.35,0,0.47,0.47,0,0,0,0,0,0,0,0,0,0.252,0.084,57.23,1
0,0.81,0.98,0.98,0,0.81,0,0,0.49,0.16,0,0,0,0,0,0,0,0,0.246,0,2.922,1
0.43,0.43,0,0,0,0.87,0.43,0,2.63,0,0,0,0,0,0,0,0,0,0.201,0,2.329,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.652,1
0,0,0,0,0,1.29,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,4.23,1
0,0,0,0,0.36,0.9,0,0.36,0.72,0.18,0,0.54,0,0,0,0,0,0,0,0,9.043,1
0.19,0.19,0.19,0.98,0.09,1.08,0.19,0.89,0,0.59,0.09,0.29,0,0,0,0,0,0,0,0.015,4.195,1
0.15,0,0,0.61,0,0.3,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0.128,0,1.377,1
0,0,0.96,0,0.48,0.96,0,0,1.44,0,0,0,0,0,0,0,0,0,0.149,0,2.586,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0.196,0,5.466,1
0,0,0,0,0,0,0,0,1.85,0,1.85,0,0,0,0,0,0,0,0.291,0,4.833,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,0,2.9,1
0,0.66,0.33,0,0.33,0.33,0,0,0.33,1,0,0,0,0,0,0.66,0,0,0.266,0,1.894,1
0.1,0,0.1,0.52,0,0.62,0,0.2,0,0,0.73,0,0,0,0,0,0,0,0.048,0,1.915,1
0,0,0,0,0,0.75,0.75,0.18,0.18,0,0.18,0,0,0,0,0,0,0,0.14,0,2.616,1
0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0.303,0,2.857,1
0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,1
