@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R1,5,7-8,10,12,17-18,22,25,27,34-35,37,42-43,45-47,53,55,57-58'

@attribute Word_freq_make numeric
@attribute Word_freq_our numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_mail numeric
@attribute Word_freq_will numeric
@attribute Word_freq_business numeric
@attribute Word_freq_email numeric
@attribute Word_freq_font numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_george numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_original numeric
@attribute Word_freq_re numeric
@attribute Word_freq_edu numeric
@attribute Word_freq_table numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_average numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0.06,0.19,0.38,0,0,0.64,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0.081,1.729,749,1
0,1.59,0,0,0,0.63,0.31,3.18,0,0,0,0,0,0,0,0,0,0,0,0.496,3.509,186,1
0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.611,47,1
0,1.46,0.48,0,0,0.97,0.97,0,0,0,0,0,0,0,0,0,0.48,0,0,0.244,5.431,239,1
0.73,0,0.73,1.09,0.36,0.36,0.36,0.36,0,0,0,0,0,0,0,0,0,0,0,0.332,3.254,179,1
0,0.68,0.68,0,0.34,0,0,1.36,0,0.34,0,0,0,0,0,0,0,0,0,0.048,1.411,96,1
0,0.46,0.46,0,0,0.46,0,0.92,0,0,0,0,0,0,0,0,0.46,0,0,0.223,2.156,110,1
0.75,0.18,0,0.25,0.31,1.51,0.44,0.12,0,0,0,0,0,0.12,0,0.06,0,0,0,0.234,3.675,1066,1
0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0.338,1.666,10,1
0,0,0,1.45,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,1.525,61,1
