@relation spambase

@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_order numeric
@attribute Word_freq_receive numeric
@attribute Word_freq_business numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_hpl numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_parts numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_original numeric
@attribute Word_freq_edu numeric
@attribute Word_freq_conference numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0,0,0,0,0,2.7,1.35,1.35,0,0,0,0,0,0,0,0,0,0,19,1
0.28,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221,0.166,140,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1
0.06,0.06,0.06,0.06,0.72,0.84,0,0,0,0,0,0,0,0.06,0,0,0.169,0,12,1
0,0.44,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,5,1
0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1
0.53,0.17,0.62,0.26,0.08,0.89,0,0,0,0,0.08,0,0,0,0,0,0.185,0.013,583,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,25,1
0.23,1.41,0.23,0.23,1.41,0,0,0,0,0,0.47,0,0,0,0,0,0.151,0,276,1
0,0,0.19,0.09,0.19,0,0,0,0,0,0.58,0,0,0,0,0.19,0.059,0,148,1
0,0,0.14,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
0.04,0.04,0.24,0,0.14,0.38,0,0,0,0,0.04,0,0,0,0,0,0.099,0,14,1
0,0,0.31,0,0.31,0.31,0,0,0,0,1.59,0,0,0,0,0,0.501,0,91,1
3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1
0,0,1.02,0.14,0,0,0,0,0,0.29,0,0,0,0,0,0,0.153,0.102,73,1
0.7,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0.061,0,12,1
0,0,1.01,0.11,0.22,0,0.11,0.11,0,0,0,0,0,0,0,0,0.056,0,53,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.716,0,43,1
0.8,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0.087,0,12,1
0.03,0.14,0.56,0.29,0.44,0.59,0,0,0,0,0,0,0,0,0,0,0.532,0.137,763,1
1.27,0.63,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0.089,0,59,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.785,1.998,9989,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1
0.1,0,0.2,0.4,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0.16,0,494,1
0.42,0,0,0.42,0,3.38,0,0,0,0,0,0,0,0,0,0,0.39,0,363,1
0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
0,0.12,0.25,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0,0.061,0,84,1
0,0,0.66,0.22,0,0.22,0,0,0,0,0,0,0,0,0,0,0.196,0,75,1
0,0.26,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,1.157,107,1
0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207,0,25,1
