@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R5,7,13,15-16,20,23-25,27-31,33,36,38,42-44,48,50-51,54-55,58'

@attribute Word_freq_our numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_people numeric
@attribute Word_freq_addresses numeric
@attribute Word_freq_free numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_money numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_george numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_lab numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_telnet numeric
@attribute Word_freq_data numeric
@attribute Word_freq_technology numeric
@attribute Word_freq_parts numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_original numeric
@attribute Word_freq_project numeric
@attribute Word_freq_conference numeric
@attribute Char_freq2 numeric
@attribute Char_freq3 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_average numeric
@attribute Spam {1,0}

@data
0.19,0.38,0.25,0.12,0,0.06,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.03,0,0,1.729,1
1.59,0,0,1.27,0.63,0,0.31,0.63,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0.275,0,0,3.509,1
0,1.66,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.611,1
1.46,0.48,0,0,0.48,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0,0,5.431,1
0,0.73,0,0,1.09,2.19,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,3.254,1
0.68,0.68,0,0,0.34,0,0,0,0.34,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,1.411,1
0.46,0.46,0,0,0.92,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.156,1
0.18,0,0.31,0,0.37,0.69,0.44,0.75,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.085,0.053,0.064,3.675,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666,1
0,0,0,0,2.91,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,0,0,1.525,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0,0,5.13,1
0.05,0.05,0.58,0,0.26,0,1.05,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0,0.159,6.1,1
0,0.46,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.676,1
