@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R1-2,6,9,12,17,20-21,23-24,33-34,37'

@attribute Sp11 numeric
@attribute Sp12 numeric
@attribute Sp16 numeric
@attribute Sp19 numeric
@attribute Sp23 numeric
@attribute Sp28 numeric
@attribute Sp32 numeric
@attribute Sp33 numeric
@attribute Sp35 numeric
@attribute Sp36 numeric
@attribute Sp46 numeric
@attribute Sp47 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
68,85,94,76,79,71,70,76,91,74,67,75,4
80,94,102,84,91,84,85,88,118,88,84,99,3
88,111,106,88,87,88,88,88,108,85,93,103,3
88,102,98,84,83,84,81,88,104,85,79,99,3
84,106,106,84,87,88,85,88,108,85,84,103,3
84,102,98,80,83,84,81,80,96,78,79,99,3
68,83,79,68,67,71,62,67,81,62,66,79,4
84,99,103,88,85,84,87,79,100,79,86,104,3
84,103,99,84,85,79,79,88,100,79,86,104,3
88,103,99,84,85,84,83,88,100,79,82,100,3
84,99,91,80,74,79,83,79,100,83,82,96,3
80,87,75,60,74,79,79,75,96,79,82,96,3
71,79,95,80,81,84,83,79,100,75,86,100,3
80,91,83,71,70,75,71,71,85,67,78,83,7
71,79,79,68,67,67,67,67,81,67,66,71,7
56,54,51,53,67,51,67,51,70,67,49,40,5
75,87,87,71,62,74,66,70,92,66,75,91,4
93,107,107,88,87,90,89,86,108,89,92,108,3
74,91,91,74,70,79,72,79,90,68,78,88,4
74,87,87,78,66,75,68,75,93,72,78,84,4
86,100,104,86,85,87,86,87,105,83,85,102,3
90,109,109,90,89,96,90,92,110,90,89,106,3
90,109,109,90,85,87,86,92,114,86,93,106,3
86,104,109,86,89,92,90,92,110,90,89,106,3
86,109,109,86,89,87,90,87,110,86,89,106,3
83,91,91,79,68,74,69,78,97,73,80,94,4
59,60,45,46,127,44,136,44,124,136,44,31,2
46,32,34,42,131,44,133,44,119,136,47,31,2
92,108,108,92,86,89,87,89,110,87,92,111,3
92,103,99,87,86,89,87,89,110,87,88,106,3
87,108,108,87,86,89,87,89,114,90,88,106,3
83,103,103,87,83,82,87,82,105,87,80,98,3
93,125,130,89,97,88,105,88,125,102,88,116,3
93,130,120,78,87,88,102,84,111,91,84,107,3
82,102,102,78,80,80,79,80,102,76,80,99,3
78,88,92,78,73,80,68,72,94,72,56,54,4
44,37,34,44,133,41,135,41,131,139,43,31,2
89,111,106,89,90,84,91,88,115,87,88,107,3
89,106,106,85,87,88,87,92,111,87,84,103,3
85,102,111,89,87,88,94,88,120,91,88,103,3
89,106,106,85,83,88,91,88,106,87,88,107,3
88,125,125,88,105,88,99,92,122,99,88,111,3
88,125,125,88,102,92,99,88,122,96,88,103,3
72,81,69,57,109,53,114,46,133,146,44,37,2
57,49,40,47,135,46,143,46,133,146,44,32,2
92,111,111,88,91,88,88,88,113,88,84,107,3
88,102,102,80,79,84,81,80,91,74,71,79,3
88,116,107,84,78,84,87,84,104,83,86,113,3
46,34,51,71,81,48,125,59,104,92,49,37,2
84,107,112,92,92,88,96,93,118,96,95,113,3
92,112,103,88,85,88,87,88,109,83,86,104,3
88,121,116,88,92,90,96,90,117,89,92,112,3
84,99,99,84,75,78,81,82,96,78,71,73,4
44,34,34,48,121,43,133,46,127,136,46,32,2
44,29,27,44,141,46,151,46,138,147,42,30,2
44,29,32,48,129,46,140,46,127,133,46,32,2
75,79,79,75,67,74,70,78,92,74,71,77,7
90,118,109,86,92,92,90,92,114,94,89,115,3
90,109,109,90,92,92,94,92,119,94,89,115,3
82,96,91,74,81,63,101,52,119,124,44,31,2
56,53,37,43,133,42,135,42,124,139,44,34,2
46,32,40,52,122,46,131,52,110,109,44,37,2
90,109,109,90,92,92,90,92,119,94,93,111,3
86,104,104,86,89,83,90,87,110,90,89,111,3
90,113,113,95,96,92,90,92,110,86,78,88,3
74,87,83,74,70,75,68,67,75,60,67,75,7
74,83,83,74,70,67,60,63,72,57,67,67,7
74,83,83,74,70,63,57,63,72,60,60,63,7
79,91,73,63,101,47,126,44,124,133,47,34,2
52,42,37,46,135,44,143,44,129,140,44,31,2
42,32,32,42,139,44,136,44,129,140,47,34,2
