@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R3-4,6,9,12-13,15-16,18-19,21-22,25-26,36-37'

@attribute Sp13 numeric
@attribute Sp14 numeric
@attribute Sp16 numeric
@attribute Sp19 numeric
@attribute Sp23 numeric
@attribute Sp24 numeric
@attribute Sp26 numeric
@attribute Sp27 numeric
@attribute Sp29 numeric
@attribute Sp31 numeric
@attribute Sp33 numeric
@attribute Sp34 numeric
@attribute Sp37 numeric
@attribute Sp38 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
90,72,89,72,76,76,91,74,87,91,71,87,75,91,67,4
106,91,102,84,87,97,113,88,112,118,92,112,93,107,92,3
106,87,106,84,83,88,104,85,99,104,84,99,84,103,79,3
78,65,69,68,65,71,83,67,79,79,68,75,71,75,67,7
133,103,112,84,81,102,134,104,121,128,84,107,90,113,103,3
104,81,99,84,81,84,113,87,99,104,84,99,95,128,85,3
118,88,107,80,78,79,104,83,103,104,79,95,82,104,78,3
87,67,83,68,63,71,85,62,75,85,71,75,70,83,63,4
113,92,107,88,88,88,109,87,107,109,88,107,86,104,89,3
79,63,75,60,67,67,81,67,64,81,59,61,70,75,66,5
128,104,137,102,104,90,112,89,109,112,90,113,96,108,86,3
104,79,107,79,87,82,108,81,100,104,78,100,83,103,83,3
100,75,95,75,75,74,92,70,91,96,74,87,83,91,68,4
109,87,103,88,87,82,104,78,100,108,90,104,71,77,86,3
113,87,107,88,83,90,112,85,104,108,86,104,87,103,83,3
109,83,103,88,87,86,108,85,100,108,90,104,87,99,86,3
118,92,107,93,87,90,117,92,109,112,90,109,92,108,86,3
109,87,107,88,87,90,108,92,109,108,86,104,92,103,83,3
109,87,107,88,92,86,104,81,96,104,86,104,92,103,86,3
100,83,95,79,79,86,104,81,96,100,82,100,79,99,83,3
93,71,83,71,67,86,112,85,96,100,78,83,83,103,72,7
92,70,87,78,70,79,90,68,88,93,79,91,78,88,73,4
112,114,34,49,114,46,119,131,34,119,46,34,44,34,136,2
108,85,104,86,85,87,105,83,99,110,87,99,85,102,83,3
108,85,104,86,85,83,110,83,99,105,87,103,85,97,90,3
112,89,109,90,92,92,110,90,108,110,92,108,89,106,87,3
100,81,100,82,81,79,105,83,95,105,83,95,85,102,87,3
97,72,91,79,72,82,93,76,92,93,74,92,80,94,72,4
90,68,91,75,72,74,89,69,88,93,67,75,64,69,128,4
114,90,108,96,90,93,114,90,111,119,89,111,92,111,83,3
105,86,103,83,83,82,105,83,102,105,82,106,80,98,83,3
82,64,81,71,68,70,82,65,88,89,74,84,76,85,68,7
89,69,88,67,80,64,102,83,49,111,50,40,53,45,143,2
110,108,40,42,129,47,131,135,34,125,44,34,43,31,139,2
110,87,106,93,94,92,115,91,111,111,92,106,88,107,88,3
114,90,106,89,90,88,111,91,106,111,88,106,92,112,85,3
114,90,102,85,87,88,115,87,106,111,92,106,84,99,85,3
111,91,102,80,79,84,113,85,99,104,80,95,84,107,79,3
102,79,98,80,79,84,104,78,95,100,80,99,84,103,79,3
90,68,85,72,72,68,100,88,54,108,56,54,44,34,121,2
125,128,34,47,135,46,139,143,31,133,43,31,41,32,150,2
120,135,31,44,135,46,133,139,31,133,43,31,44,29,129,2
131,139,31,41,139,46,133,132,31,128,43,31,44,34,133,2
111,87,106,84,83,92,113,88,103,113,88,103,88,107,87,3
111,87,111,92,91,84,113,88,107,118,88,107,88,107,87,3
115,91,111,88,91,88,113,92,112,118,88,103,88,111,87,3
122,99,116,84,85,88,113,92,103,109,84,107,86,109,92,3
108,88,107,88,85,88,109,87,107,113,88,107,66,71,85,3
108,88,107,88,88,88,109,87,111,109,93,107,86,104,85,3
108,88,107,92,92,88,109,87,107,109,88,107,86,109,92,3
113,85,103,88,88,88,109,83,107,109,88,111,90,104,85,3
113,88,103,84,88,88,109,92,111,113,84,107,90,109,96,3
113,92,112,88,85,88,123,96,116,118,88,111,90,113,92,3
108,85,103,88,85,88,113,87,103,109,84,99,82,96,63,3
91,70,83,71,67,75,89,67,83,85,75,83,74,87,70,7
113,116,34,44,129,43,127,133,34,127,43,32,42,32,135,2
104,83,103,88,87,86,108,89,104,108,86,104,87,108,83,3
109,87,107,88,92,86,112,89,104,112,86,109,87,108,90,3
104,81,100,82,78,87,105,83,99,101,83,95,93,106,83,3
138,151,32,46,151,46,119,139,30,135,42,30,50,43,150,2
122,125,34,46,129,46,130,131,34,124,46,34,42,34,126,2
112,85,104,86,89,83,110,86,103,105,83,103,89,106,90,3
84,66,79,74,70,67,72,60,70,75,71,77,67,75,65,7
84,70,79,70,63,71,82,64,77,82,67,77,67,71,73,7
76,63,79,74,74,71,75,64,77,82,71,88,74,88,65,7
130,101,127,92,105,89,129,104,125,129,97,125,88,125,94,3
130,131,34,42,135,44,129,143,31,129,44,34,47,31,135,2
124,135,37,52,109,44,129,136,31,124,44,37,44,31,131,2
124,131,34,49,131,44,119,136,34,119,44,34,44,31,128,2
110,90,108,83,90,89,105,90,111,110,85,106,92,111,87,3
105,86,103,92,90,89,114,90,111,114,97,120,92,111,94,3
110,86,99,83,79,78,89,73,84,82,67,79,60,66,54,5
90,68,73,63,60,67,82,62,71,74,63,67,60,62,54,7
97,83,49,47,126,76,102,83,40,115,44,29,80,95,139,2
124,133,34,44,140,47,131,135,34,131,47,34,43,31,150,2
124,140,34,44,136,47,125,139,31,125,44,31,46,31,132,2
114,94,111,85,80,80,102,76,85,90,64,77,68,71,38,5
82,65,79,67,62,72,78,61,69,71,64,69,71,79,56,7
131,135,31,44,135,46,128,135,31,133,46,31,44,32,146,2
115,113,46,44,142,46,122,121,45,108,50,36,48,37,100,2
120,131,31,44,124,46,122,128,34,122,46,36,44,32,121,2
115,120,37,44,120,46,118,125,34,118,43,36,48,34,112,2
115,120,40,64,79,50,118,125,36,118,53,51,48,37,121,2
120,91,111,88,87,92,118,92,107,118,88,112,93,111,92,3
115,87,106,88,87,92,113,88,107,108,92,107,93,111,87,3
111,87,106,92,91,92,108,88,112,113,92,112,88,107,83,3
111,87,98,76,68,80,91,67,71,75,60,57,75,75,29,5
102,76,85,64,61,68,75,59,57,60,53,54,63,61,37,5
90,76,81,64,61,68,79,67,79,79,71,79,67,75,75,7
74,57,69,64,54,68,71,56,71,79,68,71,63,68,67,7
113,88,107,84,88,88,113,92,111,113,84,111,95,109,92,3
133,143,29,46,150,44,139,146,32,134,48,32,46,32,144,2
139,143,29,46,135,48,123,129,32,128,44,32,52,43,140,2
118,125,34,43,121,48,118,112,37,118,48,40,46,34,111,2
118,92,107,88,83,95,117,96,104,108,82,96,92,99,75,3
134,137,32,44,146,63,108,103,34,127,43,32,71,77,146,2
128,133,32,48,133,46,127,136,32,127,46,34,42,34,135,2
109,92,107,88,83,86,108,85,109,108,90,104,79,95,90,3
74,62,72,67,58,59,66,55,63,73,63,67,59,63,53,7
108,89,96,82,81,83,101,75,91,97,83,91,78,92,80,4
69,55,75,66,59,59,65,53,66,72,63,73,57,60,62,7
124,139,32,42,135,44,124,140,34,129,44,34,47,34,139,2
130,139,32,42,120,44,124,136,31,124,44,31,47,40,128,2
110,120,34,49,116,44,114,122,34,114,47,37,47,31,120,2
114,90,112,92,90,97,114,94,115,114,93,115,97,120,94,3
119,90,112,96,94,93,119,94,115,114,97,115,88,115,87,3
65,49,51,59,60,53,67,48,49,70,57,56,53,52,61,5
72,57,60,59,64,53,82,83,43,97,44,37,44,29,116,2
119,94,115,97,94,92,120,94,115,120,88,106,80,99,78,3
119,129,43,50,111,44,115,120,40,115,50,43,50,36,117,2
97,80,92,82,76,68,82,61,81,90,76,85,68,75,67,7
82,65,71,63,58,72,90,65,81,94,64,69,71,83,63,7
