@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,11,16-19,21-22,24,26,29,33-34,37'

@attribute Sp12 numeric
@attribute Sp13 numeric
@attribute Sp18 numeric
@attribute Sp22 numeric
@attribute Sp27 numeric
@attribute Sp28 numeric
@attribute Sp29 numeric
@attribute Sp31 numeric
@attribute Sp33 numeric
@attribute Sp34 numeric
@attribute Sp36 numeric
@attribute Sp38 numeric
@attribute Sp42 numeric
@attribute Sp46 numeric
@attribute Sp47 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
102,106,79,102,88,80,107,113,80,95,78,103,79,79,95,3
94,102,79,94,74,71,75,87,60,54,74,95,79,75,79,5
81,82,65,78,67,71,79,83,71,79,63,79,71,67,72,7
107,118,88,113,87,79,103,104,79,103,79,104,82,82,100,3
112,113,85,113,92,93,107,113,93,107,87,104,90,90,109,3
99,104,85,104,79,88,95,100,88,95,83,104,86,82,100,3
91,100,78,91,75,75,87,93,75,83,71,100,86,82,96,7
68,79,70,71,71,55,54,85,55,51,67,63,59,59,56,5
103,104,79,100,85,82,100,108,78,96,78,99,79,83,95,3
99,113,87,109,85,82,96,104,86,100,85,48,71,83,99,3
103,109,87,104,85,90,104,112,86,104,85,99,87,87,95,3
107,109,83,109,85,86,104,108,86,100,85,99,87,87,103,3
107,109,87,109,89,86,104,112,86,104,81,103,92,92,103,3
54,85,67,70,63,59,56,76,59,53,70,66,63,63,66,5
51,74,62,70,66,59,53,76,56,49,70,63,63,59,57,5
87,92,66,92,72,75,88,90,75,91,75,84,74,74,88,4
109,112,85,112,86,92,108,114,92,108,86,111,93,89,111,3
104,112,89,108,86,92,108,110,92,103,86,111,85,89,106,3
96,104,85,104,79,83,99,105,87,99,83,102,89,89,106,3
71,80,66,73,68,67,73,75,63,66,57,84,74,67,79,7
103,110,86,114,97,89,120,124,93,115,101,120,88,88,125,3
37,119,131,119,136,42,31,124,44,34,133,31,44,44,31,2
77,97,83,105,97,74,92,101,82,102,83,40,64,84,102,3
103,105,83,110,90,89,106,114,93,106,90,111,88,88,111,3
103,110,86,105,90,89,111,110,89,111,87,111,92,92,111,3
102,110,83,101,79,80,98,102,80,98,79,95,80,80,95,3
102,105,80,93,76,84,94,98,80,94,72,99,84,80,99,4
88,93,80,97,109,50,40,125,47,34,135,34,46,46,31,2
34,124,133,105,135,41,31,131,44,40,120,31,43,46,34,2
111,114,87,110,83,88,106,106,88,111,83,103,92,88,107,3
111,110,87,110,87,88,106,111,84,102,87,107,88,88,107,3
97,105,87,101,83,88,106,106,88,106,87,103,88,88,103,3
102,105,80,101,83,88,106,115,84,111,87,107,88,84,107,3
106,105,87,105,83,80,98,98,76,94,76,79,68,71,75,3
31,120,135,125,139,43,31,128,43,31,135,32,48,48,37,2
34,131,135,131,135,43,31,128,46,34,132,34,48,44,34,2
73,106,83,111,103,71,87,104,88,103,88,37,59,79,91,2
102,106,87,115,88,92,107,113,88,107,88,103,88,93,107,3
111,115,91,111,88,88,107,113,88,107,88,107,93,88,107,3
106,115,87,111,85,88,107,113,84,103,85,103,84,84,103,3
111,115,91,115,88,88,107,113,88,107,88,107,84,88,107,3
111,120,91,111,92,88,103,113,88,103,85,116,88,88,107,3
94,94,72,86,67,71,75,79,68,79,67,79,75,71,79,7
107,113,85,108,83,88,107,109,88,103,87,104,86,86,104,3
107,108,85,108,87,84,103,104,84,103,83,109,86,86,104,3
103,108,88,118,83,84,103,109,88,103,87,104,86,86,104,3
83,91,70,87,71,75,83,89,75,83,67,79,74,74,83,7
99,100,79,104,85,82,100,104,82,100,81,108,87,83,99,3
32,139,150,139,151,49,32,138,46,29,151,40,42,42,30,2
107,109,87,109,89,90,109,112,86,109,89,112,92,92,112,3
107,113,87,104,89,90,109,112,86,109,89,108,87,87,108,3
103,104,87,109,85,86,104,108,86,104,85,112,83,83,99,3
79,81,62,89,66,70,75,76,70,75,63,77,67,71,77,7
29,133,133,122,135,46,32,124,46,34,131,34,44,42,34,2
71,100,81,108,98,75,84,101,87,99,83,40,57,82,92,2
109,112,89,108,86,87,108,110,87,112,90,106,89,89,106,3
104,112,85,117,94,92,117,124,92,117,94,115,89,89,111,3
104,108,81,108,79,75,91,93,75,84,72,79,63,67,71,7
45,110,139,135,126,50,43,110,44,34,143,31,50,50,46,2
34,130,131,119,129,44,34,114,44,34,126,31,44,44,34,2
34,119,127,124,126,47,34,119,47,34,126,34,47,44,34,2
51,110,79,105,115,57,60,105,82,92,80,37,50,64,69,2
103,110,86,105,90,89,106,114,89,106,90,102,88,88,106,3
