@relation satimage

@attribute Sp14 numeric
@attribute Sp21 numeric
@attribute Sp23 numeric
@attribute Sp28 numeric
@attribute Sp29 numeric
@attribute Sp36 numeric
@attribute Sp38 numeric
@attribute Sp42 numeric
@attribute Sp46 numeric
@attribute Sp47 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
92,113,100,79,112,98,115,74,70,111,1
90,103,94,63,97,97,85,64,68,106,1
96,113,96,67,103,94,102,63,63,111,1
86,91,86,57,88,87,89,57,57,94,1
100,109,96,67,108,94,102,67,67,102,1
79,83,79,56,83,78,84,56,52,84,1
90,106,94,68,89,91,87,68,68,91,1
97,111,101,60,111,98,112,60,64,107,1
94,120,104,80,106,98,103,80,68,83,1
102,106,94,76,112,88,103,67,63,91,1
100,113,100,67,112,98,111,63,63,120,1
83,81,86,53,84,83,98,57,53,89,1
98,103,94,67,102,90,89,64,68,106,1
87,87,87,56,91,85,84,52,49,73,1
72,73,76,53,71,78,72,55,55,79,1
78,79,78,48,72,75,75,49,49,71,1
85,83,81,63,84,75,84,63,63,79,1
92,99,96,70,100,92,95,63,59,91,1
85,100,92,59,91,90,92,60,60,97,1
87,92,87,60,98,83,91,56,56,91,1
81,91,89,59,95,86,106,60,63,102,1
83,89,79,60,91,81,107,67,67,91,1
70,79,81,59,81,90,92,60,67,102,1
96,103,96,70,104,96,112,75,71,108,1
94,111,94,68,111,102,107,71,68,112,1
90,106,90,64,98,94,68,64,68,99,1
83,85,83,53,79,78,79,55,51,75,1
85,83,81,63,75,87,91,66,63,79,1
89,100,92,67,99,94,97,70,67,97,1
104,111,96,66,113,96,108,63,67,108,1
87,94,83,56,87,85,95,63,63,87,1
86,99,90,67,97,94,98,57,53,85,1
98,111,98,68,107,96,107,67,67,107,1
102,115,98,80,116,99,116,75,75,116,1
83,94,87,56,91,85,95,63,59,95,1
90,103,90,63,88,90,85,64,68,89,1
81,83,81,56,81,79,79,53,57,79,1
99,112,96,71,111,100,113,70,74,113,1
100,111,100,66,109,96,108,67,67,108,1
102,111,98,71,107,99,103,71,71,107,1
88,75,74,63,87,79,79,59,59,83,1
96,113,100,71,112,101,111,67,67,106,1
74,79,78,51,75,79,75,56,49,75,1
103,112,96,84,111,92,71,74,78,96,1
83,111,94,64,89,91,91,60,64,95,1
79,98,91,60,95,88,99,63,63,103,1
92,113,100,63,103,98,97,67,74,106,1
83,87,83,59,79,81,84,59,56,81,1
74,75,78,51,79,79,87,52,49,75,1
103,103,88,71,116,96,113,70,70,118,1
87,85,79,53,83,81,87,55,55,83,1
90,106,87,68,98,91,75,64,64,99,1
96,113,96,63,108,94,102,63,63,106,1
98,108,98,63,111,101,111,68,68,106,1
65,111,94,68,106,98,99,68,71,107,1
83,91,92,63,83,85,73,63,63,91,1
75,70,72,50,71,65,77,50,50,69,1
92,95,92,63,91,89,103,63,63,103,1
92,79,85,55,91,87,104,66,56,91,1
89,79,78,59,73,75,75,60,63,92,1
70,63,70,49,73,72,79,50,50,71,1
92,87,92,63,83,81,108,71,67,77,1
78,79,78,55,72,75,75,52,56,67,1
99,112,99,67,111,96,118,66,66,109,1
83,94,79,68,99,85,111,71,71,103,1
76,73,76,56,68,85,61,51,59,72,1
65,106,91,60,99,96,91,71,71,111,1
87,91,92,66,83,81,88,67,67,84,1
79,68,75,63,79,70,73,59,63,73,1
90,99,94,67,97,94,85,68,64,98,1
92,104,92,71,103,86,102,63,57,97,1
94,102,94,64,102,94,103,64,64,107,1
83,71,80,50,69,76,79,50,46,71,1
80,88,87,64,81,83,87,60,64,83,1
87,98,91,68,103,92,103,71,71,107,1
87,92,83,53,89,83,79,53,53,95,1
98,112,98,67,106,94,98,64,64,106,1
80,88,83,53,77,79,83,56,60,79,1
91,102,91,64,95,88,34,51,59,87,1
88,95,85,71,107,96,113,70,70,109,1
92,107,96,71,103,92,104,70,74,109,1
72,69,76,46,71,74,79,51,51,79,1
96,91,78,67,99,79,111,63,63,92,1
76,88,87,53,81,83,83,60,56,83,1
83,81,79,53,79,80,77,57,53,77,1
94,111,97,68,102,94,103,71,71,107,1
78,68,67,55,72,71,71,52,52,71,1
90,99,90,63,79,90,81,64,64,85,1
83,81,79,50,75,74,72,51,51,75,1
96,103,92,71,111,96,100,66,70,109,1
96,107,96,66,113,96,103,63,63,112,1
74,79,81,59,84,83,84,53,50,79,1
70,75,74,51,72,75,67,49,49,71,1
79,73,79,47,67,73,69,50,50,66,1
90,99,90,57,97,83,94,53,50,73,1
94,108,98,63,102,94,102,64,64,106,1
88,103,92,67,99,92,87,63,63,100,1
98,103,94,63,102,90,62,53,60,94,1
88,87,85,55,83,79,96,56,52,83,1
96,75,83,70,100,89,99,75,71,99,1
101,111,94,68,115,98,116,68,64,112,1
79,73,75,47,67,73,69,50,50,73,1
90,99,90,70,106,90,106,72,72,106,1
90,79,76,53,85,76,83,53,53,71,1
87,88,83,53,89,83,87,53,53,83,1
101,112,98,67,111,101,115,60,64,111,1
98,111,98,64,107,96,111,67,71,107,1
94,94,83,76,112,99,111,84,75,107,1
92,107,96,59,99,92,96,63,63,100,1
74,68,70,51,68,71,71,49,52,67,1
79,91,86,53,79,80,73,57,57,81,1
99,107,96,84,103,92,104,78,74,83,1
79,94,87,64,99,88,79,59,63,83,1
100,113,100,71,108,98,111,67,67,111,1
85,95,88,55,91,87,87,56,63,87,1
85,83,88,63,87,87,91,66,63,83,1
100,113,100,71,112,98,106,70,67,106,1
99,112,92,71,103,87,104,66,63,87,1
83,115,102,76,116,99,111,75,75,116,1
87,106,94,97,115,91,121,88,92,103,1
94,106,94,71,103,96,103,71,71,99,1
90,97,87,60,98,83,103,53,53,83,1
92,103,87,63,104,92,88,59,63,99,1
96,112,99,67,111,96,113,66,66,109,1
96,112,103,67,107,96,104,63,66,100,1
96,111,100,63,113,96,108,63,63,108,1
98,99,86,70,111,90,111,72,68,102,1
