@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R2,5-6,8,16,22-23,26,28-29,33,35,37'

@attribute Sp12 numeric
@attribute Sp15 numeric
@attribute Sp16 numeric
@attribute Sp18 numeric
@attribute Sp27 numeric
@attribute Sp34 numeric
@attribute Sp35 numeric
@attribute Sp38 numeric
@attribute Sp41 numeric
@attribute Sp42 numeric
@attribute Sp46 numeric
@attribute Sp48 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
94,80,102,79,81,103,118,103,79,79,79,109,3
106,88,106,87,88,103,113,103,87,93,88,109,3
106,88,106,87,85,99,104,103,83,84,84,104,3
98,80,98,83,81,87,96,95,79,79,79,100,3
66,57,55,72,67,54,71,61,71,55,55,74,5
99,84,99,81,79,103,104,123,100,82,82,108,3
95,76,91,74,71,87,96,87,70,74,74,92,4
103,84,103,85,83,99,109,40,114,63,82,104,3
103,88,112,92,87,107,109,104,85,90,90,117,3
112,92,112,88,92,107,113,109,89,90,90,112,3
103,97,107,88,87,107,109,109,89,90,90,112,3
112,92,112,92,87,107,109,104,85,90,86,108,3
99,84,103,79,85,100,104,108,86,83,79,110,3
107,79,107,87,78,104,104,103,83,79,83,114,3
95,79,95,75,78,91,92,95,75,83,83,97,4
75,67,75,71,81,40,112,37,127,46,46,119,2
83,71,75,67,81,75,88,103,83,79,71,86,7
48,51,48,67,70,40,69,66,64,59,56,75,5
113,95,128,103,90,127,130,115,101,93,93,129,3
109,86,104,89,90,103,105,106,87,89,85,110,3
100,82,96,81,83,99,105,102,83,82,89,114,3
99,79,95,79,80,97,101,98,79,80,84,98,3
77,63,73,83,108,37,119,34,135,47,44,131,2
45,46,37,127,136,31,124,34,135,44,44,131,2
48,71,77,75,133,92,101,31,139,44,64,106,2
103,87,103,86,90,106,114,111,87,92,88,111,3
99,87,103,86,87,106,110,111,91,88,88,115,3
108,92,108,90,87,102,114,115,91,92,88,111,3
103,83,103,86,90,106,114,106,87,92,92,111,3
103,83,99,79,87,102,105,106,87,88,88,106,3
99,79,99,83,83,102,105,106,87,88,88,111,3
99,87,99,83,87,102,105,102,87,84,80,98,3
92,78,88,73,68,81,94,68,88,56,56,104,4
106,89,106,90,87,111,111,107,85,84,84,113,3
106,82,102,83,83,98,106,99,81,80,76,96,3
102,78,102,83,79,98,102,95,74,76,68,83,3
88,70,79,65,72,85,86,75,63,68,71,87,7
131,92,120,98,107,121,133,126,108,88,88,128,3
98,80,98,76,78,95,100,95,79,84,79,100,3
34,47,34,135,146,31,139,32,154,44,44,139,2
102,88,106,83,85,103,113,107,87,88,84,113,3
98,80,98,79,67,75,87,79,71,75,71,85,7
99,80,95,78,83,99,104,113,89,86,82,104,3
95,80,91,70,75,72,96,79,81,66,56,108,2
68,56,54,103,129,37,118,34,133,43,46,127,2
54,56,54,92,129,45,113,32,133,46,46,122,2
45,46,34,146,104,32,139,32,136,52,52,117,2
34,46,31,143,137,32,139,40,114,52,46,138,2
31,43,31,143,150,27,134,32,151,46,46,133,2
31,43,31,139,150,29,134,29,151,46,46,138,2
31,46,34,132,133,37,123,34,129,46,46,122,2
107,88,107,88,87,107,109,104,89,86,86,112,3
112,84,99,85,87,103,109,109,89,82,82,104,3
103,88,107,88,87,111,113,104,85,90,90,117,3
107,88,107,88,83,107,109,100,81,86,90,108,3
95,76,87,70,62,79,89,75,66,66,70,84,7
75,71,75,63,67,79,85,83,70,74,70,76,7
107,93,107,87,85,109,112,108,90,92,92,110,3
107,84,103,83,85,104,108,95,79,75,75,93,3
103,88,107,87,85,96,100,84,72,75,67,79,3
79,71,79,67,70,79,80,70,57,71,71,82,7
79,79,87,71,63,79,84,77,64,71,71,82,7
123,86,128,107,101,122,130,125,104,93,97,124,3
109,86,109,85,86,112,119,111,87,93,93,114,3
113,95,113,96,90,99,101,92,76,78,70,82,3
71,70,79,66,64,70,75,84,69,67,63,74,7
73,63,57,101,126,31,129,29,135,47,50,131,2
103,87,103,86,90,111,110,106,87,88,88,106,3
95,75,91,72,62,71,78,66,54,64,60,67,5
77,71,77,68,69,79,82,85,72,76,72,78,7
125,93,125,104,102,115,120,116,92,92,88,113,3
115,89,115,94,87,111,115,112,88,88,92,113,3
111,93,106,90,87,102,111,107,88,88,84,100,3
34,47,34,126,124,37,120,34,121,43,46,118,2
111,85,97,80,68,69,67,57,45,53,53,53,5
79,78,84,73,68,85,90,79,70,71,68,79,7
102,88,102,83,88,103,113,107,87,88,88,109,3
111,92,115,91,85,107,113,107,87,93,93,113,3
66,64,69,57,45,57,67,54,46,59,59,67,5
69,64,66,54,49,54,67,51,46,59,55,67,5
73,72,77,68,70,83,87,83,71,71,71,85,7
69,64,66,54,59,68,71,72,62,71,71,74,7
95,80,95,74,79,83,93,96,81,82,82,92,4
112,92,112,92,87,95,100,104,85,78,74,96,3
107,88,103,85,75,75,74,87,74,74,70,80,7
79,71,79,67,67,91,96,67,59,66,70,84,7
111,88,111,92,85,113,117,112,94,92,96,130,3
111,93,111,92,92,109,117,112,94,96,92,114,3
111,88,111,92,96,113,122,112,90,92,92,119,3
111,88,107,87,92,113,112,103,83,83,79,101,3
75,63,61,42,63,56,62,70,57,59,52,58,5
54,55,54,46,52,49,69,51,49,56,59,72,5
32,46,32,136,139,34,124,34,140,44,44,124,2
37,49,34,118,113,37,110,37,111,47,47,110,2
34,49,34,125,116,45,110,46,111,60,70,97,2
113,90,109,89,90,112,119,115,94,97,97,114,3
56,66,67,63,49,66,79,56,48,57,57,74,7
32,46,32,142,143,34,119,31,142,47,47,131,2
32,42,32,139,111,31,124,43,102,47,44,131,2
37,49,37,116,111,40,105,43,102,60,64,94,2
112,96,112,94,97,115,114,111,91,88,88,106,3
88,63,63,90,76,49,115,91,78,84,68,100,2
31,47,34,126,128,34,115,29,135,46,50,113,2
63,70,79,80,61,81,90,71,56,68,68,83,7
92,82,102,76,68,98,102,75,59,71,71,96,7
106,85,106,83,79,89,94,95,78,80,68,83,3
97,82,92,76,76,77,78,83,67,68,71,83,7
53,53,53,62,65,49,74,57,67,56,53,75,5
60,60,60,65,94,29,115,34,128,43,43,122,2
60,53,53,83,116,29,106,29,139,43,43,122,2
37,53,53,76,116,52,78,29,128,40,46,96,2
31,44,31,139,139,29,128,32,129,44,44,118,2
40,50,43,102,125,45,113,34,129,48,48,118,2
81,72,77,65,67,79,87,75,67,71,75,85,7
52,53,49,57,70,45,75,58,67,55,55,77,5
52,57,55,61,56,54,79,51,50,55,55,70,5
55,57,55,54,63,51,67,45,54,55,55,77,5
31,43,31,135,129,32,118,32,125,46,49,122,2
87,84,103,85,67,103,104,79,63,70,66,88,7
99,84,99,78,79,95,100,87,74,82,82,100,7
51,56,51,56,62,51,67,49,66,52,56,73,5
48,46,34,128,75,29,128,53,63,56,52,104,2
54,60,57,67,62,61,89,46,63,52,56,76,5
95,84,91,75,81,91,96,103,83,83,83,101,4
99,84,99,79,81,96,104,99,83,79,79,97,4
99,75,87,75,78,100,100,103,83,83,92,114,4
32,44,34,129,125,34,122,37,116,46,49,105,2
75,67,79,62,63,83,80,77,60,67,71,90,7
75,71,79,67,66,75,80,77,68,71,75,90,7
51,55,48,62,66,49,76,60,68,59,59,82,5
27,41,27,137,133,27,127,37,116,46,42,124,2
96,82,100,85,86,103,105,106,90,93,93,110,3
56,49,34,129,79,37,114,102,80,67,50,97,2
32,46,34,122,116,40,105,40,111,47,53,101,2
32,46,32,125,131,34,119,37,133,53,53,101,2
87,82,91,78,64,91,90,79,65,74,78,93,7
43,46,29,133,90,30,124,37,115,42,42,119,2
95,79,95,79,76,92,97,102,79,84,84,106,4
57,59,57,68,73,56,82,59,72,57,57,78,5
54,59,48,90,87,29,114,37,102,50,44,111,2
92,82,92,76,79,102,102,112,92,92,92,113,3
92,82,92,80,83,98,106,107,85,88,88,108,3
43,44,40,111,83,69,98,95,74,71,68,100,2
37,47,37,133,102,73,78,75,63,68,64,75,2
75,70,79,58,57,77,74,75,59,68,68,67,7
75,67,79,69,76,73,86,71,74,64,68,87,5
49,53,49,58,65,55,78,54,70,56,53,91,5
102,88,98,83,92,107,118,111,92,93,97,118,3
69,64,66,54,56,71,67,72,54,67,67,77,7
73,68,73,57,59,71,75,72,58,67,67,70,7
73,68,69,76,78,71,87,68,79,67,67,89,5
73,72,81,72,74,75,83,72,71,67,67,81,5
112,92,107,88,92,111,118,118,96,95,95,117,3
107,97,112,88,87,107,113,109,89,95,90,112,3
75,64,71,59,54,72,70,71,55,66,66,73,7
71,71,75,59,58,72,70,71,55,66,66,69,7
71,68,75,59,58,79,81,75,59,70,74,88,7
54,56,54,70,67,54,100,71,63,66,70,92,4
111,93,111,92,89,113,122,112,94,96,92,114,3
75,71,75,67,59,79,88,81,68,71,67,79,7
32,48,34,108,114,32,104,51,113,46,46,101,2
29,44,29,100,100,32,104,32,120,49,46,110,2
118,95,118,92,90,117,119,115,90,93,101,119,3
75,66,79,59,60,81,79,75,58,67,70,82,7
71,66,71,55,68,73,72,84,62,70,67,78,7
71,66,71,55,60,70,72,75,65,67,67,74,7
75,70,79,74,72,84,93,84,76,74,74,97,4
63,63,67,63,60,66,68,75,62,67,67,82,4
79,74,87,78,64,81,93,75,69,67,70,89,4
40,43,32,107,101,30,101,34,122,50,44,114,2
99,83,95,79,73,71,74,94,72,72,64,71,7
73,67,73,60,58,75,82,73,57,64,64,78,7
88,75,77,68,73,75,78,85,87,72,72,90,4
67,63,67,51,54,69,74,68,56,64,68,75,7
67,63,71,55,57,73,74,75,59,64,68,79,7
79,74,84,76,83,85,98,95,85,71,76,108,4
75,67,75,65,76,85,86,95,81,76,76,96,4
43,50,34,115,98,34,102,87,81,60,46,104,2
106,92,111,91,92,116,122,111,92,93,97,123,3
98,80,98,76,74,87,91,83,71,75,75,93,7
98,80,94,76,74,91,100,87,71,75,79,100,7
73,72,81,72,70,83,96,75,67,67,75,89,4
29,41,29,128,125,29,113,32,121,44,41,113,2
107,92,112,92,87,99,109,109,81,86,86,104,4
99,84,99,81,79,107,109,100,85,86,86,112,4
103,84,99,78,87,91,93,100,81,78,74,88,4
68,64,75,52,54,72,77,71,55,66,66,80,7
75,68,75,59,58,75,77,75,59,66,66,84,7
75,64,75,59,58,75,74,75,59,63,63,76,7
75,64,75,52,58,72,74,71,59,63,66,80,7
79,71,83,63,62,79,85,79,63,66,70,80,7
79,71,83,63,62,83,85,79,63,70,66,88,7
34,43,36,114,112,37,104,49,107,46,46,100,2
99,79,95,79,85,100,108,103,86,87,87,105,4
75,71,75,54,59,75,80,73,57,63,67,82,7
118,95,118,96,98,112,114,102,83,82,70,85,3
75,66,75,63,60,77,79,75,55,67,67,78,7
108,92,112,90,101,120,119,115,98,97,92,120,3
108,83,108,86,87,106,110,120,91,84,88,111,4
103,87,103,83,87,106,114,106,87,88,84,111,4
81,67,77,60,62,79,74,77,57,68,68,78,7
40,52,48,98,73,88,85,94,76,76,76,98,4
79,67,79,62,57,77,78,75,59,68,68,79,7
71,63,71,58,57,69,74,75,56,68,68,75,7
84,67,84,76,79,81,86,83,74,71,76,91,4
84,74,88,73,68,85,94,91,74,76,76,87,4
88,74,84,73,76,85,86,87,74,71,71,87,4
102,84,98,79,78,87,91,95,75,79,75,89,4
77,68,77,65,63,79,83,83,62,67,67,81,7
69,68,69,57,59,75,75,75,62,67,67,81,7
73,64,77,65,63,79,83,79,67,71,67,81,7
75,64,75,59,58,75,77,75,59,66,66,80,7
83,71,83,67,71,79,81,100,81,82,78,96,7
75,68,75,56,58,72,77,79,63,70,66,80,7
103,76,116,99,100,116,123,100,92,78,74,122,1
103,64,91,81,96,99,109,113,100,66,66,122,1
75,67,75,58,74,75,80,91,72,71,67,82,7
75,67,75,62,59,79,84,70,64,67,67,82,7
79,71,83,62,63,79,80,77,64,67,63,82,7
99,79,95,79,59,91,96,66,57,59,71,90,4
75,66,75,59,64,73,79,79,65,67,67,78,7
79,66,75,63,68,81,82,97,83,78,78,93,7
56,59,60,81,86,63,90,56,87,57,57,89,5
75,66,79,66,60,77,82,75,62,63,67,82,7
63,63,63,55,53,70,72,75,62,63,63,78,7
63,63,67,55,60,70,75,71,62,63,67,78,7
67,70,83,70,57,84,90,67,58,63,63,82,7
77,67,81,64,62,79,82,89,68,72,68,74,7
81,67,77,64,65,75,78,81,61,68,68,74,7
99,75,112,101,94,115,119,106,98,72,68,120,1
108,67,112,98,101,115,129,111,98,64,68,125,1
81,63,66,57,69,67,70,73,72,72,68,74,7
66,63,66,60,62,71,78,77,65,68,68,78,7
66,63,70,60,62,71,78,77,61,68,68,74,7
88,75,88,72,73,75,78,77,65,64,64,78,4
88,78,92,73,68,89,90,87,70,76,76,96,4
88,78,88,76,72,102,102,91,74,76,76,96,4
88,74,88,83,83,98,106,91,78,80,80,104,3
84,74,88,80,83,89,94,99,81,80,80,104,3
60,60,60,87,87,55,94,51,74,56,56,87,5
75,63,71,62,65,73,78,75,63,68,64,75,7
88,74,88,73,68,73,78,79,63,71,71,79,7
102,84,102,79,81,99,100,95,75,84,84,100,4
115,64,115,98,103,121,122,111,100,67,71,128,1
77,68,73,65,59,75,75,75,62,67,67,74,7
69,68,69,61,59,75,75,72,62,67,67,74,7
87,71,87,70,62,83,81,87,66,78,74,84,7
112,68,116,103,96,111,123,109,96,66,66,122,1
79,71,79,67,62,79,81,71,63,63,66,76,7
99,79,99,83,81,100,104,91,79,79,83,105,3
99,79,99,83,81,100,104,99,83,83,79,105,3
51,51,51,50,33,56,69,51,42,49,49,68,5
51,55,51,54,44,60,73,48,49,49,56,75,5
107,67,111,96,96,109,122,108,98,67,67,124,1
79,74,79,66,64,88,93,84,65,67,67,85,7
79,78,83,70,64,88,97,67,65,70,74,93,7
91,78,96,81,72,99,105,92,76,78,82,105,7
109,66,109,96,98,112,114,111,101,67,67,119,1
54,67,73,64,69,79,89,55,61,64,72,86,7
73,75,84,68,65,88,93,66,65,72,76,94,7
88,75,88,72,83,92,105,98,83,80,80,106,7
99,75,91,68,83,63,67,98,83,76,57,64,3
108,71,112,94,94,111,119,111,98,64,68,120,1
88,67,84,62,68,81,82,95,74,71,68,87,7
97,78,88,69,83,59,64,99,81,71,56,63,3
88,60,63,41,61,49,71,83,59,56,53,67,5
49,50,53,58,57,52,82,54,59,56,60,75,5
53,50,53,65,61,52,78,54,67,56,53,75,5
115,67,120,97,102,115,120,107,99,68,68,128,1
97,63,79,73,94,77,82,112,99,68,64,91,1
85,76,89,68,70,83,96,91,71,75,75,89,4
77,64,81,65,63,83,83,75,62,67,71,85,7
81,72,89,72,63,91,96,79,67,71,71,89,7
89,80,98,76,74,95,104,83,71,75,79,96,7
91,80,95,81,67,91,96,83,63,70,74,96,4
61,60,57,67,71,64,85,83,74,63,59,73,5
54,56,54,63,58,54,70,56,59,52,56,76,5
116,68,116,99,100,107,118,113,103,66,66,122,1
79,71,79,67,63,79,80,81,64,67,67,82,7
91,75,79,75,81,83,92,91,79,79,75,97,4
91,79,95,79,70,91,96,81,68,75,75,90,7
54,51,58,75,78,71,88,77,83,75,79,110,5
111,71,107,96,96,104,117,103,94,63,63,119,1
64,63,68,54,59,67,66,73,64,67,59,65,7
87,74,87,74,72,88,93,88,69,74,74,97,4
83,66,79,63,64,77,86,79,62,67,67,82,7
91,82,91,81,68,95,101,75,62,70,78,93,4
104,82,100,89,86,95,105,111,90,85,82,114,3
53,56,53,59,68,60,93,75,87,70,82,105,5
63,59,71,78,86,103,110,120,104,82,70,119,3
104,70,113,96,86,108,119,88,83,67,67,114,1
118,66,113,100,98,108,119,106,97,67,67,124,1
113,70,113,103,101,112,124,111,104,63,67,124,1
91,75,88,72,69,84,97,94,72,80,76,86,4
103,67,99,83,94,92,105,106,91,68,64,102,1
88,78,92,73,72,94,94,91,70,80,76,91,4
111,67,106,97,91,106,115,95,88,64,60,118,1
102,67,106,97,94,102,115,103,92,64,64,118,1
111,63,111,101,102,111,125,112,99,64,64,122,1
111,63,111,104,98,111,125,107,96,64,68,122,1
106,67,111,101,102,111,111,107,96,71,71,122,1
81,68,77,68,70,61,75,72,62,71,63,74,7
73,60,66,61,59,75,91,99,79,71,75,109,5
87,80,91,70,71,87,93,87,70,78,78,96,4
91,71,87,70,71,87,89,87,66,74,74,88,4
83,68,79,63,67,79,81,87,70,70,66,80,7
68,64,75,78,71,107,113,109,92,78,74,112,3
107,64,99,85,96,99,113,104,92,63,63,112,1
103,60,99,92,92,99,113,100,81,59,63,108,1
107,64,107,99,96,107,118,113,96,66,66,117,1
112,76,112,96,100,107,118,113,96,74,74,122,1
79,84,99,83,59,96,104,70,72,79,83,101,7
91,84,103,83,78,113,127,99,86,87,92,124,3
107,79,111,100,81,100,108,95,90,59,59,114,1
111,67,111,100,100,113,117,108,94,63,67,114,1
71,63,75,59,64,81,86,92,83,78,78,97,7
113,86,118,100,98,95,110,106,90,67,63,105,1
113,70,113,96,98,108,114,111,94,67,67,119,1
84,71,81,64,55,67,82,69,57,64,64,71,7
99,87,112,94,90,115,124,106,91,88,84,115,3
92,78,97,83,79,106,106,83,78,80,88,108,7
106,93,120,97,91,111,115,107,92,88,88,122,3
102,57,92,87,83,81,90,75,74,53,56,91,1
97,63,97,87,87,85,102,87,81,53,53,96,1
92,57,88,83,83,85,94,95,85,53,53,96,1
102,63,111,97,98,111,125,107,96,68,64,122,1
111,67,111,97,98,111,125,112,99,68,68,128,1
77,76,85,79,78,83,91,87,79,75,75,96,7
85,80,94,83,78,103,108,83,79,88,93,113,7
81,53,85,76,78,83,96,72,71,55,59,93,1
85,57,85,83,78,87,100,72,75,59,59,104,1
85,53,85,83,78,87,104,75,75,51,55,100,1
89,64,102,91,78,103,113,87,79,67,63,100,1
106,68,111,98,88,107,118,95,83,67,67,118,1
71,68,75,56,58,75,74,71,55,66,66,73,7
75,53,75,74,71,75,96,75,74,56,49,88,1
87,53,83,78,83,83,96,83,85,63,59,104,1
87,53,95,85,83,79,96,79,78,52,52,100,1
112,71,112,96,100,107,118,113,96,70,70,122,1
87,75,83,79,85,71,84,99,86,83,67,82,7
79,55,83,79,89,79,96,91,86,56,56,97,1
79,51,75,75,85,83,100,81,83,56,56,105,1
107,67,107,96,78,109,122,91,79,63,67,114,1
71,66,71,55,57,73,72,71,58,67,67,85,7
71,63,67,55,64,88,90,106,83,85,85,110,7
104,66,91,81,86,77,90,97,90,57,50,101,1
