@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R1-2,7,9,11-12,16-17,19,22-23,26-27,29,36-37'

@attribute Sp11 numeric
@attribute Sp12 numeric
@attribute Sp17 numeric
@attribute Sp19 numeric
@attribute Sp22 numeric
@attribute Sp23 numeric
@attribute Sp27 numeric
@attribute Sp28 numeric
@attribute Sp31 numeric
@attribute Sp34 numeric
@attribute Sp35 numeric
@attribute Sp38 numeric
@attribute Sp39 numeric
@attribute Sp42 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
84,102,102,80,102,79,85,84,104,99,104,121,128,84,79,3
76,94,102,76,90,76,74,76,100,91,100,91,96,79,67,4
60,62,90,80,106,83,78,71,100,95,100,83,96,84,83,5
57,49,74,53,74,68,63,56,67,51,67,48,70,51,67,5
68,83,87,71,87,70,67,71,81,75,85,71,88,59,100,4
88,112,122,92,128,92,92,93,109,111,113,109,112,90,89,3
102,126,128,84,113,87,92,90,122,128,127,108,114,87,109,3
79,87,93,75,96,71,70,74,88,87,92,91,93,75,68,4
71,87,81,71,85,62,66,70,92,83,88,88,90,75,72,4
88,111,109,93,113,92,85,90,117,109,112,108,114,96,90,3
93,107,113,93,118,92,89,90,112,109,112,112,114,92,90,3
88,107,109,88,109,87,89,86,108,104,108,108,110,92,86,3
79,99,100,88,100,83,89,86,104,100,100,103,110,83,83,3
75,79,96,84,104,83,81,82,104,100,104,95,101,83,83,3
67,72,81,59,77,71,66,66,80,63,76,81,82,71,60,5
82,100,108,82,104,78,86,83,105,103,110,120,129,78,83,3
82,100,104,78,104,81,83,79,110,99,105,106,110,78,83,3
82,100,104,82,104,85,83,79,105,103,114,102,110,78,83,3
78,91,92,74,88,70,72,79,90,88,93,92,93,78,73,4
59,60,104,49,112,114,127,46,119,34,119,34,124,42,133,2
90,109,117,90,112,89,90,92,110,103,110,106,110,89,90,3
86,100,100,82,108,81,83,87,97,99,101,102,110,85,87,3
78,83,88,70,88,66,72,71,86,77,82,97,105,78,65,7
70,79,76,66,80,66,64,71,82,77,86,79,82,70,69,7
59,53,73,49,69,66,64,59,75,48,75,75,74,60,62,5
79,103,105,83,114,86,83,78,110,102,105,102,102,80,79,3
87,103,114,92,110,86,94,93,114,111,110,106,111,88,87,3
92,108,110,92,105,86,87,85,110,106,114,102,115,84,87,3
83,99,101,79,105,79,83,85,105,102,101,102,106,88,87,3
83,99,105,87,97,83,83,85,110,111,114,111,115,84,94,3
71,77,75,63,68,57,69,74,85,79,82,85,86,72,68,7
82,102,110,85,105,83,83,88,111,102,115,87,104,88,88,3
85,102,105,85,101,83,87,88,111,111,111,107,113,88,85,3
80,89,98,80,94,72,74,84,100,91,91,95,100,79,75,4
84,106,115,92,111,87,85,84,108,103,113,103,109,84,87,3
80,99,100,80,100,74,79,84,104,99,100,100,104,82,78,3
71,79,100,56,108,103,116,44,128,34,123,32,127,43,133,2
88,107,108,88,104,88,87,93,109,107,113,109,112,90,89,3
84,103,113,88,108,85,87,88,109,107,109,100,104,90,85,3
88,103,113,84,104,83,92,90,112,113,112,112,119,92,94,3
84,95,100,79,100,75,81,82,96,96,100,99,101,83,79,3
59,58,113,44,128,129,125,43,127,34,127,32,130,42,139,2
41,32,139,44,145,150,122,46,138,32,138,45,110,46,157,2
48,34,123,44,118,129,133,46,122,34,122,32,124,46,131,2
93,111,109,84,109,92,85,86,108,104,108,99,110,87,90,3
84,103,109,88,109,83,85,82,104,104,108,103,105,87,90,3
84,107,123,93,118,96,96,90,122,113,117,108,114,92,86,3
88,111,109,84,109,83,92,86,108,100,108,99,101,83,72,3
75,83,85,75,89,71,74,74,84,83,88,88,93,75,60,7
82,96,108,86,108,85,79,87,105,103,110,60,105,82,83,3
90,109,112,86,112,89,90,92,110,112,119,106,114,93,90,3
