@relation satimage

@attribute Sp11 numeric
@attribute Sp14 numeric
@attribute Sp17 numeric
@attribute Sp18 numeric
@attribute Sp19 numeric
@attribute Sp22 numeric
@attribute Sp25 numeric
@attribute Sp26 numeric
@attribute Sp28 numeric
@attribute Sp29 numeric
@attribute Sp34 numeric
@attribute Sp36 numeric
@attribute Sp44 numeric
@attribute Sp45 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
68,103,128,96,64,113,111,128,71,116,107,96,122,100,1
68,99,118,96,68,113,107,118,71,107,91,87,122,100,1
63,90,105,90,63,110,75,93,63,79,88,90,94,83,1
53,73,89,73,50,85,81,98,53,77,73,76,96,78,1
57,83,102,83,57,106,83,104,53,83,75,74,89,75,1
66,92,112,92,70,112,103,114,75,112,108,94,114,97,1
56,83,93,83,59,101,84,101,53,84,79,80,94,76,1
57,79,90,79,53,98,83,96,60,87,83,81,109,87,1
71,101,119,98,67,114,111,124,67,106,111,97,125,98,1
59,85,92,78,49,96,84,93,52,77,73,75,85,76,1
63,92,112,92,66,112,91,105,59,95,95,86,101,83,1
57,87,110,87,60,114,94,111,57,94,85,79,100,78,1
63,90,114,90,74,114,94,111,64,98,98,91,104,92,1
66,100,122,100,66,127,112,119,63,112,112,101,124,101,1
59,92,109,87,63,100,96,112,63,100,104,92,114,94,1
70,100,117,100,66,117,112,124,71,112,112,101,124,97,1
67,98,119,94,63,119,102,114,67,102,102,90,115,91,1
67,87,104,87,59,100,87,100,63,87,91,89,105,86,1
79,92,113,92,71,113,100,108,63,100,104,96,119,90,1
64,91,111,87,53,106,99,108,56,91,95,92,109,87,1
67,97,114,97,60,110,111,125,68,102,89,94,104,92,1
63,94,119,97,67,119,111,125,68,111,111,98,122,99,1
60,98,120,98,64,115,103,118,64,107,112,96,118,96,1
68,102,120,98,72,111,107,128,71,112,112,96,118,96,1
60,87,98,83,57,98,91,104,56,91,91,85,104,87,1
71,98,119,98,67,119,115,119,70,111,111,94,120,98,1
50,76,94,76,50,90,71,87,50,75,79,78,96,79,1
53,76,93,73,53,85,77,98,57,73,62,68,83,74,1
56,86,114,94,67,110,88,101,57,88,88,83,94,79,1
79,101,124,98,71,124,115,119,70,111,106,101,125,98,1
67,98,114,90,63,105,115,129,63,106,97,87,120,102,1
67,96,118,96,71,118,109,117,66,109,104,96,119,98,1
72,98,111,91,64,102,116,122,71,112,103,88,123,100,1
60,81,100,81,56,104,95,109,63,95,95,87,112,89,1
68,92,118,92,71,118,103,118,67,103,103,96,112,92,1
63,90,119,94,63,119,102,115,64,102,106,94,122,92,1
63,92,109,96,51,113,109,117,66,113,79,107,119,98,1
60,74,108,88,68,118,91,100,71,103,111,96,100,78,1
55,75,93,75,51,96,83,96,56,83,83,81,101,83,1
56,74,92,78,59,96,81,97,59,84,81,83,101,87,1
67,98,119,98,71,119,111,119,67,111,111,101,115,98,1
64,98,115,98,64,120,107,122,64,107,107,99,118,96,1
49,66,80,70,52,80,70,82,49,70,73,75,85,73,1
70,92,112,96,66,122,108,119,75,103,99,98,119,97,1
50,74,87,70,50,87,64,85,51,72,72,75,84,74,1
68,102,120,102,64,111,116,122,68,116,112,96,128,100,1
55,71,81,71,51,81,71,84,52,71,71,70,86,72,1
57,79,98,79,60,90,79,91,64,87,83,81,104,83,1
93,101,114,94,85,114,115,120,80,111,106,94,118,92,1
63,94,119,94,63,114,102,115,64,106,106,94,113,92,1
67,94,124,94,63,114,106,115,64,106,106,94,113,92,1
53,78,96,81,60,100,72,85,59,79,91,83,84,74,1
70,92,122,92,70,122,103,114,67,103,108,98,119,94,1
64,96,122,92,64,113,103,118,63,103,103,96,112,92,1
64,92,113,92,64,118,103,118,67,99,99,92,117,92,1
71,88,108,92,64,118,91,104,59,91,87,87,108,89,1
60,87,97,83,50,101,81,102,50,77,73,76,104,85,1
75,87,96,79,59,85,87,104,70,96,79,78,97,79,1
67,92,109,79,67,96,109,122,66,109,104,89,114,98,1
53,83,94,83,53,98,83,100,53,79,79,78,93,75,1
52,70,84,70,56,92,70,86,56,73,77,79,85,69,1
