@relation satimage

@attribute Sp12 numeric
@attribute Sp18 numeric
@attribute Sp21 numeric
@attribute Sp23 numeric
@attribute Sp24 numeric
@attribute Sp29 numeric
@attribute Sp31 numeric
@attribute Sp32 numeric
@attribute Sp33 numeric
@attribute Sp44 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
75,73,71,73,60,73,90,76,53,108,1
104,100,113,96,63,108,124,98,75,124,1
75,74,79,78,51,75,93,79,55,92,1
111,96,107,96,66,109,122,96,66,119,1
108,94,108,98,70,106,114,94,74,115,1
112,98,103,90,78,106,114,90,67,111,1
97,73,79,73,68,89,102,79,64,113,1
116,104,111,104,66,109,122,100,66,119,1
102,94,106,94,64,103,118,99,64,118,1
95,83,84,86,63,92,105,87,53,111,1
106,87,97,90,64,94,115,91,60,104,1
95,85,83,85,59,95,109,87,63,122,1
113,96,109,100,63,112,114,94,67,114,1
87,87,83,83,59,79,92,78,49,93,1
112,88,91,81,75,107,118,92,67,122,1
112,98,112,101,63,111,124,101,63,125,1
103,92,107,92,71,107,113,96,71,117,1
106,94,97,87,64,98,111,87,57,100,1
106,87,94,83,71,112,122,99,76,118,1
108,94,77,79,70,97,114,90,67,115,1
115,98,106,98,64,107,122,96,64,113,1
111,90,97,83,72,111,111,98,68,122,1
77,86,103,90,93,120,124,104,82,120,1
85,83,85,83,53,79,87,78,50,93,1
85,83,85,79,56,87,104,81,56,109,1
109,96,109,96,63,112,119,94,63,114,1
111,100,111,96,66,109,117,96,66,119,1
111,96,87,79,70,113,122,103,66,124,1
111,90,102,94,64,98,111,91,60,108,1
100,92,104,92,59,88,110,90,59,105,1
111,94,102,98,76,107,122,96,76,118,1
102,90,102,94,64,106,115,94,68,113,1
111,104,111,97,64,111,120,98,68,118,1
112,96,112,96,71,111,118,100,71,122,1
91,90,99,90,57,88,105,83,60,94,1
103,99,107,96,67,111,123,100,67,117,1
87,81,75,78,49,73,86,79,52,85,1
75,80,75,80,50,69,90,76,50,87,1
95,83,73,75,63,84,93,80,63,94,1
84,83,81,79,53,79,93,80,53,90,1
100,92,96,89,67,95,110,90,63,93,1
75,78,75,74,51,75,89,75,55,84,1
100,103,113,100,67,103,119,94,67,119,1
112,96,112,103,71,107,118,96,71,122,1
84,79,73,79,50,75,93,80,50,86,1
87,85,95,88,71,107,113,92,71,112,1
