@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R4,10,12,17-18,24,26,29,33-34,37'

@attribute Sp14 numeric
@attribute Sp21 numeric
@attribute Sp23 numeric
@attribute Sp28 numeric
@attribute Sp29 numeric
@attribute Sp36 numeric
@attribute Sp38 numeric
@attribute Sp42 numeric
@attribute Sp46 numeric
@attribute Sp47 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
94,102,83,92,112,81,126,88,84,107,3
79,94,76,84,99,81,99,84,84,103,3
83,102,87,84,99,85,99,88,88,103,3
94,106,87,88,112,92,111,93,93,111,3
87,111,87,92,107,88,107,88,88,107,3
76,98,83,80,95,81,99,84,79,95,7
74,87,74,75,87,71,87,74,78,87,4
81,103,85,79,99,87,34,49,63,67,3
92,112,88,88,107,87,100,90,86,104,3
70,54,63,55,51,62,60,59,59,53,5
63,51,63,55,48,67,56,59,56,49,5
79,103,79,82,100,81,127,92,83,103,3
92,107,87,90,104,89,108,92,87,103,3
87,99,87,86,109,92,108,87,87,108,3
89,113,92,92,103,86,120,97,89,120,3
92,128,103,87,103,109,120,93,93,125,3
89,109,89,92,103,83,106,89,89,106,3
81,100,81,79,95,83,102,85,85,97,3
81,96,81,79,99,83,102,85,85,102,3
66,56,66,63,66,60,79,67,70,79,7
63,53,70,63,63,64,79,70,67,75,5
79,91,72,78,97,76,98,84,80,94,3
68,84,68,82,92,73,89,80,72,85,4
68,84,72,78,88,69,85,72,72,81,4
72,91,75,74,84,76,81,64,57,49,4
86,108,90,93,115,90,106,92,88,106,3
83,99,79,89,106,87,111,88,88,106,3
83,103,79,82,102,83,102,80,84,98,3
122,34,136,44,34,135,31,43,46,31,2
129,34,136,44,34,139,31,46,43,31,2
76,102,83,84,102,91,51,71,88,103,3
83,106,90,84,111,87,103,88,88,107,3
90,111,90,92,111,83,107,92,88,103,3
90,106,87,92,106,87,107,88,88,107,3
87,106,90,88,111,87,107,88,84,103,3
69,79,69,68,85,72,83,71,76,87,7
69,79,62,72,81,68,87,76,71,79,7
62,63,58,72,77,57,79,71,71,83,7
98,125,102,88,121,103,126,88,93,116,3
72,89,72,76,91,74,72,59,51,45,4
68,85,68,71,79,88,58,51,44,34,2
91,111,87,88,103,88,91,88,88,107,3
87,106,83,92,107,85,107,88,88,107,3
87,111,91,88,107,88,111,93,93,107,3
91,106,87,88,107,88,107,88,93,111,3
87,102,87,88,107,88,111,93,93,107,3
87,102,83,88,107,85,103,88,88,107,3
87,106,83,88,103,88,103,88,88,111,3
79,98,83,76,87,67,79,75,75,79,7
68,73,57,71,79,63,83,75,71,79,7
107,121,103,88,126,104,123,86,90,123,3
85,95,78,84,103,79,109,86,86,109,3
88,107,88,93,107,87,109,86,90,109,3
88,107,85,93,111,87,109,86,90,113,3
67,75,63,71,79,67,79,74,74,79,7
67,83,63,75,79,67,83,74,74,83,7
104,116,96,90,123,96,127,92,96,117,3
87,107,83,86,104,85,99,87,87,103,3
87,103,87,82,96,66,84,67,63,66,7
87,99,79,70,79,63,73,63,67,70,7
71,83,67,66,75,63,73,71,71,73,7
85,104,89,87,103,86,106,89,89,106,3
89,109,85,87,103,90,106,89,93,106,3
89,104,89,87,112,83,106,89,89,106,3
78,75,63,63,66,60,71,63,67,71,7
66,71,63,71,73,64,75,70,70,84,7
63,79,66,71,77,68,84,74,70,79,7
66,83,66,71,88,68,79,67,67,79,7
124,37,127,47,37,126,34,47,47,37,2
124,37,124,47,34,126,34,47,44,37,2
90,99,83,78,88,65,69,60,64,69,5
90,106,87,88,106,87,103,88,92,107,3
87,111,90,92,106,91,107,92,92,112,3
97,111,94,92,106,76,103,80,68,71,3
55,75,69,64,69,72,68,64,64,71,7
91,111,91,92,112,92,107,88,88,111,3
94,106,87,88,103,67,87,75,75,75,7
50,62,54,56,54,52,54,55,55,54,5
139,31,132,44,32,129,37,43,46,29,2
128,36,121,48,29,121,29,46,46,34,2
125,36,125,44,32,112,32,46,46,34,2
67,79,67,71,79,75,71,63,66,75,7
67,79,70,75,83,67,79,70,70,71,7
146,32,141,46,32,144,32,46,46,32,2
137,34,133,46,32,136,32,46,42,34,2
75,75,58,74,79,63,77,67,67,70,7
50,68,62,59,53,48,54,59,59,54,5
54,72,58,56,53,55,51,59,59,57,5
96,118,92,92,112,90,106,89,82,92,3
133,37,118,46,34,124,34,44,44,34,2
118,34,114,46,34,116,31,47,47,37,2
116,40,113,47,37,119,34,47,47,37,2
109,95,75,78,92,76,77,68,76,85,7
