@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R2-3,7-10,18,23,30,32,35,37'

@attribute Sp12 numeric
@attribute Sp13 numeric
@attribute Sp17 numeric
@attribute Sp18 numeric
@attribute Sp19 numeric
@attribute Sp21 numeric
@attribute Sp29 numeric
@attribute Sp35 numeric
@attribute Sp43 numeric
@attribute Sp45 numeric
@attribute Sp48 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
85,90,94,79,76,94,83,91,75,71,96,4
94,102,111,87,84,106,103,118,99,87,109,3
111,115,106,87,88,106,107,108,103,87,109,3
102,102,106,83,84,102,103,104,99,87,100,3
106,106,111,91,84,106,107,108,103,83,104,3
102,111,98,83,80,98,99,96,95,79,100,3
83,87,87,63,68,79,75,81,79,63,88,4
99,104,108,81,88,99,99,100,109,92,108,3
103,108,104,85,84,103,99,100,104,89,104,3
103,113,104,85,84,99,103,100,96,81,108,3
99,100,96,78,80,87,99,100,96,81,100,3
87,96,87,78,60,54,91,96,100,78,104,3
79,100,100,85,80,91,99,100,100,85,112,3
91,100,91,74,71,79,83,85,96,81,84,7
79,83,79,63,68,75,72,81,75,66,80,7
54,71,67,63,53,51,48,70,49,70,69,5
87,93,89,67,71,79,83,92,88,68,97,4
107,109,109,92,88,107,104,108,108,86,110,3
91,92,96,74,74,87,91,90,92,69,97,4
87,92,88,66,78,87,84,93,88,73,93,4
100,108,112,85,86,104,103,105,102,83,110,3
109,112,117,89,90,109,112,110,111,87,114,3
109,112,112,89,90,104,103,114,111,94,114,3
104,108,112,92,86,109,108,110,106,87,114,3
109,112,112,92,86,104,108,110,106,87,114,3
91,97,93,72,79,91,92,97,89,72,94,4
60,110,119,116,46,37,34,124,34,135,120,2
32,119,119,131,42,34,34,119,31,135,131,2
108,110,110,90,92,108,106,110,111,83,115,3
103,110,105,83,87,103,111,110,111,91,115,3
108,110,119,90,87,103,106,114,106,87,115,3
103,105,105,83,87,103,106,105,98,83,98,3
125,135,129,101,89,120,125,125,116,99,122,3
130,129,129,97,78,106,125,111,116,96,113,3
102,105,101,80,78,102,98,102,95,78,100,3
88,93,93,73,78,88,85,94,68,88,108,4
37,119,124,136,44,34,31,131,31,135,128,2
111,110,110,87,89,106,106,115,107,85,113,3
106,114,114,90,85,102,106,111,99,85,113,3
102,110,114,87,89,106,111,120,112,92,113,3
106,114,105,87,85,102,106,106,103,85,113,3
125,131,136,109,88,125,121,122,111,92,113,3
125,136,136,105,88,125,116,122,111,92,109,3
81,94,102,83,57,49,45,133,45,104,128,2
49,111,125,128,47,34,31,133,32,150,139,2
111,115,115,91,88,106,107,113,107,87,109,3
102,115,102,83,80,98,99,91,91,71,77,3
116,122,113,85,84,99,107,104,109,92,112,3
34,118,113,103,71,87,37,104,34,125,117,2
107,113,113,92,92,112,111,118,113,96,117,3
112,118,113,85,88,103,111,109,113,92,108,3
