@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R6,9,11,14,18-19,27,29,31,35-37'

@attribute Sp16 numeric
@attribute Sp19 numeric
@attribute Sp22 numeric
@attribute Sp25 numeric
@attribute Sp29 numeric
@attribute Sp31 numeric
@attribute Sp39 numeric
@attribute Sp42 numeric
@attribute Sp44 numeric
@attribute Sp48 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
94,76,102,95,91,104,96,75,96,93,71,4
89,76,98,87,87,87,93,71,89,81,62,4
85,68,94,83,83,87,81,71,85,85,62,4
89,68,90,83,83,87,85,71,81,81,62,4
115,92,115,99,103,113,109,84,113,113,92,3
106,88,115,112,112,118,109,88,109,109,87,3
102,88,111,103,99,104,104,79,100,100,79,3
111,88,106,99,103,108,100,88,100,100,83,3
49,57,74,54,54,71,85,55,74,70,62,5
91,76,100,91,91,96,92,74,88,84,70,4
107,88,108,107,103,109,108,86,112,104,81,3
103,88,113,103,103,109,112,86,104,104,81,3
103,88,113,103,107,109,104,86,104,108,85,3
79,71,83,75,79,77,84,74,88,88,66,7
95,79,96,100,96,96,101,83,93,97,72,4
91,75,96,91,87,92,93,79,90,93,68,4
116,88,118,109,109,112,110,87,110,110,86,3
107,88,109,109,109,108,110,92,110,110,86,3
103,88,109,100,100,104,110,83,101,101,79,3
103,84,109,100,100,104,105,83,105,105,83,3
99,79,100,100,100,108,105,83,105,105,79,3
54,55,74,63,60,73,75,63,68,72,60,5
91,78,96,91,91,97,93,78,93,93,69,4
83,70,84,91,88,93,93,67,93,97,90,4
96,86,108,48,77,97,119,53,105,101,76,2
104,86,108,103,95,105,110,85,110,105,83,3
100,82,104,95,99,101,114,89,114,105,87,3
88,79,93,88,88,97,94,80,94,90,68,4
108,92,114,106,115,114,111,92,111,111,87,3
99,87,105,102,97,101,115,84,115,115,91,3
95,83,105,102,102,114,111,84,106,115,87,3
103,79,97,106,97,105,102,80,98,94,76,3
66,59,75,79,75,74,86,72,78,74,57,7
115,89,124,131,120,125,139,88,139,133,103,3
102,78,101,98,98,102,100,80,100,100,78,3
37,44,124,31,31,131,128,46,133,128,135,2
106,89,114,115,115,120,108,88,113,122,92,3
102,89,114,115,111,111,113,92,122,113,85,3
102,89,114,102,102,106,108,84,108,113,85,3
106,89,114,102,102,115,108,88,113,104,81,3
89,80,98,99,95,100,100,84,100,100,75,4
94,80,90,91,91,96,96,67,96,104,100,4
49,50,125,45,34,133,113,44,128,139,150,2
106,88,111,107,103,108,104,84,104,113,87,3
102,84,106,103,99,108,109,88,113,109,87,3
94,76,86,79,75,87,85,71,85,81,67,7
121,88,128,121,116,123,127,90,122,117,89,3
99,84,100,95,99,100,100,82,96,100,81,3
107,88,113,107,107,109,104,90,108,108,85,3
107,88,113,107,107,109,108,86,112,112,89,3
103,84,104,103,99,104,84,70,76,80,66,3
111,88,109,109,109,112,119,92,114,119,94,3
58,51,113,53,37,122,130,42,130,124,139,2
37,41,139,32,40,112,124,46,119,110,109,2
91,88,109,37,43,117,119,46,119,110,98,2
111,84,118,109,109,117,124,92,119,114,94,3
91,71,77,75,79,80,72,67,75,75,60,7
83,75,89,75,71,80,75,71,79,72,60,7
113,90,112,112,112,119,119,89,114,124,97,3
96,82,100,91,73,101,114,47,119,124,133,2
53,49,122,37,34,130,129,44,129,124,133,2
75,70,80,66,70,72,70,67,70,82,69,7
112,92,119,115,115,114,111,84,111,115,91,3
34,46,119,34,34,129,125,44,125,125,135,2
45,46,119,31,37,119,125,44,120,115,113,2
30,42,130,29,29,124,131,44,136,136,142,2
51,75,101,37,40,114,120,44,115,111,109,2
112,83,105,106,106,114,120,92,111,115,87,3
66,67,72,71,67,70,74,64,67,74,61,7
84,67,75,79,79,78,78,68,71,74,57,7
66,63,72,75,67,70,74,68,74,67,54,7
111,93,114,111,111,111,118,88,113,108,85,3
31,44,119,34,31,125,133,46,139,133,135,2
79,67,82,85,77,90,79,71,79,79,63,7
115,88,115,107,107,113,113,88,113,113,92,3
29,44,136,36,31,139,104,48,123,128,137,2
106,88,106,103,107,118,109,88,109,113,87,3
111,88,115,112,107,113,118,88,118,113,92,3
111,92,120,112,112,118,113,88,113,100,83,3
62,60,67,57,54,67,67,55,67,60,46,5
69,64,67,57,64,75,67,55,70,77,62,7
66,64,74,64,68,79,70,63,77,74,58,7
81,72,90,68,71,75,74,63,70,74,62,7
73,64,71,79,79,79,85,71,96,96,79,7
95,80,100,95,99,100,104,82,104,100,81,4
31,46,133,37,32,139,108,46,127,133,144,2
36,43,139,40,45,104,122,49,112,104,103,2
36,46,118,32,34,118,112,46,112,112,111,2
36,53,113,37,34,123,117,49,122,117,122,2
107,92,113,111,107,113,117,90,122,112,92,3
107,92,113,107,107,109,112,90,112,104,85,3
83,68,79,79,75,85,73,63,69,66,55,7
75,71,79,75,75,74,69,59,66,73,59,7
71,64,71,72,75,77,73,63,66,80,63,7
95,71,93,96,96,100,97,83,101,93,75,4
37,44,139,83,56,108,93,71,93,114,120,2
37,48,123,34,34,117,110,49,110,114,116,2
83,71,85,79,79,84,79,63,75,72,57,7
118,95,122,117,112,124,114,93,114,110,83,3
104,82,104,99,99,101,89,78,93,101,76,3
29,46,112,32,32,119,124,44,124,114,122,2
34,46,117,37,40,110,114,44,110,105,111,2
34,49,117,37,37,114,110,50,105,110,111,2
100,90,108,70,95,97,97,82,105,110,83,3
104,90,117,108,108,114,114,97,114,114,94,3
113,90,112,112,112,119,114,93,114,119,94,3
79,70,80,77,77,75,67,57,63,63,48,5
67,63,69,63,63,68,85,60,74,70,58,7
67,66,76,63,60,65,74,57,70,74,58,7
37,49,110,34,37,105,111,50,106,106,102,2
45,67,101,63,79,97,78,68,82,90,68,2
108,92,119,106,106,110,106,84,98,94,76,3
95,79,86,88,84,85,78,72,78,90,65,7
73,67,72,67,71,78,78,60,82,78,68,7
115,93,114,115,106,111,96,80,96,96,74,3
34,44,124,31,31,125,128,43,128,118,125,2
40,47,110,40,43,106,96,68,91,87,63,2
31,47,131,39,29,133,104,48,128,128,141,2
31,44,125,31,31,133,128,48,123,123,129,2
81,64,71,83,79,83,89,75,85,89,75,7
36,50,118,37,34,118,117,46,117,122,122,2
31,50,113,37,40,104,108,63,88,88,70,2
39,56,100,51,64,85,88,66,80,80,59,2
37,51,109,32,32,122,114,52,105,97,83,2
79,63,85,83,83,88,93,75,90,93,75,7
34,49,117,40,40,105,105,53,101,101,101,2
49,63,88,60,66,79,67,60,70,67,51,7
75,66,84,73,77,82,78,67,78,78,62,7
71,59,84,81,77,93,85,70,89,85,73,7
40,52,80,28,32,105,101,50,101,93,94,2
46,52,76,32,45,82,101,47,93,82,80,5
73,71,90,71,75,78,74,68,78,78,61,7
30,42,119,31,29,119,115,47,106,106,109,2
42,52,82,40,40,82,106,47,94,90,87,2
92,82,101,98,98,102,118,92,118,118,88,3
43,53,101,69,73,78,79,64,75,75,59,7
71,63,74,69,69,71,75,64,75,71,56,7
79,70,82,77,77,74,75,68,67,71,59,7
49,47,105,31,37,102,108,43,104,96,96,2
115,101,120,107,107,118,109,97,109,113,87,3
73,68,74,75,71,71,74,67,70,74,54,7
73,68,78,75,71,71,74,67,74,70,58,7
73,68,74,75,71,75,74,67,77,77,67,7
37,47,106,31,31,104,100,44,100,104,104,2
107,97,122,111,111,109,122,95,117,117,89,3
71,71,75,72,72,77,76,63,76,76,59,7
75,68,75,72,72,74,73,66,73,80,59,7
71,64,87,75,68,93,96,78,88,96,78,5
71,68,87,68,68,89,88,66,88,92,74,5
75,68,83,72,72,81,92,66,84,84,70,5
75,71,83,72,68,81,80,66,80,73,66,5
75,68,83,68,72,85,80,63,73,80,66,5
48,46,104,32,40,96,112,43,108,108,122,2
29,43,108,34,32,109,104,43,100,100,103,2
72,67,70,71,71,69,68,63,72,72,60,7
72,67,81,71,71,80,86,63,82,82,68,5
54,48,100,79,79,92,75,71,79,86,72,4
113,99,122,112,117,119,114,93,114,110,87,3
