@relation satimage

@attribute Sp11 numeric
@attribute Sp18 numeric
@attribute Sp19 numeric
@attribute Sp22 numeric
@attribute Sp25 numeric
@attribute Sp29 numeric
@attribute Sp32 numeric
@attribute Sp33 numeric
@attribute Sp36 numeric
@attribute Sp37 numeric
@attribute Sp38 numeric
@attribute Sp42 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
84,103,97,128,99,107,92,79,100,63,87,63,1
50,76,50,90,75,71,74,50,74,51,79,51,1
75,86,71,105,115,115,101,70,90,72,115,72,1
63,94,67,124,102,106,90,63,90,53,66,60,1
51,75,55,89,79,71,74,52,70,49,66,52,1
67,98,63,119,111,106,101,63,97,68,106,64,1
64,96,68,122,111,107,96,63,100,63,100,63,1
63,87,67,100,96,96,89,66,89,63,95,63,1
67,97,70,119,106,106,94,72,94,68,107,68,1
66,92,63,117,103,99,94,63,94,67,97,70,1
63,83,67,105,102,97,80,63,73,64,106,64,1
75,96,75,109,100,100,92,66,92,63,95,63,1
71,98,63,114,111,106,97,67,94,64,98,64,1
76,94,76,111,112,107,96,76,96,84,111,84,1
52,75,52,82,79,79,76,50,73,50,77,53,1
64,96,71,118,107,107,96,79,96,63,96,66,1
63,94,67,114,106,106,94,64,94,64,107,64,1
49,75,49,86,67,75,80,53,80,50,73,53,1
60,87,57,110,85,94,87,60,87,53,83,60,1
56,81,59,108,84,84,79,59,86,57,92,57,1
71,103,76,122,103,107,96,79,100,74,104,74,1
70,97,67,114,106,111,98,68,94,71,112,71,1
59,83,56,93,84,79,80,53,76,53,77,53,1
59,78,52,96,88,84,83,52,79,53,84,53,1
66,92,59,100,84,88,86,63,86,60,84,60,1
60,87,53,105,98,94,87,53,87,68,99,56,1
70,80,63,97,115,106,91,64,79,76,116,71,1
66,96,70,122,108,112,94,67,101,63,111,63,1
63,94,63,114,102,106,94,68,94,64,107,64,1
63,83,63,101,106,94,83,68,79,68,112,64,1
64,88,64,108,58,87,83,63,83,46,32,46,1
67,90,63,119,102,102,94,64,94,64,103,64,1
63,80,63,89,73,81,79,64,83,68,83,64,1
67,101,67,119,111,115,98,68,98,64,112,64,1
