@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R4,10,12-13,15,20,23-24,26,30-31,34,36-37'

@attribute Sp14 numeric
@attribute Sp21 numeric
@attribute Sp23 numeric
@attribute Sp24 numeric
@attribute Sp26 numeric
@attribute Sp32 numeric
@attribute Sp35 numeric
@attribute Sp36 numeric
@attribute Sp38 numeric
@attribute Sp43 numeric
@attribute Sp44 numeric
@attribute Sp47 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
76,98,72,80,104,74,100,78,91,91,96,87,71,4
76,94,76,76,91,70,87,67,87,87,89,79,62,4
76,85,72,71,87,67,87,67,79,79,85,75,62,4
68,85,76,71,87,67,87,67,79,75,81,75,62,4
87,115,94,88,104,88,118,92,103,103,113,111,92,3
87,111,91,92,118,92,113,92,107,107,109,107,87,3
83,111,87,84,108,85,108,85,99,99,100,95,79,3
83,111,87,88,104,85,104,81,99,95,100,95,83,3
72,49,65,53,75,63,71,63,54,51,74,48,62,5
74,95,78,75,96,71,93,71,87,87,88,87,70,4
88,103,85,88,109,87,109,87,109,104,112,104,81,3
88,103,92,88,109,87,109,87,104,104,104,96,81,3
85,107,88,93,109,87,113,92,104,96,104,104,85,3
70,79,67,71,85,67,81,67,83,75,88,79,66,7
79,95,75,82,108,78,92,70,95,95,93,91,72,4
79,91,71,78,96,70,88,70,91,91,90,88,68,4
92,111,92,90,112,89,117,92,108,108,110,108,86,3
87,107,83,90,112,89,112,89,108,108,110,108,86,3
83,103,83,82,100,78,96,81,103,99,101,95,79,3
83,99,83,82,104,81,104,81,95,99,105,99,83,3
83,95,75,82,104,85,112,85,99,103,105,103,79,3
71,51,67,66,76,63,76,66,73,66,68,63,60,5
70,91,74,83,97,72,93,72,92,92,93,92,69,4
66,83,66,75,97,72,86,64,88,75,93,63,90,4
85,100,85,52,110,75,105,83,34,56,105,92,76,2
85,104,85,87,105,83,110,83,102,102,110,97,83,3
81,96,78,87,97,79,105,79,111,106,114,106,87,3
68,91,72,78,97,73,97,73,94,94,94,89,68,4
86,108,90,93,114,90,114,90,106,106,111,111,87,3
79,99,83,85,101,83,110,83,106,111,115,102,91,3
83,99,83,82,105,87,114,87,102,102,106,102,87,3
83,88,72,82,105,87,105,80,98,98,98,94,76,3
