@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R2,5-7,11-12,14-15,17,19,25-27,34,36-37'

@attribute Sp12 numeric
@attribute Sp15 numeric
@attribute Sp16 numeric
@attribute Sp17 numeric
@attribute Sp22 numeric
@attribute Sp23 numeric
@attribute Sp25 numeric
@attribute Sp26 numeric
@attribute Sp28 numeric
@attribute Sp31 numeric
@attribute Sp37 numeric
@attribute Sp38 numeric
@attribute Sp39 numeric
@attribute Sp47 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
94,80,94,98,102,79,99,104,76,104,84,99,104,107,87,3
102,76,102,106,106,79,107,118,80,118,79,107,113,103,79,3
98,76,94,90,94,76,95,100,76,100,79,87,93,87,71,4
98,84,98,106,102,83,107,113,88,108,88,111,113,107,87,3
98,88,106,102,102,83,103,108,88,108,88,107,113,107,83,3
112,84,103,104,104,78,121,128,84,113,90,113,122,123,100,3
99,76,99,104,108,85,99,104,84,104,82,100,108,100,78,3
99,76,103,118,118,88,107,109,79,109,82,100,104,104,85,3
91,80,91,100,104,74,95,100,75,100,74,91,92,87,70,4
91,76,95,100,100,74,91,96,79,93,74,87,88,87,66,4
83,68,83,87,87,67,79,85,71,81,70,79,88,60,81,4
91,76,95,104,104,85,75,96,75,96,49,40,112,40,114,4
112,88,103,113,108,85,107,104,88,109,86,104,108,104,85,3
99,88,99,104,113,88,103,109,88,109,86,100,108,104,85,3
103,88,107,113,108,85,103,109,88,113,86,100,96,100,81,3
137,102,126,134,128,100,109,112,90,117,92,103,110,103,90,3
87,75,91,96,93,67,87,92,78,88,79,88,93,84,72,4
75,71,75,81,85,71,71,88,59,96,49,45,119,32,131,2
103,84,103,113,113,92,104,112,90,112,87,108,114,108,90,3
103,88,111,113,109,92,104,112,90,112,92,108,114,112,90,3
107,93,107,113,109,87,109,112,90,112,87,103,110,108,86,3
107,88,111,113,113,87,96,104,86,108,87,99,105,108,90,3
99,79,99,100,100,79,109,112,86,108,87,108,119,103,86,3
95,88,95,100,100,83,104,104,82,100,83,103,105,99,79,3
99,84,99,104,100,79,100,108,82,104,83,99,101,95,79,3
64,59,61,77,85,67,71,80,66,76,71,77,86,66,57,5
123,82,100,108,108,81,127,130,92,114,93,130,129,106,87,3
83,66,79,84,88,66,81,86,63,86,57,63,97,40,122,2
79,66,71,88,96,81,60,110,49,119,42,37,119,34,136,2
104,90,109,112,112,89,108,110,87,110,89,102,110,111,94,3
96,86,104,108,112,92,99,105,87,105,89,111,114,106,87,3
104,82,100,100,104,78,103,105,83,110,85,102,110,97,83,3
75,70,79,88,76,66,81,86,71,82,78,88,89,88,69,7
103,92,122,135,130,105,115,124,93,135,88,125,131,125,105,3
127,92,108,114,105,83,130,129,89,129,88,125,136,111,91,3
88,67,81,86,86,72,75,93,57,97,50,40,125,34,135,2
99,87,103,105,114,86,97,105,93,114,84,111,106,106,87,3
108,92,108,110,110,90,106,110,89,110,88,111,115,111,87,3
115,93,125,135,129,101,125,131,88,136,92,121,128,116,99,3
102,78,102,110,105,83,102,102,80,102,84,99,104,99,78,3
88,78,92,97,93,73,94,94,80,90,71,91,96,79,74,4
97,85,102,110,114,87,111,115,84,115,84,107,113,112,92,3
106,89,106,114,105,83,102,115,84,102,88,103,113,95,74,3
31,44,40,120,106,83,31,128,46,118,48,34,123,37,125,2
106,84,102,115,115,91,107,108,88,104,93,111,109,103,87,3
106,92,106,111,111,87,99,108,84,113,84,103,109,103,83,3
106,84,111,115,115,91,103,113,84,113,84,111,113,111,96,3
106,88,106,106,111,87,103,108,88,113,88,107,109,103,87,3
106,88,111,111,111,83,107,118,88,118,88,103,113,103,87,3
85,68,85,86,86,72,83,87,71,91,79,87,89,83,67,7
91,71,79,96,100,88,58,104,51,113,49,37,122,34,133,2
31,46,34,133,128,135,37,123,44,118,46,32,122,32,129,2
103,88,103,108,113,88,107,109,88,109,86,104,112,109,85,3
107,88,107,113,109,87,71,100,82,104,52,51,110,99,83,3
103,84,103,104,104,83,109,112,86,108,87,103,105,112,90,3
107,84,107,109,109,87,104,108,86,108,87,103,105,108,90,3
107,88,111,109,113,92,104,112,90,117,96,112,114,117,94,3
123,90,118,122,117,89,122,130,96,119,97,125,124,115,94,3
109,82,100,104,100,81,108,114,87,105,97,111,119,106,80,3
32,49,34,117,122,129,34,119,46,119,44,34,114,34,126,2
109,90,109,112,112,89,108,119,92,119,93,106,114,111,94,3
112,92,112,114,119,94,115,119,89,119,88,111,115,106,91,3
112,92,108,114,105,83,115,119,97,119,92,111,115,106,91,3
37,46,34,124,119,127,34,119,47,114,47,37,120,37,124,2
112,92,108,110,119,90,106,114,93,119,88,111,111,111,91,3
91,75,84,93,90,68,71,78,67,78,64,62,71,62,54,5
84,75,84,90,79,60,71,78,67,82,60,62,67,69,61,7
77,67,77,79,75,64,79,82,78,89,72,77,82,85,72,7
125,93,120,124,119,94,115,120,92,115,88,107,113,107,88,3
49,47,37,119,124,133,40,115,44,125,64,64,104,31,135,2
43,44,34,129,135,150,40,115,50,111,46,39,122,36,128,2
106,89,106,114,110,90,102,102,88,111,84,99,104,107,88,3
92,78,88,89,82,65,69,67,60,67,53,54,53,57,49,5
