@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R1-3,9,13,15-16,21,25-26,28-29,34-37'

@attribute Sp11 numeric
@attribute Sp12 numeric
@attribute Sp13 numeric
@attribute Sp19 numeric
@attribute Sp24 numeric
@attribute Sp26 numeric
@attribute Sp27 numeric
@attribute Sp33 numeric
@attribute Sp37 numeric
@attribute Sp38 numeric
@attribute Sp41 numeric
@attribute Sp42 numeric
@attribute Sp47 numeric
@attribute Sp48 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
76,102,106,76,80,118,88,80,79,103,83,79,95,100,79,3
80,94,102,68,80,96,74,60,79,95,83,79,79,96,79,5
72,81,82,64,71,79,67,71,71,79,67,71,72,81,67,7
80,107,118,80,79,113,87,79,82,104,85,82,100,108,85,3
92,112,113,97,88,118,92,93,90,104,92,90,109,112,89,3
88,99,104,88,79,100,79,88,86,104,89,86,100,100,85,3
80,91,100,76,79,100,75,75,86,100,85,86,96,100,81,7
60,68,79,53,59,77,71,55,66,63,66,59,56,76,66,5
79,103,104,79,82,108,85,78,79,99,83,79,95,93,75,3
84,99,113,84,63,104,85,86,52,48,105,71,99,105,83,3
84,103,109,88,86,108,85,86,83,99,83,87,95,105,83,3
88,107,109,88,86,108,85,86,83,99,83,87,103,105,86,3
88,107,109,93,90,108,89,86,87,103,83,92,103,110,86,3
55,54,85,55,59,73,63,59,63,66,57,63,66,72,64,5
55,51,74,51,59,76,66,56,63,63,60,63,57,75,64,5
78,87,92,70,75,93,72,75,78,84,69,74,88,93,76,4
90,109,112,90,87,114,86,92,93,111,94,93,111,110,87,3
90,104,112,90,92,110,86,92,89,111,87,85,106,114,90,3
82,96,104,82,83,101,79,87,82,102,87,89,106,114,83,3
66,71,80,59,71,86,68,63,74,84,69,74,79,82,65,7
92,103,110,87,97,119,97,93,92,120,98,88,125,131,102,3
46,37,119,46,44,124,136,44,44,31,139,44,31,125,135,2
71,77,97,87,53,105,97,82,44,40,120,64,102,106,83,3
92,103,105,92,89,114,90,93,88,111,87,88,111,111,87,3
92,103,110,87,93,105,90,89,88,111,87,92,111,115,91,3
78,102,110,82,80,102,79,80,80,95,78,80,95,100,78,3
78,102,105,82,80,102,76,80,80,99,74,84,99,100,74,4
74,88,93,57,57,111,109,47,46,34,146,46,31,133,146,2
44,34,124,53,41,131,135,44,43,31,135,43,34,118,132,2
89,111,114,89,84,106,83,88,88,103,88,92,107,113,88,3
93,111,110,89,92,111,87,84,88,107,88,88,107,104,88,3
89,97,105,85,88,106,83,88,88,103,85,88,103,113,92,3
85,102,105,85,88,106,83,84,88,107,88,88,107,113,88,3
82,106,105,82,80,102,83,76,68,79,67,68,75,87,67,3
44,31,120,44,43,133,139,43,44,32,137,48,37,123,125,2
44,34,131,47,43,128,135,46,48,34,129,48,34,118,129,2
64,73,106,88,50,113,103,88,48,37,125,59,91,100,79,2
84,102,106,88,88,108,88,88,88,103,87,88,107,113,92,3
88,111,115,88,88,113,88,88,93,107,92,93,107,113,87,3
84,106,115,88,88,108,85,84,88,103,87,84,103,104,83,3
92,111,115,88,88,113,88,88,88,107,87,84,107,109,87,3
88,111,120,88,92,118,92,88,93,116,96,88,107,109,83,3
76,94,94,76,71,87,67,68,71,79,67,75,79,85,62,7
92,107,113,88,88,104,83,88,86,104,85,86,104,108,89,3
88,107,108,84,88,113,87,84,90,109,89,86,104,108,85,3
88,103,108,88,88,109,83,88,86,104,85,86,104,108,85,3
71,83,91,76,75,89,71,75,70,79,66,74,83,84,66,7
84,99,100,84,86,104,85,82,92,108,90,87,99,101,79,3
44,32,139,44,46,138,151,46,46,40,139,42,30,140,150,2
93,107,109,93,90,112,89,86,92,112,90,92,112,119,90,3
93,107,113,84,90,112,89,86,92,108,86,87,108,110,86,3
84,103,104,93,86,108,85,86,87,112,90,83,99,110,86,3
75,79,81,79,74,80,66,70,71,77,64,67,77,75,64,7
46,29,133,46,46,124,135,46,44,34,143,44,34,119,129,2
66,71,100,90,52,110,98,87,47,40,115,57,92,101,80,2
90,109,112,86,87,105,86,87,89,106,87,89,106,114,90,3
90,104,112,90,96,114,94,92,93,115,90,89,111,110,90,3
86,104,108,86,83,101,79,75,67,79,62,63,71,78,58,7
52,45,110,42,44,119,126,44,44,31,131,50,46,111,116,2
46,34,130,46,42,119,129,44,44,31,131,44,34,115,124,2
46,34,119,46,47,114,126,47,47,34,120,47,34,120,120,2
52,51,110,87,47,114,115,82,44,37,120,50,69,102,79,2
87,103,110,87,85,110,90,89,84,102,87,88,106,111,87,3
92,108,119,87,93,114,90,89,92,106,87,88,111,115,91,3
87,103,105,87,89,114,87,89,92,111,91,97,111,111,87,3
87,112,114,83,89,114,90,89,92,111,87,88,111,115,87,3
92,112,114,92,97,119,97,89,92,120,94,92,98,102,76,3
63,66,72,67,63,70,55,67,64,66,54,64,81,86,72,7
71,77,82,75,70,85,65,67,76,77,68,72,69,71,57,7
89,106,101,53,88,111,83,53,84,95,85,80,64,104,96,2
42,29,135,44,44,131,142,44,50,36,128,43,29,133,139,2
44,34,119,44,44,131,135,44,46,31,132,46,34,122,125,2
89,111,110,93,88,106,87,88,88,107,88,88,103,113,85,3
47,37,120,47,46,118,121,46,51,37,112,48,37,113,116,2
44,37,120,50,46,122,125,50,48,34,125,48,34,123,125,2
60,69,67,64,53,53,34,60,59,54,42,55,51,67,46,5
76,81,90,76,71,87,70,71,71,75,67,71,72,70,58,7
46,31,122,46,44,128,129,48,46,29,133,46,32,112,118,2
84,99,104,88,79,100,79,88,52,49,107,74,100,108,85,3
88,103,104,88,88,104,83,93,90,104,89,86,109,117,89,3
88,107,108,92,93,113,92,88,90,109,89,90,113,112,92,3
92,112,113,92,88,118,96,93,90,109,89,90,113,117,96,3
88,95,104,84,82,104,78,82,79,91,75,83,91,101,79,4
