@relation spambase

@attribute Word_freq_make numeric
@attribute Word_freq_address numeric
@attribute Word_freq_3d numeric
@attribute Word_freq_over numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_receive numeric
@attribute Word_freq_will numeric
@attribute Word_freq_people numeric
@attribute Word_freq_free numeric
@attribute Word_freq_your numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_george numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_table numeric
@attribute Char_freq1 numeric
@attribute Char_freq2 numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0,1.19,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,137,1
0.22,0.22,0,0.22,0.44,0,0.88,0.22,0.44,3.32,0.44,0,0,0,0,0,0,0,0.156,0,1734,1
0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0.191,0.383,0,79,1
0,0,0,0,0,0,1.31,0,0,5.26,0,0,0,0,0,0,0,0,0.212,0,53,1
0,1.12,0,0.56,1.12,0.56,2.25,0,2.25,2.82,0.56,0,0,0,0,0,0,0,0,0,51,1
0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0.208,0.416,0,79,1
0,0,0,0.27,0.27,0.54,0.82,0,0.82,2.73,0,0,0,0,0,0,0,0.043,0,0.086,276,1
0.5,0.4,0,0.03,0.13,0.3,0.71,0.54,0.27,1.42,0.37,0,0,0,0,0,0,0.074,0.519,0.119,2213,1
0.33,0.44,0,0.11,0,0.11,1.42,1.76,0.03,1.49,0.33,0,0,0,0,0,0.006,0.159,0.221,0.11,819,1
0.37,0.75,0,0,0,0.37,2.64,0,0.37,4.52,0.37,0,0,0,0,0,0,0.197,0.197,0.065,998,1
0.19,0,0,0.09,0.19,0.09,0.69,0.09,0,0.49,0.39,0,0,0,0,0,0.017,0.068,0.189,0.017,477,1
0,0,0,0,0,0,0.58,0,1.16,1.75,0,0,0,0,0,0,0,0.133,0,0,69,1
0,0,0,0,0.31,0.63,1.59,0.63,0,1.59,0.31,0,0,0,0,0,0,0.092,0,0,86,1
