@relation spambase

@attribute Word_freq_3d numeric
@attribute Word_freq_mail numeric
@attribute Word_freq_receive numeric
@attribute Word_freq_people numeric
@attribute Word_freq_free numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_money numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_hpl numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_data numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_original numeric
@attribute Word_freq_edu numeric
@attribute Word_freq_table numeric
@attribute Char_freq3 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1
0,0.56,0,0,0.56,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,1
0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676,255,1
0,0,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089,174,1
0,0,0,0.64,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,55,1
0,0.41,0,0,1.65,0.41,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,344,1
0,0.21,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,1
0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,1
0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0.478,490,1
0,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,1
0,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1
0,0.39,0,0.19,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,757,1
0,0,0,0,0.3,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.047,0,199,1
0,0.43,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1
0,0.75,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,239,1
0,1.12,0.39,0.79,0.26,0.19,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0.084,898,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
0,0,0.68,0,0,0.68,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1
0,0,0,0,0.44,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0.066,442,1
