@relation spambase

@attribute Word_freq_make numeric
@attribute Word_freq_address numeric
@attribute Word_freq_3d numeric
@attribute Word_freq_our numeric
@attribute Word_freq_over numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_order numeric
@attribute Word_freq_receive numeric
@attribute Word_freq_will numeric
@attribute Word_freq_free numeric
@attribute Word_freq_you numeric
@attribute Word_freq_font numeric
@attribute Word_freq_money numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_lab numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_telnet numeric
@attribute Word_freq_data numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_parts numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_project numeric
@attribute Char_freq4 numeric
@attribute Capital_run_length_average numeric
@attribute Spam {1,0}

@data
0.1,0.1,0,0.61,0.3,0.4,1.42,0.1,0.5,0.1,2.23,0,0.3,0,0,0,0,0,0.1,0,0,0,0.975,3.186,1
0,0,0,0.65,0.65,0.32,0,0,0.32,0.32,2.28,0,0.32,0,0,0,0,0,0,0,0,0,0,1.494,1
0,0,0,3.48,0,0,0.58,0,0.58,1.74,1.16,0,0.58,0,0,0,0,0,0,0,0,0,0.165,2.17,1
0.74,0,0,0.74,0,0.74,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0.467,1.846,1
0,0,0,0,0,0,0,0,1.31,0,1.31,0,1.31,0,0,0,0,0,0,0,0,0,0,4.5,1
0,0,0,1.03,0,1.03,0,0,2.06,2.06,3.09,0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0.76,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0.274,11.035,1
0,0,0,0,0,0,0,0,0,2.04,1.02,0,0,0,0,0,0,0,0,0,0,0,0.174,1.787,1
0,0,0.49,0,0,0.49,0,0,0.98,2.94,1.47,0,0,0,0,0,0,0,0,0,0,0,0.862,12.148,1
0,0.62,0,0.31,0,0,0,0,0.62,0.31,2.49,0,0,0,0,0,0,0,0,0,0,0,1.152,4.592,1
0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,3.925,1
0.28,0,0,1.43,0.28,0,0,0,1.14,0.14,3.86,0,0.42,0,0,0,0,0.14,0,0,0,0.14,0.094,1.42,1
0,0.39,0,0.19,0,0,0,0.39,0.39,0.98,0.59,0,0,0,0,0,0,0,0,0,0.19,0,0.16,2.128,1
0,0,0,0.38,0.38,0.38,0,0.38,0,0.38,3.5,0,0.38,0,0,0,0,0,0,0,0,0,0.122,2.08,1
0.41,0,0,0,0.41,0,0,0,2.07,0.41,7.05,0,0.41,0,0,0,0,0,0,0,0,0,0.97,32.142,1
0.46,0.46,0,0,0.33,0.06,0,0.39,0.73,0.26,3.51,0,0.26,0,0,0,0,0,0,0,0,0,0.278,3.887,1
0,0.19,0,0.09,0.28,0.09,0.38,0,0.57,0.19,2.01,0,0.19,0,0,0,0,0,0,0,0,0,0.088,2.405,1
0,0.33,0,0.66,0,0,0,0,0.33,0.66,1,0,0,0,0,0,0,0,0,0,0.33,0,0.109,2.825,1
0.1,0,0.21,0.21,0,0.1,0,0.1,0.31,0,0.63,0,0,0,0,0.1,0,0,0,0,0,0,0.05,7.887,1
0,0.3,0,0.61,0.3,0,0,0.3,0.3,0.92,0.61,0,0,0,0,3.38,0,0,0,0,0,0.3,0,2.141,1
0,0,0,0,0,0,0,0,1.47,0,7.35,0,0,0,0,0,0,0,0,0,0,0,0,2.769,1
0,0,0,0,0,0,0,0,1.31,0,1.31,0,1.31,0,0,0,0,0,0,0,0,0,0,4.5,1
0.41,0.41,0,0.13,0.1,0.03,0.52,0.27,0.76,0.24,2.99,0,0.59,0,0,0,0,0,0,0,0,0,0.425,5.761,1
0.33,0.67,0,0,0,0.67,0.33,0,0.67,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,1.204,1
0,0,0,2.48,0,0,0,0,1.24,0,2.48,0,0,0,0,0,0,0,0,0,0,0,0.179,3.702,1
