@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R2,6,8,16,19,23,25,30,33,35,37-39,41,44,47-48,50,52-58'

@attribute Word_freq_address numeric
@attribute Word_freq_over numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_free numeric
@attribute Word_freq_you numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_data numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_parts numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_project numeric
@attribute Word_freq_table numeric
@attribute Word_freq_conference numeric
@attribute Char_freq2 numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_average numeric
@attribute Capital_run_length_longest numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0.12,0.32,0,0,1.67,0.19,0,0,0,0,0,0,0,0,0.06,0,0,0.03,0.244,0.081,0,1.729,43,749,1
0.63,0.31,0,0.63,2.22,0.31,0,0,0,0,0,0,0,0,0,0,0,0.275,0.055,0.496,0,3.509,91,186,1
0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368,0,0,2.611,12,47,1
0,0,0,0.48,2.43,0.48,0,0,0,0,0,0,0,0,0,0,0,0.081,0.488,0.244,0,5.431,78,239,1
0.36,0.73,1.09,1.09,2.19,1.83,0,0,0,0,0,0,0,0,0,0,0,0.11,0.498,0.332,0,3.254,30,179,1
0.34,0,0,0.34,3.42,0,0.34,0,0.34,0,0,0,0,0,0,0,0,0,0.048,0.048,0,1.411,15,96,1
0.46,0.46,0,0.92,2.76,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0.298,0.223,0,2.156,13,110,1
0.18,0.12,0.25,0.37,2.96,0.44,0,0,0,0,0.12,0,0,0,0,0,0,0.085,0.437,0.234,0.064,3.675,45,1066,1
0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338,0,1.666,5,10,1
0.72,0,1.45,2.91,1.45,0.72,0,0,0,0,0,0,0,0,0,0,0,0.123,0.495,0,0,1.525,8,61,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0.834,0,0,5.13,27,118,1
0.31,0.13,0.26,0.26,3.25,1.05,0,0,0,0,0,0,0,0,0,0,0,0.066,0.322,0.764,0.159,6.1,193,3038,1
0,0,0,0,1.87,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.676,32,91,1
0,0.64,0,0.64,2.59,0.64,0,0,0,0,0.64,0,0,0,0,0,0,0.189,0.662,0,0,10.068,131,292,1
0.55,0,0,0.55,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0.248,1.158,0.331,0,4.875,140,195,1
0,0.41,0,0.41,7.05,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0.149,0,32.142,335,450,1
0.29,0,0,0.14,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.865,0.023,0.046,5.133,132,1001,1
0,0,0,0.62,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0.105,1.055,0,0,2.033,16,120,1
0,0,0,0,5.59,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.517,0,0,3.363,22,111,1
0,0,2.04,0,4.08,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0.968,0,0,2.179,18,85,1
