@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R8,10,15-17,21-22,24,30,33-36,41,43-44,47-48,52,55-56,58'

@attribute Word_freq_internet numeric
@attribute Word_freq_mail numeric
@attribute Word_freq_addresses numeric
@attribute Word_freq_free numeric
@attribute Word_freq_business numeric
@attribute Word_freq_your numeric
@attribute Word_freq_font numeric
@attribute Word_freq_money numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_data numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_technology numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_original numeric
@attribute Word_freq_project numeric
@attribute Word_freq_table numeric
@attribute Word_freq_conference numeric
@attribute Char_freq4 numeric
@attribute Capital_run_length_average numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0,0,0.12,0,0,0.71,0,0,0,0,0,0,0,0,0,0.06,0,0,0.244,1.729,43,1
0,0,1.27,0.63,0.31,1.91,0,0.63,0,0,0,0,0,0,0,0,0,0,0.055,3.509,91,1
0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0.368,2.611,12,1
0,0,0,0.48,0.97,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0.488,5.431,78,1
1.09,0.36,0,1.09,0.36,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0.498,3.254,30,1
0,0.34,0,0.34,0,2.73,0,0,0,0.34,0,0,0,0,0,0,0,0,0.048,1.411,15,1
0,0,0,0.92,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0.298,2.156,13,1
0.25,0.31,0,0.37,0.44,1.26,0,0.75,0,0,0,0,0,0,0.06,0,0,0,0.437,3.675,45,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666,5,1
1.45,0,0,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495,1.525,8,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.834,5.13,27,1
0.26,0.76,0,0.26,0.44,1.5,0,0.34,0,0,0,0,0,0,0,0,0,0,0.322,6.1,193,1
0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,2.676,32,1
0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.662,10.068,131,1
0,0,0,0.55,2.79,1.67,0,0,0,0,0,0,0,0,0,0,0,0,1.158,4.875,140,1
0,0,0,0.41,0,2.48,0,0.41,0,0,0,0,0,0,0,0,0,0,0.97,32.142,335,1
0,0.43,0.14,0.14,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0.865,5.133,132,1
0,0.62,0,0.62,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,1.055,2.033,16,1
0,0,0,0,1.24,1.86,0,0.62,0,0,0,0,0,0,0,0,0,0,0.517,3.363,22,1
2.04,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0.968,2.179,18,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,2,1
