@relation spambase

@attribute Word_freq_all numeric
@attribute Word_freq_mail numeric
@attribute Word_freq_receive numeric
@attribute Word_freq_report numeric
@attribute Word_freq_free numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_font numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_george numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_parts numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_project numeric
@attribute Word_freq_edu numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_average numeric
@attribute Spam {1,0}

@data
0,1.21,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,4.897,1
1.83,0,1.22,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,4.159,1
0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0.17,1.47,1
0.36,1.35,0.73,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0.229,3.705,1
0.43,0.65,0.43,0,0.43,0,0.65,0,0,0,0,0,0.43,0,0,0,0.128,8.08,1
0,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,1.379,1
0.15,0.15,0.15,0,1.11,0,0,0.95,0,0,0,0.31,0,0,0,0,0.707,5.423,1
0,0.56,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0.28,0,0,5.635,1
0,0.56,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0.046,14.58,1
0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0.256,3.5,1
0.29,0,0.29,0,0.87,0,0,0,0,0,0,0.29,0,0,0,0,0,3.121,1
0.47,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0.306,4.653,1
0,0,0.76,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,11.312,1
0.34,0.08,0.08,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.015,2.531,1
0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212,1.838,1
1.05,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,4.43,1
0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.333,1
0.77,1.15,0,0,0.19,1.15,0,0,0,0,0,0,0,0,0,0,0.191,14.619,1
0.4,0.05,0,0,0.17,0.05,0,0,0,0,0,0,0,0.11,0,0,0.079,4.924,1
0.26,1.14,0.33,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.151,4.623,1
0.86,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0.154,2.409,1
0.77,1.15,0,0,0.19,1.15,0,0,0,0,0,0,0,0,0,0,0.191,14.406,1
0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.583,1
0.14,0,0.29,0,0.87,0,0,0,0,0,0,0.29,0,0,0,0,0.784,4.979,1
0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,2.75,1
0,0,0.54,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0.083,3.521,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.266,1
0,0,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.3,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.21,1.738,1
0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.372,1
