@relation spambase

@attribute Word_freq_make numeric
@attribute Word_freq_address numeric
@attribute Word_freq_3d numeric
@attribute Word_freq_our numeric
@attribute Word_freq_will numeric
@attribute Word_freq_report numeric
@attribute Word_freq_addresses numeric
@attribute Word_freq_free numeric
@attribute Word_freq_business numeric
@attribute Word_freq_you numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_telnet numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_parts numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_project numeric
@attribute Word_freq_re numeric
@attribute Word_freq_edu numeric
@attribute Word_freq_table numeric
@attribute Char_freq1 numeric
@attribute Char_freq3 numeric
@attribute Char_freq4 numeric
@attribute Capital_run_length_average numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0,0.55,0,1.1,0.55,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0.495,16.826,148,1
0,0,0,0.96,0,0,0,0.48,0.96,1.92,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0.515,6.833,78,1
0,0,0,0,0,0,0,0.73,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,2.08,12,1
0.1,0.1,0,0.07,0.53,0,0,0.17,0.03,0.81,0.03,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.013,2.11,46,1
0,0,0,0,0.85,0,0,0.85,0,4.7,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,7.17,42,1
1,0,0,0.66,0.33,0,0,0.66,0.66,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,5.428,21,1
0.72,0,0,1.45,0,0,0,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134,3.066,14,1
0,0,0,0,1.29,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.818,25,1
0,0,0,1.82,0.45,0,0,1.36,0,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.032,12,1
0,0,0,0,2.89,0,0,1.44,0,5.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277,1.312,3,1
0.1,0,0,0.1,0.62,0.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,1.915,29,1
0,0,0,0,0,0,0,5.4,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.841,24.785,295,1
0,0.51,0,0.51,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,7.025,130,1
0.58,0,0,0.11,0.93,0,0,0.58,0.23,4.19,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0.733,8.192,326,1
0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0.191,3.95,23,1
