@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R1-2,4-7,9,11-12,16,19,22,24,28-31,33,35,38,40,44,52,55,58'

@attribute Word_freq_make numeric
@attribute Word_freq_address numeric
@attribute Word_freq_3d numeric
@attribute Word_freq_our numeric
@attribute Word_freq_over numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_order numeric
@attribute Word_freq_receive numeric
@attribute Word_freq_will numeric
@attribute Word_freq_free numeric
@attribute Word_freq_you numeric
@attribute Word_freq_font numeric
@attribute Word_freq_money numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_lab numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_telnet numeric
@attribute Word_freq_data numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_parts numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_project numeric
@attribute Char_freq4 numeric
@attribute Capital_run_length_average numeric
@attribute Spam {1,0}

@data
0,0,0,0.71,0.35,0,0,0,0.35,5.35,3.21,0,0,0,0,0,0,0,0,0,0,0,0.357,1.971,1
0.05,0.07,0,0.76,0.05,0.15,0.55,0.1,0.47,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0.25,2.565,1
0,0,0,0,0,0,0,0,0,0,5.12,0,0,0,0,0,0,0,0,0,0,0,1.543,2.777,1
0,0.48,0,0.48,0,0,0,0,0.97,0.48,1.46,0,0,0,0,0,0,0,0,0,0,0,0.963,3.1,1
0.12,0.24,0,1.32,0.36,0,0,0.36,0.72,0,4.1,0,0,0,0,0,0,0.12,0,0,0.12,0,0.019,1.714,1
0,0,0,0,0,1.47,0,0,1.47,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0.5,1.214,1
0,0.53,0,0.53,0,0,0,0,0.53,0.53,1.6,0,0,0,0,0,0,0,0,0,0,0,0.877,3.4,1
0,0.56,0,2.24,0,1.12,0,0,0.56,0.56,3.93,0,0,0,0,0,0,0,0,0,0,0,1.083,4.974,1
0.59,0.44,0,0.14,0.03,0.03,0.56,0.29,0.67,0.22,3.43,0,0.63,0,0,0,0,0,0.03,0,0,0,0.613,7.3,1
0.46,0,0,0,0,0,0,0,1.38,0,2.77,0,0,0,0,0,0,0,0,0,0.46,0,0.082,3.4,1
0,0,0,0,0.64,0,0,0,0,0.64,2.59,0,0,0,0,0,0,0,0,0,0,0,0.662,10.068,1
0,0,0,0,0,2.46,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,1.907,1.285,1
0.16,0,0,0.33,0.16,0.33,0.16,0.33,1.51,0,2.18,0,0.33,0,0,0,0,0,0,0,0.16,0,1.194,5.567,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,4,1
0,0,0,1.49,0,0,0,0,0,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1
