@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R1-2,7,10-11,14-15,20,25-27,29,33,35-36,38,41,44-45,48,50,52,57-58'

@attribute Word_freq_make numeric
@attribute Word_freq_address numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_mail numeric
@attribute Word_freq_receive numeric
@attribute Word_freq_report numeric
@attribute Word_freq_addresses numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_hpl numeric
@attribute Word_freq_george numeric
@attribute Word_freq_lab numeric
@attribute Word_freq_data numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_technology numeric
@attribute Word_freq_parts numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_project numeric
@attribute Word_freq_re numeric
@attribute Word_freq_conference numeric
@attribute Char_freq2 numeric
@attribute Char_freq4 numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,0.667,69,1
0,0.68,0,0.68,1.36,0,0,0,0.68,0,0,0,0,0.68,0,0,0,0,0,0,0,0,264,1
0.49,0,0,0.99,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.17,94,1
0.46,0.3,0.05,0.74,0.25,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.065,0.325,3040,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611,1.529,66,1
0.05,0.3,0,0,0,0,0.05,0.3,0.05,0.05,0,0,0,0,0,0,0,0.05,0.05,0,0.036,0.054,583,1
0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,278,1
0,0.39,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0.16,730,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715,13,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.12,304,1
0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261,114,1
0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,33,1
0.52,0,0.26,0,0.26,0,0,0,0,0,0,0,0.26,0,0.26,0,0,0,0,0,0.656,0.31,566,1
0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0.099,0.893,121,1
0,0,0,0,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816,165,1
0.07,0.02,0,0,0,0.07,0,0,0,0,0,0.02,0,0,0.05,0.02,0,0,0.02,0,0.022,0,965,1
0,0,0.16,0,0.16,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.088,0.884,1087,1
0,0,0,0.36,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0.265,0,88,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1
0.08,0.16,0.08,0.08,0,0.08,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0.085,0.39,1561,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.784,91,1
0.58,0,1.16,0,0.58,0.58,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.09,75,1
0.17,0.17,0.17,0.53,0.35,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0.115,1.158,599,1
0.35,0,0.35,0,0.35,0,0,2.82,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0.411,213,1
0.18,0,0.06,0.12,0.06,0.06,0,0.24,0,0,0,0,0,0,0,0,0,0,0.06,0,0.052,0.01,442,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1
0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.511,0.511,217,1
0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.209,211,1
0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0.105,0,139,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0.332,132,1
0.35,0.46,0,0.66,0.31,1.28,0.03,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.088,0.319,2218,1
0,0.35,0.35,0.35,0.7,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0.113,0.397,183,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1
0,0,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.826,1315,1
0.76,0.19,0,0.31,0.25,0.38,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0.428,1070,1
0,0,0.96,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,0.616,13,1
