@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R3,5-6,8,12,16-17,22,25,32-33,35,37,40-43,50,53-54,56,58'

@attribute Word_freq_all numeric
@attribute Word_freq_our numeric
@attribute Word_freq_over numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_will numeric
@attribute Word_freq_free numeric
@attribute Word_freq_business numeric
@attribute Word_freq_font numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_data numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_original numeric
@attribute Char_freq2 numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0.64,0.32,0,0,0.64,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1
0.25,0.38,0.25,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0,0,11,1
0,1.89,0.27,0,0.81,0.27,0,0,0,0,0,0,0,0,0,0,0,0.045,0.091,0,11,1
0,0.52,0,0.52,0.52,0.26,1.56,0,0,0,0,0,0,0,0,0,0,0.073,0.036,0.147,38,1
0,1.92,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
0.73,0,0.73,1.1,0.36,1.1,0.36,0,0,0,0,0,0,0,0,0,0,0.111,0.333,0,30,1
0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0.257,0,0,66,1
0.46,1.39,0,0.93,0.93,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,8,1
0.66,0,0,0,0,1.98,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1
0.89,0.44,0,0,0.44,0.44,0,0,0,0,0,0,0,0,0,0,0,0.073,0,0,121,1
0.2,1.67,0.2,0,0,0.83,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1
0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0.611,0,0,22,1
0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1
0.76,0.38,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177,0.059,79,1
0.4,0.1,0.05,0.05,0.3,0,0,0,0.05,0,0,0,0,0,0,0,0,0.045,0.118,0,96,1
0,1.6,0,1.2,0.8,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0.212,0,13,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279,0,23,1
0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1
