@relation spambase

@attribute Word_freq_address numeric
@attribute Word_freq_our numeric
@attribute Word_freq_over numeric
@attribute Word_freq_people numeric
@attribute Word_freq_free numeric
@attribute Word_freq_business numeric
@attribute Word_freq_email numeric
@attribute Word_freq_george numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_telnet numeric
@attribute Word_freq_data numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_original numeric
@attribute Word_freq_edu numeric
@attribute Word_freq_conference numeric
@attribute Char_freq3 numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_average numeric
@attribute Spam {1,0}

@data
0,0.63,0.63,0.31,0.31,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0.163,0.054,1.515,1
0.28,0.14,0.28,0.65,0.14,0.07,0.28,0,0,0,0,0,0,0,0,0,0,0.372,0.18,0.048,5.114,1
0,0.78,0,1.56,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0.443,0.402,0,2.41,1
0,3.09,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.692,1
0,1.43,0.28,0,0.14,0.42,0,0,0,0,0.14,0,0,0,0,0,0,0.094,0.118,0.023,1.42,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.431,0,0,4.071,1
0,0,0.32,0,0,0.96,0,0,0,0,0,0,0.32,0,0,0,0.045,0,0,0,2,1
0.2,0.8,0.8,0.3,0.1,0,1.11,0,0,0,0,0,0,0.2,0.1,0,0,0.474,0.152,0.015,8.55,1
0.42,0.08,0.42,0.94,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.261,0.294,0.065,3.282,1
0,0,0,0.41,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0.067,0,0,1.863,1
0.56,0,0,0.28,1.41,0.28,0,0,0,0,0,0,0,0,0,0,0,0.158,0,0.158,9.25,1
0.17,0.43,0.08,0.17,0.34,0.08,0,0,0,0,0,0,0,0,0.08,0,0,0.308,0.067,0.026,4.215,1
0,0.28,0,0,0.57,1.15,0,0,0,0,0,0,0,0,0,0,0,1.147,0.191,0.191,11.735,1
0,0,0,0,0.86,0.86,0,0,0,0,0,0,0,0,0,0,0,1.765,0.481,0.08,7.059,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392,0.196,0,5.466,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207,0.207,0,3.761,1
0.47,1.41,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0.224,0,0,1.102,1
0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0.36,0,0,0,0.105,0,1.866,1
0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333,0,0,2.551,1
0,0.23,0,0,0.23,0.23,0,0,0,0,0,0,0,0,0,0,0,0.175,0,0,1.294,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0.175,0.043,0.35,8.271,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201,0,4.5,1
0.3,0.76,0.3,0.3,0.3,0,1.52,0,0,0,0,0,0,0,0,0,0,1.051,0.225,0.05,6.686,1
0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709,0,1.56,7.82,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,3.178,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0.238,0,2.232,1
0,0.76,0.38,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0.117,0,0,2.061,1
0,0.4,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.124,0,0,1.94,1
0.89,0.89,0,0.89,0.89,0,0,0,0,0,0,0,0,0,0,0,0,1.129,0.483,0,1.826,1
0,0.43,0.08,0.17,0,0.17,0.08,0,0,0,0,0,0,0,0,0,0.027,0.088,0.013,0,4.16,1
0,1.3,0,0,1.3,0.65,0,0,0,0,0,0,0,0,0,0,0,0.834,0.463,0,2.44,1
0,1.79,0.44,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,1
0.25,0.08,0.23,0.5,0.33,0.42,0.02,0,0,0,0,0,0,0,0,0,0,0.325,0.523,0.124,6.723,1
