@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R2,7-8,10,12,14,16-19,21-22,24-25,29,32-33,37,39-40,46-49,51,53,55-56,58'

@attribute Word_freq_address numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_mail numeric
@attribute Word_freq_will numeric
@attribute Word_freq_report numeric
@attribute Word_freq_free numeric
@attribute Word_freq_business numeric
@attribute Word_freq_email numeric
@attribute Word_freq_you numeric
@attribute Word_freq_your numeric
@attribute Word_freq_font numeric
@attribute Word_freq_money numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_lab numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_data numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_edu numeric
@attribute Word_freq_table numeric
@attribute Word_freq_conference numeric
@attribute Char_freq1 numeric
@attribute Char_freq3 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_average numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0.69,0,0,0,0.69,0,0.34,0,1.39,2.09,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.728,61,1
0,0.9,0,0.9,0,0,0,0,0,2.72,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.083,7,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,5.466,22,1
0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355,0,0,4,12,1
0,0.18,0,0,0.18,0,0,0.37,0.37,3.15,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.283,4,1
0,0.06,0.06,0.12,0.54,0.06,0,0.72,0.06,4.54,1.09,0,0.06,0,0,0,0,0,0,0,0,0,0,0.01,0,0.167,1.733,12,1
0,0,0,0,2.53,0,0,0,0,2.53,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.642,8,1
0,2.53,1.26,1.26,1.26,0,0,5.06,0,2.53,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5,287,1
0,0,0,0,0.59,0,0,0,0.59,4.14,1.18,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0.082,2.325,16,1
0.06,0,0,0.06,0.33,0,0.2,0,0,1.14,1.21,0,0.06,0,0.06,0,0,0,0,0,0,0,0,0.021,0,0.085,3.353,144,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,23,1
0,0,0,0,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.913,27,1
0,0,0,0,1.01,0,0,0,0,4.04,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178,3.416,53,1
0,0,0,0.56,0,0,0.56,0,0,2.25,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36,19,1
0,0.16,0,0,0.64,0,0,0.16,0.16,1.6,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174,1.891,24,1
0.39,0,0.19,0,0.39,0,0.98,0.19,0.39,0.59,0.78,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0.16,2.128,31,1
0,0,0,0,1.65,0,0.82,0,0,1.65,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.769,11,1
0.46,0,0.19,0.65,0.73,1.27,0.23,0.42,0,3.08,1.34,0,0.5,0,0,0,0,0,0,0,0,0,0,0.011,0,1.281,7.202,595,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431,4.277,27,1
0.14,0,0.29,0,0,0,0.87,0.29,0.43,3.66,1.31,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,3.121,38,1
0.66,0,0,0,0.66,0,0.33,0,1.32,2.64,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.024,121,1
0.51,0.51,0,0.51,0,0,2.07,0,2.07,1.03,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.676,17,1
0,1.08,0,0,0.54,0,0.54,0.54,0,4.32,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253,5.454,68,1
0.9,0,0,0,0,0,0.9,0,1.81,3.63,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,6.266,41,1
0.26,0.53,0.17,0.8,1.25,0,0.62,0.08,1.43,2.5,1.16,0,0.08,0,0,0,0,0,0,0.08,0,0,0,0,0,0.185,6.815,583,1
0.19,0,0.59,0,0.39,0,0.59,0.39,1.37,4.52,3.14,0,0.19,0,0,0,0,0.19,0,0,0,0,0,0,0,0.032,3.112,43,1
0,0,0,0,0,0,0,0,0,1.29,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.103,3,1
0,0,0,0,0,0,1.05,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.293,5,1
0,0,0,0,0.76,0,0,0,0,2.3,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.829,5.607,25,1
0.14,0,0,0.29,0.58,0,0.14,0,0.14,2.35,0.88,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0.127,2.962,73,1
1.63,3.27,0,0,0,0,1.63,1.63,0,0,1.63,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0,0.18,14.818,140,1
0.38,0.19,0,0.57,0,0,0.19,0,0.95,0.19,0.95,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0.03,6.789,132,1
0.52,0,0,0,0,0,0.52,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,20,1
0.1,0.2,0.62,0.31,1.04,0,0.1,1.14,0.31,2.4,2.92,0,0.2,0.1,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0.065,4.064,92,1
0,0.64,0,0,0.64,0,0.64,0.64,0,1.28,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459,2.333,22,1
0,0,0,0,0,0,0.43,0,0,2.17,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,6,1
0.11,0.11,0,0,0.92,0,0.46,0.23,0.34,0.58,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0.094,2.576,48,1
0,0.91,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269,4.35,31,1
0,0,0,0,0,0,1.28,0,0,3.84,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,5.538,41,1
0,0.94,0,0,0.47,0,0,0.47,0,0.94,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,11,1
0,0,0,0,0.73,0,0.36,0.73,0,1.09,1.46,0.36,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0.181,3.787,58,1
0,0,0,0,1.29,0,0,0,0,1.29,5.19,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0.198,4.23,25,1
0,0.63,0,0,0.63,0,0.63,0.63,0,1.27,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.3,2.458,22,1
0,0,0,0,0.65,0,1.3,0.65,0,1.96,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463,2.44,22,1
0,0,0,0,0.73,0,0.36,0.73,0,1.09,1.46,0.36,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0.181,3.787,58,1
0,0.06,0.06,0.12,0.54,0.06,0,0.72,0.06,4.49,1.09,0,0.06,0,0,0,0,0,0,0,0,0,0,0.01,0,0.167,1.736,12,1
0,1.25,0,0,0,0,6.25,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
0,0,0,0.67,0,0,0,0,0.67,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114,2.527,20,1
0,0,0,0,0,0,2.43,0,0,3.65,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
