@relation spambase

@attribute Word_freq_make numeric
@attribute Word_freq_all numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_order numeric
@attribute Word_freq_mail numeric
@attribute Word_freq_receive numeric
@attribute Word_freq_free numeric
@attribute Word_freq_email numeric
@attribute Word_freq_you numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_money numeric
@attribute Word_freq_george numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_original numeric
@attribute Word_freq_edu numeric
@attribute Char_freq1 numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0.15,0.3,0,0.61,0,0.15,0,0.3,2.32,1.85,0,0,0.3,0,0,0,0,0,0,13,1
0,0.91,0,0,0,0,0,1.36,0,2.28,0,0,0,0,0,0,0,0,0,12,1
0,0,0,0,0.31,0,0,0.63,3.18,2.22,0,0.31,0.63,0,0,0,0,0,0,91,1
0.09,0.27,0,0.18,0.09,0,0,0,0,2.01,0,0.36,0.09,0,0,0,0,0,0.016,69,1
0.34,0.25,0.08,0.25,0.08,1.63,0.34,0.08,0,3,0,0.34,0.34,0,0,0,0,0,0,62,1
0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212,24,1
0.13,0.55,0.02,1.11,0.23,0.29,0.05,0.87,0.66,3.95,0.05,0.39,0.34,0,0,0,0,0.02,0.03,116,1
0.14,0.29,0.14,0.58,0,0.43,0,0.29,2.05,1.9,0,0,0.29,0,0,0,0,0,0,12,1
0.45,0.91,0,0.45,0,1.83,0,0.45,0,1.83,0,0,0,0,0,0,0,0,0,708,1
0,0.44,0,0,0,0,0,0,0.88,3.96,0,0.44,0,0,0,0,0,0,0,82,1
0.54,1.08,1.08,0,0,0,0,0.54,0,4.32,0,1.62,0,0,0,0,0,0,0,68,1
0,0.42,0,0,0,0,0,0.85,0.85,4.7,0,0,0,0,0,0.42,0,0,0,42,1
0.14,0.28,0.04,0.04,0.24,0,0,0,0,0.24,0.04,0.38,0.14,0,0,0,0,0,0,14,1
0,0,0,0,0,0,0,0.11,0.11,0.35,0,0,0,0,0,0,0,0.46,0,41,1
0,0.64,0,0,0,0,0,0.64,0,2.59,0,0.64,0,0,0,0.64,0,0,0.094,131,1
0.09,0.57,0,0,0,0.38,0,0,0,3.55,0,0,0,0,0,0,0,0,0.038,70,1
0,0.53,0.1,0.53,0.1,0.21,0,0,0,0,0,0.74,0,0,0,0,0,0,0,29,1
1.18,0.59,0.19,0.19,1.38,0.39,0,0.98,0,2.56,0.39,0,1.38,0,0,0,0,0,0,76,1
0,0,1.65,0,0,1.65,0.82,0.82,0,3.3,0,0,0,0,0,0,0,0,0,68,1
0,0.28,0.56,0,0,0.56,0.28,1.41,0,1.97,0,0,0,0,0,0,0,0,0,394,1
0.9,0,0.9,0,0,0,0,0,0.9,1.81,0,0,0.9,0,0,0,0,0,0,19,1
0,0.75,0.15,0,0,0.45,0.15,0.15,0.75,0.15,0.15,0,0,0,0,0,0,0,0,149,1
0,0.36,0,0,0,0.73,0,0,0,0.73,0,0,0,0,0,0,0,0.36,0,12,1
0.09,0.27,0,0.18,0.09,0,0,0,0,2.01,0,0.36,0.09,0,0,0,0,0,0.015,69,1
0,0,1.56,0,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,81,1
0.06,0.47,0,0,0.67,0.06,0,0.2,0,1.14,0.13,0,0.06,0,0,0,0,0,0.021,144,1
0,1.05,0,0,0,0,0,0.35,1.4,2.46,0,0,0,0,0,0,0,0,0,121,1
0.17,0.08,0.08,0.43,0.08,0.08,0,0,0.08,1.2,0,0.34,0.08,0,0,0,0,0,0,48,1
0.12,0.24,0,0.12,0,0,0.36,0.24,0,2.33,0,0,0,0,0,0,0,0,0.063,69,1
0,0,0,0.67,0,0.67,0,0,0,0,0,0,0,0,0,1.34,0,0,0.17,27,1
0.52,0.35,0.03,0.1,0.56,0.8,0.28,0.24,0,3.19,0,0.38,0.63,0,0,0,0,0,0,286,1
0.41,1.25,0,0,0,0.41,0,0.62,0,4.6,0,0.62,0.2,0,0,0,0,0,0,37,1
0,0,0,0,0,0,0,4.59,0,3.44,0,0,0,0,0,0,0,0,0,30,1
0.52,2.38,0.26,0,0.52,0,0.26,0.79,0,1.32,0,0,0.52,0,0,0.26,0,0,0,71,1
0.09,0.67,0,0,0.19,0.38,0.09,0.29,0,2.51,0,0,0.38,0,0,0,0,0,0,148,1
0,0.49,0,0,0,0,0,0,0,2.45,0,0.49,0,0,0,0,0,0,0,80,1
0,0.62,1.25,0,0,0,0.62,2.5,1.25,5,0,0,0,0,0,0,0,0,0,29,1
0.2,0.2,0,0.41,0.41,0.62,0,0.2,0,2.69,1.03,0,0,0,0,0,0,0,0,116,1
0,0,0,0,0,0,0,0.12,0.12,0.12,0,0,0,0,0,0,0,0.38,0,41,1
0.09,0.27,0,0.18,0.09,0,0,0,0,2,0,0.36,0.09,0,0,0,0,0,0.015,69,1
0,0.15,0.15,0,0.63,0.15,0.15,1.11,1.27,0.79,0,0,0,0,0,0.31,0,0,0,51,1
0.2,0.7,0,0.3,0,1.2,0.3,0.4,0.1,2.61,0,0,0,0,0,0,0,0,0.017,84,1
0,0,0.65,0,0,0,0,0.65,0,5.88,0,0,0,0,0,0,0,0,0,21,1
0,0.46,0,0,0,0,0,0.46,0,2.8,0,0,0,0,0,0,0,0,0,20,1
0,0,0,0,0,1.35,0,1.35,0,1.35,0,2.7,0,0,0,0,0,0,0,19,1
0.35,0.55,0,0,0.1,0.75,0.35,0.15,0,5,0,0.05,0.8,0,0,0,0,0,0.008,127,1
0.74,0,0.74,0,0,1.49,0.74,0.74,0,4.47,0,0.74,0,0,0,0,0,0,0,7,1
0.39,0,0.79,0,0,0,0,0,0,2.37,0,1.18,0.79,0,0,0,0,0,0,13,1
0,1.1,0,0,0,0.55,0,0.55,0,2.2,0,0,0,0,0,0,0,0,0,19,1
0,0,0.86,0,0,0,0,0.86,1.73,3.47,0,0,0,0,0,0,0,0,0,10,1
0.32,0.6,0,0,0.09,0.69,0.32,0.13,0,4.92,0,0.04,0.74,0,0,0,0,0,0.008,127,1
0,0,1.12,0,0,0,0.74,0.37,1.49,4.49,0,0,0.74,0,0,0,0,0,0,10,1
0,0,0,0,1.32,0,0,0.44,0.44,3.53,0,0,1.32,0,0,0,0,0,0,123,1
0.98,0.41,0,0.08,0,0.49,0.08,0,0.32,2.46,0,0.49,1.14,0,0,0,0,0,0,84,1
