@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R1-2,4-5,12,14-17,19-20,25,28,31,34,37-38,41,44-47,49,51-52,55-56,58'

@attribute Word_freq_make numeric
@attribute Word_freq_address numeric
@attribute Word_freq_3d numeric
@attribute Word_freq_our numeric
@attribute Word_freq_will numeric
@attribute Word_freq_report numeric
@attribute Word_freq_addresses numeric
@attribute Word_freq_free numeric
@attribute Word_freq_business numeric
@attribute Word_freq_you numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_telnet numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_parts numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_project numeric
@attribute Word_freq_re numeric
@attribute Word_freq_edu numeric
@attribute Word_freq_table numeric
@attribute Char_freq1 numeric
@attribute Char_freq3 numeric
@attribute Char_freq4 numeric
@attribute Capital_run_length_average numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0,0.69,0,0.34,0.69,0,0,0.34,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.786,3.728,61,1
0,0,0,0.9,0,0,0,0,0,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.083,7,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0.392,5.466,22,1
0,0,0,2.94,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355,0,0.711,4,12,1
0,0,0,1.11,0.18,0,0.18,0,0.37,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426,1.283,4,1
0.18,0,0,1.57,0.54,0.06,0,0,0.72,4.54,0.24,0,0,0,0,0,0,0,0,0.06,0,0,0.01,0,0.01,1.733,12,1
0,0,0,0,2.53,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.642,8,1
0,0,0,1.26,1.26,0,0,0,5.06,2.53,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537,72.5,287,1
0,0,0,0,0.59,0,0,0,0,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,2.325,16,1
0.06,0.06,0,0.4,0.33,0,0,0.2,0,1.14,0.13,0,0,0,0,0,0,0,0,0.06,0,0,0.021,0,0.096,3.353,144,1
