@relation spambase

@attribute Word_freq_make numeric
@attribute Word_freq_address numeric
@attribute Word_freq_3d numeric
@attribute Word_freq_over numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_mail numeric
@attribute Word_freq_people numeric
@attribute Word_freq_report numeric
@attribute Word_freq_addresses numeric
@attribute Word_freq_free numeric
@attribute Word_freq_your numeric
@attribute Word_freq_font numeric
@attribute Word_freq_money numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_technology numeric
@attribute Word_freq_parts numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_edu numeric
@attribute Char_freq1 numeric
@attribute Char_freq2 numeric
@attribute Char_freq5 numeric
@attribute Spam {1,0}

@data
0,0,0,0.3,0.3,0,0,0,0,0.9,3,0,0.6,0,0,0,0,0,0,0,0,0.048,0,1
0,0.82,0,0.32,0,0.65,0,0,0,0.16,1.47,0,0.32,0,0,0,0,0,0,0,0,0,0.29,1
0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0.17,0,1
0.43,0.43,0,0,0,1.31,0.43,0,0,2.63,2.19,0,0,0,0,0,0,0,0,0,0,0.201,0.067,1
0,0,0,0.44,0.44,0,0,0,0,0,0.44,9.29,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0.45,0,0,0.45,0.9,0,0,0,0,0,0,0,0,0,0,0,0.07,1
0.34,0.17,0,0.69,0.17,0.17,0,0,0.34,1.55,2.42,0,0,0,0,0,0,0,0,0,0,0.115,0.086,1
0,0.28,0,0,0.14,0.42,0.14,0,0.14,0.14,0.84,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0.12,0.12,0,0.12,0.12,0,0.12,0.24,0,0,0,0,0,0,0,0,0,0.056,0.037,0.094,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0.2,0.2,0,1.41,0.2,0.4,2.22,0,0.4,0,0,0,0,0,0,0,0.033,0.066,0.066,1
0.17,0,0,0.08,0.08,0.08,0.17,0.17,0,0,3.17,0,0.08,0,0,0,0,0,0,0,0,0.085,0.014,1
0.1,0.2,0,0.8,0.5,0.1,0.3,0,1.61,0.1,0.7,0,0.1,0,0,0,0,0,0,0.1,0,0.11,0.158,1
0,0,0,0,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,5.19,0,1.29,0,0,0,0,0,0,0,0,0,0.208,1
0,0,0,1.1,0.36,0,0,0,0,0.36,2.95,0,0,0,0,0,0,0,0,0,0,0.124,0.932,1
0,0,0,0,1.56,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0.256,0,1
0,1.65,0,0,1.65,1.65,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.41,0,0,1.65,0,0,0,0,2.47,0.82,0,0,0,0,0,0,0,0,0,0,0.265,0,1
0,0,0,0,0,0.83,0,0,0,0,0.27,8.58,0,0,0,0,0,0,0,0,0,0,0.185,1
0,0,0,0,0.6,0,0.6,0,0,0,1.21,0,0.6,0,0,0,0,0,0,0,0,0.412,0.103,1
0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255,1
0,0.8,0,0,0.8,0.8,0,0,0,0.8,1.6,0,0,0,0,0,0,0,0,0,0,0.135,0,1
0,0,0,0.29,0.09,0,0.38,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0.063,0.047,0.047,1
0,0.09,0,0.09,0.09,0,0.19,0,0,0,1.23,0,0.04,0,0,0,0,0,0,0,0.015,0.119,0.111,1
0,0,0,0,1.78,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1.03,0,0.51,0,0,0,0,0,0,0,0,0,0.177,1
0,0,0,0,2.56,1.28,0,0,0,0,5.12,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.73,0.36,0,0.73,0.73,0.36,0,0,0,1.09,2.19,0,0,0,0,0,0,0,0,0,0,0.11,0.332,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.07,0.64,0,0.71,0.57,0.5,0.21,0,1,0.14,1.14,0,0.21,0,0,0,0,0,0,0.07,0,0.08,0.103,1
1.24,0,0,0,0.41,0.41,0,0,0,1.65,0.41,0,0.82,0,0,0,0,0,0,0,0,0.193,5.3,1
0,0,0,0,0,0,0,0,0,0.6,0,0,0.6,0,0,0,0,0,0,0,0,0.102,0.716,1
0,0.89,0,0,0,0,0.89,0,0,0.89,1.78,0,0,0,0,0,0,0,0,0,0,0,0.483,1
0,0,0,0,0,0,0,0,0,0,1.36,0,0.68,0,0,0,0,0,0,0,0,0,0.238,1
0.52,0.34,0,0.17,0.05,0.52,0.4,1.16,0.05,0.11,1.1,0,0.52,0,0,0,0,0,0,0,0,0.073,0.535,1
0,0,0,0.74,1.48,0.74,0.74,0,0,0.74,3.7,0,0,0,0,0,0,0,0,0,0,0,0,1
0.21,0.28,0,0.28,0.21,0.94,0.65,0.21,0.14,0.14,1.59,0,0.43,0,0,0,0,0,0,0,0,0.132,0.18,1
0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0.365,0,1
0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0.33,0.28,0.28,0.336,1
0.48,0.97,0,0,0,1.95,0,0.48,0,0.48,5.36,0,0,0,0,0,0,0,0,0,0,0.26,0.173,1
0.1,0.1,0,0.3,0.4,0.81,0,0,0,0.1,2.03,0,0.3,0,0.1,0,0,0.1,0,0,0,0,0.384,1
