@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R3-5,7,12,15,17-18,20,23-24,27,33,39,41,43,47-50,52-53,56,58'

@attribute Word_freq_all numeric
@attribute Word_freq_3d numeric
@attribute Word_freq_our numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_will numeric
@attribute Word_freq_addresses numeric
@attribute Word_freq_business numeric
@attribute Word_freq_email numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_money numeric
@attribute Word_freq_george numeric
@attribute Word_freq_data numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_original numeric
@attribute Word_freq_table numeric
@attribute Word_freq_conference numeric
@attribute Char_freq1 numeric
@attribute Char_freq2 numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428,0,31,1
0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,1.975,0.37,95,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0.352,0,11,1
0,0,0,0,1.17,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.886,0,10,1
0,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302,5,1
1.28,0,1.28,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0.181,0.724,0,9,1
0.43,0,0.43,0,0.43,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0.147,0.736,0,61,1
0,0,4.25,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,3,1
0.4,0,0.1,0,0.3,0.05,0,0.5,0.3,0.15,0.2,0,0,0,0,0,0,0,0,0.036,0.054,0.118,96,1
0.8,0,0.32,0.16,0,0.16,0,0.8,0.16,0,0,0,0.16,0,0,0,0,0,0,0,0.271,0.024,149,1
0.33,0,0.66,0,0.33,0,0.66,0,0,1.66,0.33,0,0,0,0,0,0,0,0,0.06,0.12,0.541,21,1
0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,0,0.294,0.147,11,1
0.08,0,0.42,0.08,0.6,0,0.17,0.08,0,0.34,0.08,0,0,0,0,0,0,0,0,0.081,0.108,0.013,48,1
0.38,0,1.15,0,0.38,0,0.77,0,0,0.38,0,0,0,0,0,0,0,0,0,0.061,0.985,0.184,78,1
0.48,0,0.96,0,0,0,0.96,0,0,0.96,0,0,0,0,0,0,0,0,0,0.133,0.468,0.267,61,1
0.32,0,0.65,0.32,0.32,0,0.32,0,0,0,0.32,0,0,0,0,0,0,0,0,0.105,0,0.158,10,1
0.15,0,0.31,0.15,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0.088,0.862,0.707,51,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.453,0,26,1
0.33,0,0.99,0.33,0.33,0,0.33,0,0,0,0.33,0,0,0,0,0,0,0,0,0.108,0,0.162,50,1
0,0,6.25,3.12,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1
0.15,0,0.3,0.15,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0.083,0.732,0.753,45,1
0.18,0,1.57,0.06,0.54,0,0.72,0.06,0.24,0.84,0.06,0,0,0,0,0.06,0,0,0.01,0.052,0.01,0.167,12,1
0.32,0,0.64,0.32,0.32,0,0.32,0,0,0,0.32,0,0,0,0,0,0,0,0,0.105,0,0.157,10,1
1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.434,0,75,1
0.32,0,0.65,0.32,0.32,0,0.32,0,0,0,0.32,0,0,0,0,0,0,0,0,0.106,0,0.159,10,1
0.08,0,0.16,0,0.23,0,0.23,0,0.16,0,0,0,0,0,0,0,0,0,0,0.228,0.406,0.038,67,1
0.05,0,0.02,0,0.02,0,0.1,0.38,0.2,0,0,0,0,0,0,0,0,0,0,0.004,0.107,0.017,489,1
0.61,0,0,0,0.4,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0.831,0.338,2204,1
1.33,0,1.78,0,0,0,0,0,0.89,0.44,0,0,0,0,0,0,0,0,0.078,0.078,0,0,5,1
0.48,0,0.48,0.48,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0.163,0.163,0,17,1
0.7,0,1.05,0.7,0.7,0.35,0,0.35,0,0.35,0.35,0,0,0,0,0,0,0,0,0,0.367,0.061,12,1
0.49,0,1.48,0.49,0.99,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0.082,0.497,0.165,78,1
0.94,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,3.571,0,7,1
0.36,0,0.6,0.12,0.48,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.056,0.037,0.056,0.094,14,1
0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251,1.007,0,8,1
0.71,0,0.17,0.35,0.35,0,0,0.17,0,0.35,0,0,0,0,0,0,0,0,0,0.057,0.057,0.171,34,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.844,0,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134,0.536,0,23,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.347,0,1,1
0.09,0,0.39,0.09,0.48,0,0.19,0,4.1,0.39,0.19,0,0,0,0,0,0,0,0,0.136,0.318,0.151,494,1
0.37,0,1.11,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0.149,1.096,0,107,1
0.1,0,0.4,0.1,0.5,0,0.2,0,4.26,0.4,0.2,0,0,0,0,0,0,0,0,0.093,0.297,0.156,494,1
0,0,0.44,0.44,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,72,1
0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0.204,0.408,0.408,25,1
0.48,0,0.48,0,0.96,1.93,0.48,0.48,0,3.38,0,0,0,0.48,0,0,0,0,0,0.084,0.084,0.761,46,1
0.35,0,0.35,0,0.26,0.26,0.7,0.35,0,0.61,0.7,0,0,0.08,0,0,0,0,0,0.081,0.556,0.069,1170,1
0.85,0,0,0.06,0.79,0.06,0.19,0.33,0.06,0.06,0.06,0,0,0,0,0,0,0,0,0.131,0.101,0.101,79,1
0.27,0,0.36,0,0.73,0,0,0,0,0.36,0.09,0,0,0,0,0,0,0,0.015,0.046,0.249,0.031,69,1
0.47,0,0.47,0,0.94,1.88,0.47,0.47,0,1.41,0,0,0,0.47,0,0,0,0,0,0.164,0.082,0.41,60,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421,0.21,0.632,15,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407,0.203,0.61,17,1
0.28,0,0,0.56,0.56,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.114,0.153,0,394,1
0.55,0,2.23,0,0,0,0,1.11,0,0,0.55,0,0,0,0,0,0,0,0,0.265,0.088,0.353,11,1
0,0,0,0,0,0,0,1.47,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,12,1
0.49,0,1.48,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.197,0.616,0,128,1
0.68,0,0,0,0.68,0,0,0,0,0.68,0.68,0,0,0,0,0,0,0,0,0,0.232,0.232,19,1
0.32,0,0.64,0.64,0.32,0,0.32,0.32,0,0,0.32,0,0,0,0,0,0,0,0,0.156,0,0.156,19,1
0,0,0.91,1.36,0.45,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368,0,17,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1
0.11,0,0.45,0,0.34,2.16,0.45,0.11,0,0.45,0.45,0,0,0,0,0,0,0,0.018,0.17,0.265,0.132,144,1
0,0,0.89,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121,1.336,0,51,1
1.7,0,1.02,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0.902,0.106,1327,1
0,0,0.41,0.82,0.82,0,0.41,0,0,0.41,0,0,0,0,0,0,0,0.41,0,0.171,0.513,0.114,44,1
0.47,0,0,0.23,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233,0.287,0.107,64,1
0.99,0,0.99,0.49,0.49,0,0.99,0.74,0.74,0,0.49,0,0,0,0,0,0,0,0,0.179,0.847,0.077,114,1
1.47,0,1.3,0.98,0.81,0.32,0.65,0,0.16,0,0,0,0,0,0,0,0,0,0,0.246,0.179,0.673,113,1
1.65,0,0.99,0.33,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0.859,0.101,1146,1
0.22,0,0.67,0,0.44,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0.305,0,48,1
0.34,0,0,0.34,0.34,0,0.34,0.34,0.34,0,0,0,0,0,0,0,0.34,0,0,0.393,0.225,0.056,17,1
1.47,0,0,0.36,0.36,0,0,0,1.1,1.47,0,0,0,0,0,0,0,0,0,0.124,0.435,0.932,33,1
0,0,0.64,0.64,0.64,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0.115,0.921,0.345,11,1
0.32,0,0.98,0.65,0.98,0,0.65,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0.288,0.173,28,1
0.27,0,0.36,0,0.72,0,0,0,0,0.36,0.09,0,0,0,0,0,0,0,0.015,0.047,0.237,0.031,69,1
0.51,0,0.51,0,1.02,2.05,0,0.51,0,1.53,0,0,0,0.51,0,0,0,0,0,0.189,0.094,0.473,60,1
0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0.212,0.424,0.424,25,1
1.51,0,0.75,0,2.27,1.51,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,2.249,1.237,404,1
