@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R5,8,11,16-18,20-21,23,25,30,32-34,39-40,43-44,48,51,54-56,58'

@attribute Word_freq_our numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_receive numeric
@attribute Word_freq_free numeric
@attribute Word_freq_business numeric
@attribute Word_freq_email numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_your numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_data numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_original numeric
@attribute Word_freq_project numeric
@attribute Word_freq_conference numeric
@attribute Char_freq3 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_average numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0.71,0.35,0,5.35,0,0,0,2.85,0.35,0,0,0,0,0,0,0,0,0,0,0,0,1.971,24,1
0.76,0.02,0.1,0,0.02,0.13,0.1,1.57,0.05,0,0,0,0,0,0,0,0,0,0,0.016,0.059,2.565,66,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.777,6,1
0.48,0,0,0.48,0,0.97,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,61,1
1.32,0.36,0.36,0,0,0,0,3.01,0.12,0,0,0,0.12,0,0,0.12,0,0,0,0,0,1.714,34,1
0,0,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,1.214,3,1
0.53,0,0,0.53,0,1.06,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,61,1
2.24,0,0,0.56,2.8,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,4.974,140,1
0.14,0.14,0.29,0.22,0.44,0.07,0,1.53,0.59,0,0,0,0,0,0,0,0,0,0,0,0.137,7.3,763,1
0,0.46,0,0,0.46,0.46,0,2.31,1.38,0,0,0,0,0,0,0.46,0,0,0,0,0,3.4,12,1
