@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R1,3,7,12,14-16,26-28,33-34,36-41,43,45-46,52-53,55,57-58'

@attribute Word_freq_make numeric
@attribute Word_freq_all numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_will numeric
@attribute Word_freq_report numeric
@attribute Word_freq_addresses numeric
@attribute Word_freq_free numeric
@attribute Word_freq_hpl numeric
@attribute Word_freq_george numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_data numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_technology numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_parts numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_direct numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_original numeric
@attribute Word_freq_re numeric
@attribute Word_freq_edu numeric
@attribute Char_freq4 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_average numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0,0.34,0,0.69,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.786,0,3.728,261,1
0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.083,25,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0.392,0.196,5.466,82,1
0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.711,0,4,28,1
0,0.55,0.18,0.18,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426,0,1.283,68,1
0.18,0.18,0.06,0.54,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0,0.01,0.167,1.733,442,1
0,1.26,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.642,51,1
0,0,2.53,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537,0,72.5,290,1
0,1.77,0,0.59,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0.165,0.082,2.325,100,1
0.06,0.47,0,0.33,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.096,0.085,3.353,845,1
0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,38,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.913,67,1
0.5,0.5,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0.089,0.178,3.416,164,1
0,1.12,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.606,0,2.36,144,1
0,0.8,0.16,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299,0.174,1.891,174,1
0,0.39,0,0.39,0,0,0.98,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0.16,0.16,2.128,730,1
0,0,0,1.65,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.769,69,1
0.5,0.34,0,0.73,1.27,0.03,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.335,1.281,7.202,2413,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0.215,0.431,4.277,77,1
0.14,0.29,0,0,0,0,0.87,0,0,0,0,0,0,0.29,0,0,0,0,0,0.58,0,0.265,0,3.121,437,1
0,0.66,0,0.66,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0.583,0,4.024,326,1
0.51,0,0.51,0,0,0.51,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067,0,2.676,91,1
0.54,1.08,1.08,0.54,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,1.182,0.253,5.454,180,1
0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.165,0.165,6.266,94,1
0.17,1.07,0.53,1.25,0,0.62,0.62,0,0,0,0,0,0,0,0,0,0.08,0,0,0.08,0,0.212,0.185,6.815,1329,1
0.19,0.39,0,0.39,0,0,0.59,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0.258,0.032,3.112,305,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.103,32,1
0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.806,0,1.293,75,1
0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.766,0.829,5.607,157,1
