@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R1,4-8,12-13,20-22,30,32-33,39,41,45,47,49,53-54,58'

@attribute Word_freq_make numeric
@attribute Word_freq_3d numeric
@attribute Word_freq_our numeric
@attribute Word_freq_over numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_will numeric
@attribute Word_freq_people numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_your numeric
@attribute Word_freq_font numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_data numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_cs numeric
@attribute Word_freq_re numeric
@attribute Word_freq_table numeric
@attribute Char_freq1 numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Spam {1,0}

@data
0,0,0.32,0,0,0,0.64,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.38,0.25,0.25,0,0.12,0.12,0,0.77,0,0,0,0,0,0,0,0,0.022,0,0,1
0,0,1.89,0.27,0,0,0.81,0,0,2.7,0,0,0,0,0,0,0,0,0,0.091,0,1
0,0,0.52,0,0.26,0.52,0.52,0,2.08,0.26,0,0,0,0,0,0,0,0,0,0.036,0.147,1
0,0,1.92,0,0,0,1.92,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,1
0.73,0,0,0.73,0.73,1.1,0.36,0,2.2,2.2,0,0,0,0,0,0,0,0,0,0.333,0,1
0,0,0,0,0.59,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1.39,0,0.93,0.93,0.93,0,0,0.46,0,0,0,0,0,0,0,0,0.069,0,0.069,1
0.66,0,0,0,0,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.44,0,0,0,0.44,0,0,1.34,0,0,0,0,0,0,0.44,0,0,0,0,1
0,0,1.67,0.2,0.2,0,0,0.2,0,0.62,0,0,0,0,0,0,0.41,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305,0,0,1
0,0,0,0,1.96,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.38,0,0.76,0,0.38,0,0,0.76,0,0,0,0,0,0,0,0,0,0.177,0.059,1
0.05,0,0.1,0.05,0,0.05,0.3,0.2,0.3,0.75,0,0,0,0,0,0,0.05,0,0,0.118,0,1
