@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,6-7,11-13,16,21,23,27-28,30,35,47,49-50,53-54,57-58'

@attribute Word_freq_make numeric
@attribute Word_freq_address numeric
@attribute Word_freq_3d numeric
@attribute Word_freq_over numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_receive numeric
@attribute Word_freq_will numeric
@attribute Word_freq_people numeric
@attribute Word_freq_free numeric
@attribute Word_freq_your numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_george numeric
@attribute Word_freq_650 numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_table numeric
@attribute Char_freq1 numeric
@attribute Char_freq2 numeric
@attribute Char_freq5 numeric
@attribute Char_freq6 numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0.21,0.28,0,0.28,0.21,0.21,0.79,0.65,0.14,1.59,0.43,0,0,0,0,0,0,0.132,0.18,0.048,1028,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0,0,54,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0,0,49,1
0.15,0,0,0,0.3,0.76,0.92,0,0,2,0,0,0,0,0,0,0,0.271,0.203,0.022,1257,1
0,0,0,0,0.65,0.65,0.65,0,0.65,1.3,0,0,0,0,0,0,0,0.459,0,0,129,1
0,0.41,0,0,0,0,0.41,0,0.41,1.25,0,0,0,0,0,0,0,0.068,0,0,285,1
0.3,0,0,0.92,0,0,0.3,1.53,0,0.61,0.3,0,0,0,0,0,0,0.051,0.207,0,226,1
0.15,0.45,0,0,0,0,0.9,0.3,0,1.51,0,0,0,0,0,0,0,0.25,0.068,0,774,1
0.46,0.46,0,0.33,0.06,0.39,0.73,0.79,0.26,0.66,0.19,0,0,0,0,0,0.036,0.084,0.23,0.084,898,1
0.06,0.12,0,0.32,0.38,0,0.64,0.25,0,0.7,0.19,0,0,0,0,0,0.04,0.03,0.071,0,750,1
0.23,0,0,0,0,0,0,0,0.23,1.89,0,0,0,0,0,0,0.043,0.043,0,0,66,1
0,0,0,0,0.23,0,0.47,0,0.23,1.9,0,0,0,0,0,0,0,0.123,0,0.024,519,1
0,0,0,0.76,0,0,0.38,0.38,0.38,2.3,0,0,0,0,0,0,0,0.122,0.061,0,158,1
