@relation spambase

@attribute Word_freq_address numeric
@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_receive numeric
@attribute Word_freq_addresses numeric
@attribute Word_freq_free numeric
@attribute Word_freq_hp numeric
@attribute Word_freq_hpl numeric
@attribute Word_freq_george numeric
@attribute Word_freq_lab numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_technology numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_meeting numeric
@attribute Word_freq_project numeric
@attribute Word_freq_edu numeric
@attribute Word_freq_table numeric
@attribute Char_freq2 numeric
@attribute Capital_run_length_longest numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0.41,0.2,0,0.2,0,0.83,0,0,0,0,0,0,0,0,0,0,0.62,0,0,15,175,1
0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,107,200,1
0.89,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,10,42,1
1.31,0,0.18,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0.08,42,251,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.013,28,42,1
0,0.13,0.13,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0.133,20,144,1
0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197,6,27,1
0,0,1.4,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0.116,13,189,1
0,0.26,0,0.26,0,0.79,0,0,0,0,0,0,0.26,0.52,0,0,0,0,0.656,71,566,1
0,0,0.71,0,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0.265,16,72,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,140,1
0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,14,114,1
0,0,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052,12,444,1
0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.274,29,107,1
0.06,0,0,0,0,0.2,0,0,0,0.06,0,0,0,0,0.13,0,0,0,0.107,144,845,1
0,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.211,11,185,1
0,0.08,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,48,1140,1
0,0.34,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0.34,0.393,17,158,1
0,0.58,0.58,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,123,207,1
0.55,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,148,386,1
0.2,0.5,0,0.3,1.61,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0.11,669,1351,1
0.55,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159,147,385,1
0,0.15,0,0.15,0,1.11,0.95,0,0,0,0,0,0,0,0,0,0,0,0.088,51,1128,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0.605,22,100,1
0.89,0,0.12,0.12,1.15,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0.185,84,475,1
0.27,0,1.39,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279,63,341,1
0.19,0,0.25,0.25,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0.085,45,1070,1
0.84,0.84,0,0.84,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,43,125,1
0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,1.05,0,0,0,5,75,1
0,0,0,0.2,0,0,0,0,0,0,0,0,1.62,0,0,0,0,0,0.152,10,261,1
0,0.61,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,60,243,1
0.34,0.34,0,0,0.34,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0.094,13,119,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,253,1
0,0.25,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,11,184,1
0,0.08,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,48,574,1
0.1,0,0.31,0.1,0,2,0,0,0,0,0,0,0.31,0,0,0,0,0,0.054,299,1726,1
0,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0.467,85,240,1
0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0.073,12,144,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,28,1
0.31,0,0.52,0,0.1,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.016,318,1003,1
0.2,0.5,0,0.3,1.61,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0.11,669,1351,1
0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,7,53,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,23,65,1
0,0.42,0,0.42,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0.097,363,977,1
0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.105,18,414,1
