@relation spambase

@attribute Word_freq_our numeric
@attribute Word_freq_over numeric
@attribute Word_freq_people numeric
@attribute Word_freq_report numeric
@attribute Word_freq_business numeric
@attribute Word_freq_email numeric
@attribute Word_freq_credit numeric
@attribute Word_freq_your numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_money numeric
@attribute Word_freq_george numeric
@attribute Word_freq_lab numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_telnet numeric
@attribute Word_freq_data numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_original numeric
@attribute Word_freq_edu numeric
@attribute Word_freq_table numeric
@attribute Word_freq_conference numeric
@attribute Char_freq3 numeric
@attribute Char_freq4 numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0.18,0,0,0.18,0.18,0.56,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493,13,1
0.66,0,0,0,0.66,0,2.64,5.29,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0.83,43,1
0.65,0,0,0,1.3,0,5.22,1.3,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0.091,66,1
0.36,0.09,0,0.36,0,0,0,3.27,0.36,0.09,0,0,0,0,0,0,0,0,0,0,0.03,0.242,69,1
0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867,20,1
0,0.05,0.05,0.11,0.75,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0,0,0,0,32,1
0,0,0,0,0,0.49,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0.845,47,1
0.19,0,0,0,0.19,0.39,0,0.78,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0.16,31,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,11,1
0.53,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082,66,1
0.16,0.18,0.11,0,0,0,0,0.02,0,0.04,0,0,0,0,0,0.07,0,0,0,0,0.021,0.03,154,1
1.14,0.19,0.19,0,1.72,0.38,0.38,2.67,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0.294,430,1
1.1,0.55,0,0,0,0.55,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496,148,1
0.25,0.25,0,0,1,0.25,0,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,60,1
0.1,0.05,0.2,0,0,0.5,0.3,0.75,0.15,0.2,0,0,0,0,0,0,0,0,0,0,0,0.054,96,1
0.25,0.25,0,0,1.55,0,0,2.58,0.77,0.25,0,0,0,0,0,0,0,0,0,0,0,0.359,56,1
1.6,0,0,0,0.8,0,0,2.4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1.566,22,1
1.03,0,0,0,0,0,0,1.37,0.34,0.34,0,0,0,0,0,0,0,0,0,0,0,0.503,12,1
1.14,0.57,0,0,0,0.57,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487,147,1
0.4,0.2,0,0,0.61,0.4,0.2,0.61,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0.382,55,1
1.14,0.57,0,0,0,0.57,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487,147,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.212,71,1
0.02,0,0,0,0.1,0.38,0.2,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107,489,1
0.81,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121,26,1
0,0.57,0.38,0,0.19,2.12,1.15,1.15,1.35,0.77,0,0,0,0,0,0,0,0,0,0,0,0.438,525,1
0.94,0,0.47,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0.074,0,11,1
